,Review,Cutoff
0,1997-03-24,1997-02-28
1,1997-09-22,1997-08-29
2,1998-03-23,1998-02-27
3,1998-09-21,1998-08-31
4,1999-03-22,1999-02-26
5,1999-09-20,1999-08-31
6,2000-03-20,2000-02-29
7,2000-09-18,2000-08-31
8,2001-03-19,2001-02-28
9,2001-09-24,2001-08-31
10,2002-03-18,2002-02-28
11,2002-09-23,2002-08-30
12,2003-03-24,2003-02-28
13,2003-09-22,2003-08-29
14,2004-03-22,2004-02-27
15,2004-09-20,2004-08-31
16,2005-03-21,2005-02-28
17,2005-09-19,2005-08-31
18,2006-03-20,2006-02-28
19,2006-09-18,2006-08-31
20,2007-03-19,2007-02-28
21,2007-09-24,2007-08-31
22,2008-03-24,2008-02-29
23,2008-09-22,2008-08-29
24,2009-03-23,2009-02-27
25,2009-09-21,2009-08-31
26,2010-03-22,2010-02-26
27,2010-09-20,2010-08-31
28,2011-03-21,2011-02-28
29,2011-09-19,2011-08-31
30,2012-03-19,2012-02-29
31,2012-09-24,2012-08-31
32,2013-03-18,2013-02-28
33,2013-09-23,2013-08-30
34,2014-03-24,2014-02-28
35,2014-09-22,2014-08-29
36,2015-03-23,2015-02-27
37,2015-09-21,2015-08-31
38,2016-03-21,2016-02-29
39,2016-09-19,2016-08-31
40,2017-03-20,2017-02-28
41,2017-09-18,2017-08-31
42,2018-03-19,2018-02-28
43,2018-09-24,2018-08-31
44,2019-03-18,2019-02-28
45,2019-09-23,2019-08-30
46,2020-03-23,2020-02-28
47,2020-09-21,2020-08-31
48,2021-03-22,2021-02-26
49,2021-09-20,2021-08-31
50,2022-03-21,2022-02-28
51,2022-09-19,2022-08-31
52,2023-03-20,2023-02-28
53,2023-09-18,2023-08-31
