,frm_currency,to_currency,cutoff_date,exchange_rate
0,KRW,USD,1997-02-28,0.001156939
0,MYR,USD,1997-02-28,0.402738639
0,HKD,USD,1997-02-28,0.1291489087
0,TWD,USD,1997-02-28,0.036337223
0,ILS,USD,1997-02-28,0.29907898
0,EUR,USD,1997-02-28,1.156518963
0,PHP,USD,1997-02-28,0.03797733
0,THB,USD,1997-02-28,0.038617509
0,USD,USD,1997-02-28,1.0
0,CLP,USD,1997-02-28,0.002419698
0,MXN,USD,1997-02-28,0.12547054
0,ZAR,USD,1997-02-28,0.223139589
0,EGP,USD,1997-02-28,0.29476787
0,HUF,USD,1997-02-28,0.005696545
0,TRY,USD,1997-02-28,8.134379957
0,IDR,USD,1997-02-28,0.000417101
0,CNY,USD,1997-02-28,0.120548742
0,INR,USD,1997-02-28,0.027870688
0,ARS,USD,1997-02-28,1.0004001601
0,BRL,USD,1997-02-28,0.951475058
0,PLN,USD,1997-02-28,0.326925613
0,GRD,USD,1997-02-28,0.0037857278
0,CZK,USD,1997-02-28,0.034299435
0,MAD,USD,1997-02-28,0.1066132202
0,AUD,USD,1997-02-28,0.7781
0,RUB,USD,1997-02-28,0.175947938
0,COP,USD,1997-02-28,0.000929454
0,SGD,USD,1997-02-28,0.7010656197
0,JOD,USD,1997-02-28,1.4104372355
0,JPY,USD,1997-02-28,0.0083104795
0,GBP,USD,1997-02-28,1.6291951776
0,PKR,USD,1997-02-28,0.024950165
0,SAR,USD,1997-02-28,0.2666454345795292
0,KWD,USD,1997-02-28,3.2981542308607037
0,QAR,USD,1997-02-28,0.27701828480217866
0,AED,USD,1997-02-28,0.27233115468409586
0,KRW,USD,1997-04-30,0.001121076
0,MYR,USD,1997-04-30,0.398406628
0,HKD,USD,1997-04-30,0.1290988897
0,TWD,USD,1997-04-30,0.036153304
0,ILS,USD,1997-04-30,0.293591048
0,EUR,USD,1997-04-30,1.130766765
0,PHP,USD,1997-04-30,0.037921887
0,THB,USD,1997-04-30,0.038277512
0,USD,USD,1997-04-30,1.0
0,CLP,USD,1997-04-30,0.002384644
0,MXN,USD,1997-04-30,0.125746644
0,ZAR,USD,1997-04-30,0.224895991
0,EGP,USD,1997-04-30,0.294533476
0,HUF,USD,1997-04-30,0.005477801
0,TRY,USD,1997-04-30,7.376808406
0,IDR,USD,1997-04-30,0.000411523
0,CNY,USD,1997-04-30,0.120561827
0,INR,USD,1997-04-30,0.027968124
0,ARS,USD,1997-04-30,1.00020007
0,BRL,USD,1997-04-30,0.940203437
0,PLN,USD,1997-04-30,0.316175551
0,GRD,USD,1997-04-30,0.0036399374
0,CZK,USD,1997-04-30,0.032310181
0,MAD,USD,1997-04-30,0.1051469429
0,AUD,USD,1997-04-30,0.7802
0,RUB,USD,1997-04-30,0.173580985
0,COP,USD,1997-04-30,0.000940513
0,SGD,USD,1997-04-30,0.6913238852
0,JOD,USD,1997-04-30,1.4104372355
0,JPY,USD,1997-04-30,0.007870917
0,GBP,USD,1997-04-30,1.624431449
0,PKR,USD,1997-04-30,0.024875746
0,SAR,USD,1997-04-30,0.266631130069651
0,KWD,USD,1997-04-30,3.288392192594028
0,QAR,USD,1997-04-30,0.27344128061981
0,AED,USD,1997-04-30,0.27233115468409586
0,KRW,USD,1997-08-29,0.001108033
0,MYR,USD,1997-08-29,0.342994376
0,HKD,USD,1997-08-29,0.1290489095
0,TWD,USD,1997-08-29,0.034818958
0,ILS,USD,1997-08-29,0.284171785
0,EUR,USD,1997-08-29,1.09012806
0,PHP,USD,1997-08-29,0.03289476
0,THB,USD,1997-08-29,0.029248328
0,USD,USD,1997-08-29,1.0
0,CLP,USD,1997-08-29,0.00240877
0,MXN,USD,1997-08-29,0.128551254
0,ZAR,USD,1997-08-29,0.213151453
0,EGP,USD,1997-08-29,0.294290777
0,HUF,USD,1997-08-29,0.005109209
0,TRY,USD,1997-08-29,5.966231488
0,IDR,USD,1997-08-29,0.000338983
0,CNY,USD,1997-08-29,0.120650552
0,INR,USD,1997-08-29,0.027525471
0,ARS,USD,1997-08-29,1.00020007
0,BRL,USD,1997-08-29,0.91575167
0,PLN,USD,1997-08-29,0.287786488
0,GRD,USD,1997-08-29,0.0035193918
0,CZK,USD,1997-08-29,0.029787614
0,MAD,USD,1997-08-29,0.1022599615
0,AUD,USD,1997-08-29,0.732
0,RUB,USD,1997-08-29,0.171218221
0,COP,USD,1997-08-29,0.000851662
0,SGD,USD,1997-08-29,0.6602839221
0,JOD,USD,1997-08-29,1.4094433494
0,JPY,USD,1997-08-29,0.0082815735
0,GBP,USD,1997-08-29,1.62022035
0,PKR,USD,1997-08-29,0.024703876
0,SAR,USD,1997-08-29,0.2666240139344109
0,KWD,USD,1997-08-29,3.2851514407179474
0,QAR,USD,1997-08-29,0.27558189801757993
0,AED,USD,1997-08-29,0.2722645492253352
0,KRW,USD,1997-10-31,0.001036485
0,MYR,USD,1997-10-31,0.298507596
0,HKD,USD,1997-10-31,0.1293912143
0,TWD,USD,1997-10-31,0.032323758
0,ILS,USD,1997-10-31,0.282789467
0,EUR,USD,1997-10-31,1.140583979
0,PHP,USD,1997-10-31,0.028268551
0,THB,USD,1997-10-31,0.024375384
0,USD,USD,1997-10-31,1.0
0,CLP,USD,1997-10-31,0.002369668
0,MXN,USD,1997-10-31,0.118764871
0,ZAR,USD,1997-10-31,0.207792208
0,EGP,USD,1997-10-31,0.29390169
0,HUF,USD,1997-10-31,0.005143372
0,TRY,USD,1997-10-31,5.449591281
0,IDR,USD,1997-10-31,0.000277393
0,CNY,USD,1997-10-31,0.12072338
0,INR,USD,1997-10-31,0.027498988
0,ARS,USD,1997-10-31,1.0006003903
0,BRL,USD,1997-10-31,0.907029478
0,PLN,USD,1997-10-31,0.286944071
0,GRD,USD,1997-10-31,0.0036658235
0,CZK,USD,1997-10-31,0.030307626
0,MAD,USD,1997-10-31,0.1059266108
0,AUD,USD,1997-10-31,0.7008
0,RUB,USD,1997-10-31,0.169577769
0,COP,USD,1997-10-31,0.000777923
0,SGD,USD,1997-10-31,0.6359300477
0,JOD,USD,1997-10-31,1.4074597534
0,JPY,USD,1997-10-31,0.0083028894
0,GBP,USD,1997-10-31,1.6744809109
0,PKR,USD,1997-10-31,0.022724176
0,SAR,USD,1997-10-31,0.26655305109416827
0,KWD,USD,1997-10-31,3.3025099075297226
0,QAR,USD,1997-10-31,0.2761466451901843
0,AED,USD,1997-10-31,0.2722645492253352
0,KRW,USD,1998-02-27,0.00061237
0,MYR,USD,1998-02-27,0.272108969
0,HKD,USD,1998-02-27,0.1291655903
0,TWD,USD,1998-02-27,0.031175968
0,ILS,USD,1998-02-27,0.279041347
0,EUR,USD,1998-02-27,1.078654133
0,PHP,USD,1998-02-27,0.02506267
0,THB,USD,1998-02-27,0.023201861
0,USD,USD,1998-02-27,1.0
0,CLP,USD,1998-02-27,0.002223952
0,MXN,USD,1998-02-27,0.117322715
0,ZAR,USD,1998-02-27,0.20236771
0,EGP,USD,1998-02-27,0.29378945
0,HUF,USD,1998-02-27,0.004791682
0,TRY,USD,1998-02-27,4.331348883
0,IDR,USD,1998-02-27,0.000112994
0,CNY,USD,1998-02-27,0.120789005
0,INR,USD,1998-02-27,0.025412976
0,ARS,USD,1998-02-27,1.0005002701
0,BRL,USD,1998-02-27,0.884799542
0,PLN,USD,1998-02-27,0.287562904
0,GRD,USD,1998-02-27,0.0034768097
0,CZK,USD,1998-02-27,0.029414364
0,MAD,USD,1998-02-27,0.1019181184
0,AUD,USD,1998-02-27,0.6785
0,RUB,USD,1998-02-27,0.165330269
0,COP,USD,1998-02-27,0.000744518
0,SGD,USD,1998-02-27,0.6180469716
0,JOD,USD,1998-02-27,1.4064698202
0,JPY,USD,1998-02-27,0.0079302141
0,GBP,USD,1998-02-27,1.6436554898
0,PKR,USD,1998-02-27,0.022724176
0,SAR,USD,1998-02-27,0.2666099107488664
0,KWD,USD,1998-02-27,3.279763857002296
0,QAR,USD,1998-02-27,0.27453111957403875
0,AED,USD,1998-02-27,0.2722645492253352
0,KRW,USD,1998-04-30,0.000748223
0,MYR,USD,1998-04-30,0.267379693
0,HKD,USD,1998-04-30,0.1290738948
0,TWD,USD,1998-04-30,0.030326475
0,ILS,USD,1998-04-30,0.2699858
0,EUR,USD,1998-04-30,1.090912967
0,PHP,USD,1998-04-30,0.024906613
0,THB,USD,1998-04-30,0.025856504
0,USD,USD,1998-04-30,1.0
0,CLP,USD,1998-04-30,0.002208724
0,MXN,USD,1998-04-30,0.117792592
0,ZAR,USD,1998-04-30,0.197765272
0,EGP,USD,1998-04-30,0.293255141
0,HUF,USD,1998-04-30,0.004740348
0,TRY,USD,1998-04-30,3.99960036
0,IDR,USD,1998-04-30,0.000123839
0,CNY,USD,1998-04-30,0.120803588
0,INR,USD,1998-04-30,0.025179405
0,ARS,USD,1998-04-30,1.00010002
0,BRL,USD,1998-04-30,0.874126562
0,PLN,USD,1998-04-30,0.294420753
0,GRD,USD,1998-04-30,0.0031862355
0,CZK,USD,1998-04-30,0.030425199
0,MAD,USD,1998-04-30,0.1028140366
0,AUD,USD,1998-04-30,0.6482
0,RUB,USD,1998-04-30,0.163145457
0,COP,USD,1998-04-30,0.00073295
0,SGD,USD,1998-04-30,0.6319115324
0,JOD,USD,1998-04-30,1.4054813971
0,JPY,USD,1998-04-30,0.0075318219
0,GBP,USD,1998-04-30,1.6722408027
0,PKR,USD,1998-04-30,0.022691185
0,SAR,USD,1998-04-30,0.2666454345795292
0,KWD,USD,1998-04-30,3.2743946659325034
0,QAR,USD,1998-04-30,0.2747289511873894
0,AED,USD,1998-04-30,0.2722645492253352
0,KRW,USD,1998-08-31,0.000740466
0,MYR,USD,1998-08-31,0.238931504
0,HKD,USD,1998-08-31,0.1290572369
0,TWD,USD,1998-08-31,0.028690292
0,ILS,USD,1998-08-31,0.26348381
0,EUR,USD,1998-08-31,1.109827152
0,PHP,USD,1998-08-31,0.022831056
0,THB,USD,1998-08-31,0.023866352
0,USD,USD,1998-08-31,1.0
0,CLP,USD,1998-08-31,0.002115731
0,MXN,USD,1998-08-31,0.100305937
0,ZAR,USD,1998-08-31,0.155634764
0,EGP,USD,1998-08-31,0.293169296
0,HUF,USD,1998-08-31,0.004458712
0,TRY,USD,1998-08-31,3.602435506
0,IDR,USD,1998-08-31,8.93e-05
0,CNY,USD,1998-08-31,0.12077295
0,INR,USD,1998-08-31,0.02351835
0,ARS,USD,1998-08-31,1.00020007
0,BRL,USD,1998-08-31,0.849689863
0,PLN,USD,1998-08-31,0.268456484
0,GRD,USD,1998-08-31,0.0032973918
0,CZK,USD,1998-08-31,0.030762615
0,MAD,USD,1998-08-31,0.1040550438
0,AUD,USD,1998-08-31,0.5676
0,RUB,USD,1998-08-31,0.100502514
0,COP,USD,1998-08-31,0.000693313
0,SGD,USD,1998-08-31,0.5635390251
0,JOD,USD,1998-08-31,1.4044944609
0,JPY,USD,1998-08-31,0.0070826551
0,GBP,USD,1998-08-31,1.6806722689
0,PKR,USD,1998-08-31,0.01999701
0,SAR,USD,1998-08-31,0.2665601634418973
0,KWD,USD,1998-08-31,3.2690423843767493
0,QAR,USD,1998-08-31,0.27467037023059426
0,AED,USD,1998-08-31,0.2722645492253352
0,KRW,USD,1998-10-30,0.000757863
0,MYR,USD,1998-10-30,0.184162117
0,HKD,USD,1998-10-30,0.1291088904
0,TWD,USD,1998-10-30,0.030803361
0,ILS,USD,1998-10-30,0.23369955
0,EUR,USD,1998-10-30,1.180830646
