,frm_currency,to_currency,cutoff_date,exchange_rate
0,KRW,USD,2023-11-30,0.0007751174
0,MYR,USD,2023-11-30,0.2146145692
0,HKD,USD,2023-11-30,0.1280363297
0,TWD,USD,2023-11-30,0.0320102554
0,ILS,USD,2023-11-30,0.2685224378
0,EUR,USD,2023-11-30,1.0911
0,PHP,USD,2023-11-30,0.0180212623
0,THB,USD,2023-11-30,0.0284273012
0,USD,USD,2023-11-30,1.0
0,CLP,USD,2023-11-30,0.0011518743
0,MXN,USD,2023-11-30,0.0575656722
0,ZAR,USD,2023-11-30,0.052770506
0,EGP,USD,2023-11-30,0.0323625716
0,HUF,USD,2023-11-30,0.0028631555
0,TRY,USD,2023-11-30,0.0346596644
0,IDR,USD,2023-11-30,6.4484e-05
0,CNY,USD,2023-11-30,0.1402342822
0,INR,USD,2023-11-30,0.0119912981
0,ARS,USD,2023-11-30,0.002773358
0,BRL,USD,2023-11-30,0.2027464562
0,PLN,USD,2023-11-30,0.2506115948
0,GRD,USD,2023-11-30,0.0032020544381275023
0,CZK,USD,2023-11-30,0.044855121
0,MAD,USD,2023-11-30,0.0992063035
0,AUD,USD,2023-11-30,0.6630409573
0,RUB,USD,2023-11-30,0.0111546426
0,COP,USD,2023-11-30,0.0002465886
0,SGD,USD,2023-11-30,0.7493047418
0,JOD,USD,2023-11-30,1.409343950391093
0,JPY,USD,2023-11-30,0.0067642745
0,GBP,USD,2023-11-30,1.2659976563
0,PKR,USD,2023-11-30,0.0035087594
0,SAR,USD,2023-11-30,0.2665608582
0,KWD,USD,2023-11-30,3.2386467731
0,QAR,USD,2023-11-30,0.2746495098
0,AED,USD,2023-11-30,0.2723121554
