,frm_currency,to_currency,date,exchange_rate,cutoff_date
0,KRW,USD,1997-02-27,0.001157407,1997-02-28
0,MYR,USD,1997-02-27,0.402738639,1997-02-28
0,HKD,USD,1997-02-27,0.1291439051,1997-02-28
0,TWD,USD,1997-02-27,0.036337223,1997-02-28
0,ILS,USD,1997-02-27,0.298935824,1997-02-28
0,EUR,USD,1997-02-27,1.157422465,1997-02-28
0,PHP,USD,1997-02-27,0.037973722,1997-02-28
0,THB,USD,1997-02-27,0.03863242,1997-02-28
0,USD,USD,1997-02-27,1.0,1997-02-28
0,CLP,USD,1997-02-27,0.002423951,1997-02-28
0,MXN,USD,1997-02-27,0.127697637,1997-02-28
0,ZAR,USD,1997-02-27,0.22366362,1997-02-28
0,EGP,USD,1997-02-27,0.29476787,1997-02-28
0,HUF,USD,1997-02-27,0.005694599,1997-02-28
0,TRY,USD,1997-02-27,8.178956216,1997-02-28
0,IDR,USD,1997-02-27,0.000417885,1997-02-28
0,CNY,USD,1997-02-27,0.120557459,1997-02-28
0,INR,USD,1997-02-27,0.027882356,1997-02-28
0,ARS,USD,1997-02-27,1.00010002,1997-02-28
0,BRL,USD,1997-02-27,0.951656425,1997-02-28
0,PLN,USD,1997-02-27,0.327332414,1997-02-28
0,GRD,USD,1997-02-27,0.0037891706,1997-02-28
0,CZK,USD,1997-02-27,0.034639246,1997-02-28
0,MAD,USD,1997-02-27,0.1067122154,1997-02-28
0,AUD,USD,1997-02-27,0.7758,1997-02-28
0,RUB,USD,1997-02-27,0.175963409,1997-02-28
0,COP,USD,1997-02-27,0.000925926,1997-02-28
0,SGD,USD,1997-02-27,0.701754386,1997-02-28
0,JOD,USD,1997-02-27,1.4104372355,1997-02-28
0,JPY,USD,1997-02-27,0.0082904991,1997-02-28
0,GBP,USD,1997-02-27,1.6268098259,1997-02-28
0,PKR,USD,1997-02-27,0.024950165,1997-02-28
0,SAR,USD,1997-02-27,0.2666454345795292,1997-02-28
0,KWD,USD,1997-02-27,3.2981542308607037,1997-02-28
0,QAR,USD,1997-02-27,0.2742920657190781,1997-02-28
0,AED,USD,1997-02-27,0.27233115468409586,1997-02-28
0,KRW,USD,1997-05-29,0.001120448,1997-05-30
0,MYR,USD,1997-05-29,0.398279671,1997-05-30
0,HKD,USD,1997-05-29,0.1290855579,1997-05-30
0,TWD,USD,1997-05-29,0.035880881,1997-05-30
0,ILS,USD,1997-05-29,0.295063743,1997-05-30
0,EUR,USD,1997-05-29,1.151374763,1997-05-30
0,PHP,USD,1997-05-29,0.037916161,1997-05-30
0,THB,USD,1997-05-29,0.039246474,1997-05-30
0,USD,USD,1997-05-29,1.0,1997-05-30
0,CLP,USD,1997-05-29,0.002387347,1997-05-30
0,MXN,USD,1997-05-29,0.126398281,1997-05-30
0,ZAR,USD,1997-05-29,0.223788783,1997-05-30
0,EGP,USD,1997-05-29,0.294533476,1997-05-30
0,HUF,USD,1997-05-29,0.00549662,1997-05-30
0,TRY,USD,1997-05-29,7.122253481,1997-05-30
0,IDR,USD,1997-05-29,0.000410004,1997-05-30
0,CNY,USD,1997-05-29,0.120592357,1997-05-30
0,INR,USD,1997-05-29,0.027936863,1997-05-30
0,ARS,USD,1997-05-29,1.00010002,1997-05-30
0,BRL,USD,1997-05-29,0.9309256,1997-05-30
0,PLN,USD,1997-05-29,0.312989075,1997-05-30
0,GRD,USD,1997-05-29,0.0036741742,1997-05-30
0,CZK,USD,1997-05-29,0.031396686,1997-05-30
0,MAD,USD,1997-05-29,0.1065189649,1997-05-30
0,AUD,USD,1997-05-29,0.766,1997-05-30
0,RUB,USD,1997-05-29,0.173370328,1997-05-30
0,COP,USD,1997-05-29,0.000929238,1997-05-30
0,SGD,USD,1997-05-29,0.6995452956,1997-05-30
0,JOD,USD,1997-05-29,1.4104372355,1997-05-30
0,JPY,USD,1997-05-29,0.0085984523,1997-05-30
0,GBP,USD,1997-05-29,1.6401508939,1997-05-30
0,PKR,USD,1997-05-29,0.024783406,1997-05-30
0,SAR,USD,1997-05-29,0.2666240139344109,1997-05-30
0,KWD,USD,1997-05-29,3.309067281147225,1997-05-30
0,QAR,USD,1997-05-29,0.2752560190325462,1997-05-30
0,AED,USD,1997-05-29,0.27229409984703334,1997-05-30
0,KRW,USD,1997-08-28,0.001108033,1997-08-29
0,MYR,USD,1997-08-28,0.344293551,1997-08-29
0,HKD,USD,1997-08-28,0.1290572369,1997-08-29
0,TWD,USD,1997-08-28,0.034855959,1997-08-29
0,ILS,USD,1997-08-28,0.284689404,1997-08-29
0,EUR,USD,1997-08-28,1.092674774,1997-08-29
0,PHP,USD,1997-08-28,0.033030576,1997-08-29
0,THB,USD,1997-08-28,0.029390159,1997-08-29
0,USD,USD,1997-08-28,1.0,1997-08-29
0,CLP,USD,1997-08-28,0.002412692,1997-08-29
0,MXN,USD,1997-08-28,0.128700135,1997-08-29
0,ZAR,USD,1997-08-28,0.212698075,1997-08-29
0,EGP,USD,1997-08-28,0.294351414,1997-08-29
0,HUF,USD,1997-08-28,0.005113259,1997-08-29
0,TRY,USD,1997-08-28,6.008532116,1997-08-29
0,IDR,USD,1997-08-28,0.000334448,1997-08-29
0,CNY,USD,1997-08-28,0.120649094,1997-08-29
0,INR,USD,1997-08-28,0.027483868,1997-08-29
0,ARS,USD,1997-08-28,1.00020007,1997-08-29
0,BRL,USD,1997-08-28,0.916339068,1997-08-29
0,PLN,USD,1997-08-28,0.288475541,1997-08-29
