,frm_currency,to_currency,cutoff_date,exchange_rate
0,KRW,USD,1997-02-28,0.001156939
0,MYR,USD,1997-02-28,0.402738639
0,HKD,USD,1997-02-28,0.1291489087
0,TWD,USD,1997-02-28,0.036337223
0,ILS,USD,1997-02-28,0.29907898
0,EUR,USD,1997-02-28,1.156518963
0,PHP,USD,1997-02-28,0.03797733
0,THB,USD,1997-02-28,0.038617509
0,USD,USD,1997-02-28,1.0
0,CLP,USD,1997-02-28,0.002419698
0,MXN,USD,1997-02-28,0.12547054
0,ZAR,USD,1997-02-28,0.223139589
0,EGP,USD,1997-02-28,0.29476787
0,HUF,USD,1997-02-28,0.005696545
0,TRY,USD,1997-02-28,8.134379957
0,IDR,USD,1997-02-28,0.000417101
0,CNY,USD,1997-02-28,0.120548742
0,INR,USD,1997-02-28,0.027870688
0,ARS,USD,1997-02-28,1.0004001601
0,BRL,USD,1997-02-28,0.951475058
0,PLN,USD,1997-02-28,0.326925613
0,GRD,USD,1997-02-28,0.0037857278
0,CZK,USD,1997-02-28,0.034299435
0,MAD,USD,1997-02-28,0.1066132202
0,AUD,USD,1997-02-28,0.7781
0,RUB,USD,1997-02-28,0.175947938
0,COP,USD,1997-02-28,0.000929454
0,SGD,USD,1997-02-28,0.7010656197
0,JOD,USD,1997-02-28,1.4104372355
0,JPY,USD,1997-02-28,0.0083104795
0,GBP,USD,1997-02-28,1.6291951776
0,PKR,USD,1997-02-28,0.024950165
0,SAR,USD,1997-02-28,0.2666454345795292
0,KWD,USD,1997-02-28,3.2981542308607037
0,QAR,USD,1997-02-28,0.27701828480217866
0,AED,USD,1997-02-28,0.27233115468409586
0,KRW,USD,1997-05-30,0.001121705
0,MYR,USD,1997-05-30,0.397978555
0,HKD,USD,1997-05-30,0.1290655653
0,TWD,USD,1997-05-30,0.035880881
0,ILS,USD,1997-05-30,0.294446882
0,EUR,USD,1997-05-30,1.146034396
0,PHP,USD,1997-05-30,0.037914692
0,THB,USD,1997-05-30,0.040128413
0,USD,USD,1997-05-30,1.0
0,CLP,USD,1997-05-30,0.002388631
0,MXN,USD,1997-05-30,0.126326451
0,ZAR,USD,1997-05-30,0.223763711
0,EGP,USD,1997-05-30,0.295011358
0,HUF,USD,1997-05-30,0.005470011
0,TRY,USD,1997-05-30,7.084661707
0,IDR,USD,1997-05-30,0.0004111
0,CNY,USD,1997-05-30,0.120596713
0,INR,USD,1997-05-30,0.027952497
0,ARS,USD,1997-05-30,1.0005002701
0,BRL,USD,1997-05-30,0.933271202
0,PLN,USD,1997-05-30,0.313038034
0,GRD,USD,1997-05-30,0.0036660923
0,CZK,USD,1997-05-30,0.03077871
0,MAD,USD,1997-05-30,0.1062439766
0,AUD,USD,1997-05-30,0.7598
0,RUB,USD,1997-05-30,0.173370328
0,COP,USD,1997-05-30,0.000928807
0,SGD,USD,1997-05-30,0.699056274
0,JOD,USD,1997-05-30,1.4104372355
0,JPY,USD,1997-05-30,0.0086021505
0,GBP,USD,1997-05-30,1.6414970453
0,PKR,USD,1997-05-30,0.024783406
0,SAR,USD,1997-05-30,0.2666240139344109
0,KWD,USD,1997-05-30,3.305786216788832
0,QAR,USD,1997-05-30,0.27463488974983685
0,AED,USD,1997-05-30,0.2722645492253352
0,KRW,USD,1997-08-29,0.001108033
0,MYR,USD,1997-08-29,0.342994376
0,HKD,USD,1997-08-29,0.1290489095
0,TWD,USD,1997-08-29,0.034818958
0,ILS,USD,1997-08-29,0.284171785
0,EUR,USD,1997-08-29,1.09012806
0,PHP,USD,1997-08-29,0.03289476
0,THB,USD,1997-08-29,0.029248328
0,USD,USD,1997-08-29,1.0
0,CLP,USD,1997-08-29,0.00240877
0,MXN,USD,1997-08-29,0.128551254
0,ZAR,USD,1997-08-29,0.213151453
0,EGP,USD,1997-08-29,0.294290777
0,HUF,USD,1997-08-29,0.005109209
0,TRY,USD,1997-08-29,5.966231488
0,IDR,USD,1997-08-29,0.000338983
0,CNY,USD,1997-08-29,0.120650552
0,INR,USD,1997-08-29,0.027525471
0,ARS,USD,1997-08-29,1.00020007
0,BRL,USD,1997-08-29,0.91575167
0,PLN,USD,1997-08-29,0.287786488
0,GRD,USD,1997-08-29,0.0035193918
0,CZK,USD,1997-08-29,0.029787614
0,MAD,USD,1997-08-29,0.1022599615
0,AUD,USD,1997-08-29,0.732
0,RUB,USD,1997-08-29,0.171218221
0,COP,USD,1997-08-29,0.000851662
0,SGD,USD,1997-08-29,0.6602839221
0,JOD,USD,1997-08-29,1.4094433494
0,JPY,USD,1997-08-29,0.0082815735
0,GBP,USD,1997-08-29,1.62022035
0,PKR,USD,1997-08-29,0.024703876
0,SAR,USD,1997-08-29,0.2666240139344109
0,KWD,USD,1997-08-29,3.2851514407179474
0,QAR,USD,1997-08-29,0.27558189801757993
0,AED,USD,1997-08-29,0.2722645492253352
0,KRW,USD,1997-11-28,0.000855066
0,MYR,USD,1997-11-28,0.286451013
0,HKD,USD,1997-11-28,0.1293694533
0,TWD,USD,1997-11-28,0.030972698
0,ILS,USD,1997-11-28,0.282573801
0,EUR,USD,1997-11-28,1.113174194
0,PHP,USD,1997-11-28,0.028710892
0,THB,USD,1997-11-28,0.02484472
0,USD,USD,1997-11-28,1.0
0,CLP,USD,1997-11-28,0.002285714
0,MXN,USD,1997-11-28,0.121795265
0,ZAR,USD,1997-11-28,0.205909618
0,EGP,USD,1997-11-28,0.294074539
0,HUF,USD,1997-11-28,0.005013914
0,TRY,USD,1997-11-28,5.112344277
0,IDR,USD,1997-11-28,0.00027416
0,CNY,USD,1997-11-28,0.120778793
0,INR,USD,1997-11-28,0.025916822
0,ARS,USD,1997-11-28,1.0004001601
0,BRL,USD,1997-11-28,0.901469639
0,PLN,USD,1997-11-28,0.28272549
0,GRD,USD,1997-11-28,0.003615329
0,CZK,USD,1997-11-28,0.02902295
0,MAD,USD,1997-11-28,0.1043297014
0,AUD,USD,1997-11-28,0.6809
0,RUB,USD,1997-11-28,0.168563003
0,COP,USD,1997-11-28,0.00076438
0,SGD,USD,1997-11-28,0.6275494195
0,JOD,USD,1997-11-28,1.4098407079
0,JPY,USD,1997-11-28,0.0078247261
0,GBP,USD,1997-11-28,1.6891891892
0,PKR,USD,1997-11-28,0.022724176
0,SAR,USD,1997-11-28,0.2666240139344109
0,KWD,USD,1997-11-28,3.290557295035546
0,QAR,USD,1997-11-28,0.2763098187598504
0,AED,USD,1997-11-28,0.2722645492253352
0,KRW,USD,1998-02-27,0.00061237
0,MYR,USD,1998-02-27,0.272108969
0,HKD,USD,1998-02-27,0.1291655903
0,TWD,USD,1998-02-27,0.031175968
0,ILS,USD,1998-02-27,0.279041347
0,EUR,USD,1998-02-27,1.078654133
0,PHP,USD,1998-02-27,0.02506267
0,THB,USD,1998-02-27,0.023201861
0,USD,USD,1998-02-27,1.0
0,CLP,USD,1998-02-27,0.002223952
0,MXN,USD,1998-02-27,0.117322715
0,ZAR,USD,1998-02-27,0.20236771
0,EGP,USD,1998-02-27,0.29378945
0,HUF,USD,1998-02-27,0.004791682
0,TRY,USD,1998-02-27,4.331348883
0,IDR,USD,1998-02-27,0.000112994
0,CNY,USD,1998-02-27,0.120789005
0,INR,USD,1998-02-27,0.025412976
0,ARS,USD,1998-02-27,1.0005002701
0,BRL,USD,1998-02-27,0.884799542
0,PLN,USD,1998-02-27,0.287562904
0,GRD,USD,1998-02-27,0.0034768097
0,CZK,USD,1998-02-27,0.029414364
0,MAD,USD,1998-02-27,0.1019181184
0,AUD,USD,1998-02-27,0.6785
0,RUB,USD,1998-02-27,0.165330269
0,COP,USD,1998-02-27,0.000744518
0,SGD,USD,1998-02-27,0.6180469716
0,JOD,USD,1998-02-27,1.4064698202
0,JPY,USD,1998-02-27,0.0079302141
0,GBP,USD,1998-02-27,1.6436554898
0,PKR,USD,1998-02-27,0.022724176
0,SAR,USD,1998-02-27,0.2666099107488664
0,KWD,USD,1998-02-27,3.279763857002296
0,QAR,USD,1998-02-27,0.27453111957403875
0,AED,USD,1998-02-27,0.2722645492253352
0,KRW,USD,1998-05-29,0.00071048
0,MYR,USD,1998-05-29,0.260382769
0,HKD,USD,1998-05-29,0.1290572369
0,TWD,USD,1998-05-29,0.029433428
0,ILS,USD,1998-05-29,0.27364274
0,EUR,USD,1998-05-29,1.098438367
0,PHP,USD,1998-05-29,0.025673943
0,THB,USD,1998-05-29,0.024758604
0,USD,USD,1998-05-29,1.0
0,CLP,USD,1998-05-29,0.002198044
0,MXN,USD,1998-05-29,0.113430127
0,ZAR,USD,1998-05-29,0.193948828
0,EGP,USD,1998-05-29,0.293143394
0,HUF,USD,1998-05-29,0.004671479
0,TRY,USD,1998-05-29,3.871167844
0,IDR,USD,1998-05-29,8.85e-05
0,CNY,USD,1998-05-29,0.120783161
0,INR,USD,1998-05-29,0.023995208
0,ARS,USD,1998-05-29,1.0005002701
0,BRL,USD,1998-05-29,0.869414091
0,PLN,USD,1998-05-29,0.286451013
0,GRD,USD,1998-05-29,0.0032781511
0,CZK,USD,1998-05-29,0.030332905
0,MAD,USD,1998-05-29,0.1029972223
0,AUD,USD,1998-05-29,0.6225
0,RUB,USD,1998-05-29,0.162087705
0,COP,USD,1998-05-29,0.000715512
0,SGD,USD,1998-05-29,0.5968367651
0,JOD,USD,1998-05-29,1.4064698202
0,JPY,USD,1998-05-29,0.0072072072
0,GBP,USD,1998-05-29,1.6313213703
0,PKR,USD,1998-05-29,0.022484554
0,SAR,USD,1998-05-29,0.2665956811233062
0,KWD,USD,1998-05-29,3.266906666698029
0,QAR,USD,1998-05-29,0.2755257364316369
0,AED,USD,1998-05-29,0.2722496280797831
0,KRW,USD,1998-08-31,0.000740466
0,MYR,USD,1998-08-31,0.238931504
0,HKD,USD,1998-08-31,0.1290572369
0,TWD,USD,1998-08-31,0.028690292
0,ILS,USD,1998-08-31,0.26348381
0,EUR,USD,1998-08-31,1.109827152
0,PHP,USD,1998-08-31,0.022831056
0,THB,USD,1998-08-31,0.023866352
0,USD,USD,1998-08-31,1.0
0,CLP,USD,1998-08-31,0.002115731
0,MXN,USD,1998-08-31,0.100305937
0,ZAR,USD,1998-08-31,0.155634764
0,EGP,USD,1998-08-31,0.293169296
0,HUF,USD,1998-08-31,0.004458712
0,TRY,USD,1998-08-31,3.602435506
0,IDR,USD,1998-08-31,8.93e-05
0,CNY,USD,1998-08-31,0.12077295
0,INR,USD,1998-08-31,0.02351835
0,ARS,USD,1998-08-31,1.00020007
0,BRL,USD,1998-08-31,0.849689863
0,PLN,USD,1998-08-31,0.268456484
0,GRD,USD,1998-08-31,0.0032973918
0,CZK,USD,1998-08-31,0.030762615
0,MAD,USD,1998-08-31,0.1040550438
0,AUD,USD,1998-08-31,0.5676
0,RUB,USD,1998-08-31,0.100502514
0,COP,USD,1998-08-31,0.000693313
0,SGD,USD,1998-08-31,0.5635390251
0,JOD,USD,1998-08-31,1.4044944609
0,JPY,USD,1998-08-31,0.0070826551
0,GBP,USD,1998-08-31,1.6806722689
0,PKR,USD,1998-08-31,0.01999701
0,SAR,USD,1998-08-31,0.2665601634418973
0,KWD,USD,1998-08-31,3.2690423843767493
0,QAR,USD,1998-08-31,0.27467037023059426
0,AED,USD,1998-08-31,0.2722645492253352
0,KRW,USD,1998-11-30,0.000802568
0,MYR,USD,1998-11-30,0.184162117
0,HKD,USD,1998-11-30,0.1291555808
0,TWD,USD,1998-11-30,0.030834695
0,ILS,USD,1998-11-30,0.238572389
0,EUR,USD,1998-11-30,1.156600692
