,frm_currency,to_currency,cutoff_date,exchange_rate
0,KRW,USD,2024-02-29,0.0007509039
0,MYR,USD,2024-02-29,0.2107279352
0,HKD,USD,2024-02-29,0.1277340642
0,TWD,USD,2024-02-29,0.0316361142
0,ILS,USD,2024-02-29,0.2799871584
0,EUR,USD,2024-02-29,1.08215
0,PHP,USD,2024-02-29,0.0177889228
0,THB,USD,2024-02-29,0.0278823523
0,USD,USD,2024-02-29,1.0
0,CLP,USD,2024-02-29,0.0010341025
0,MXN,USD,2024-02-29,0.0585944185
0,ZAR,USD,2024-02-29,0.0521274901
0,EGP,USD,2024-02-29,0.0323625615
0,HUF,USD,2024-02-29,0.0027520157
0,TRY,USD,2024-02-29,0.0320309907
0,IDR,USD,2024-02-29,6.36304e-05
0,CNY,USD,2024-02-29,0.1390196983
0,INR,USD,2024-02-29,0.0120603453
0,ARS,USD,2024-02-29,0.0011871186
0,BRL,USD,2024-02-29,0.2012609624
0,PLN,USD,2024-02-29,0.2507589362
0,GRD,USD,2024-02-29,0.0031757882981411
0,CZK,USD,2024-02-29,0.0427618065
0,MAD,USD,2024-02-29,0.0991961455
0,AUD,USD,2024-02-29,0.6511523802
0,RUB,USD,2024-02-29,0.0109772214
0,COP,USD,2024-02-29,0.0002546299
0,SGD,USD,2024-02-29,0.7437202487
0,JOD,USD,2024-02-29,1.411333004022299
0,JPY,USD,2024-02-29,0.0066813023
0,GBP,USD,2024-02-29,1.2649329265
0,PKR,USD,2024-02-29,0.0035707704
0,SAR,USD,2024-02-29,0.2666444654
0,KWD,USD,2024-02-29,3.2506762286
0,QAR,USD,2024-02-29,0.2746504275
0,AED,USD,2024-02-29,0.2722629882
0,KRW,USD,2024-05-31,0.0007222497
0,MYR,USD,2024-05-31,0.2124505087
0,HKD,USD,2024-05-31,0.127822235
0,TWD,USD,2024-05-31,0.0308699045
0,ILS,USD,2024-05-31,0.2687960798
0,EUR,USD,2024-05-31,1.0856
0,PHP,USD,2024-05-31,0.0170882125
0,THB,USD,2024-05-31,0.0271812528
0,USD,USD,2024-05-31,1.0
0,CLP,USD,2024-05-31,0.0010884226
0,MXN,USD,2024-05-31,0.0586391182
0,ZAR,USD,2024-05-31,0.0531137399
0,EGP,USD,2024-05-31,0.0211550872
0,HUF,USD,2024-05-31,0.0027832613
0,TRY,USD,2024-05-31,0.0310470744
0,IDR,USD,2024-05-31,6.15535e-05
0,CNY,USD,2024-05-31,0.1380451131
0,INR,USD,2024-05-31,0.0119801388
0,ARS,USD,2024-05-31,0.0011169738
0,BRL,USD,2024-05-31,0.1902642101
0,PLN,USD,2024-05-31,0.2540009802
0,GRD,USD,2024-05-31,0.0031859136738459103
0,CZK,USD,2024-05-31,0.0439398771
0,MAD,USD,2024-05-31,0.1004879126
0,AUD,USD,2024-05-31,0.6650535413
0,RUB,USD,2024-05-31,0.0110650866
0,COP,USD,2024-05-31,0.0002582642
0,SGD,USD,2024-05-31,0.739811974
0,JOD,USD,2024-05-31,1.4111338460452973
0,JPY,USD,2024-05-31,0.0063634615
0,GBP,USD,2024-05-31,1.2732072041
0,PKR,USD,2024-05-31,0.0035932274
0,SAR,USD,2024-05-31,0.2666176063
0,KWD,USD,2024-05-31,3.2581035885
0,QAR,USD,2024-05-31,0.274647681
0,AED,USD,2024-05-31,0.2722542586
