,Date,Index_Symbol,Index_Name,Index_ISIN,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Float,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,Instrument_Name,Country,Currency,Exchange,ICB,outNoShares_Review,Free_Float_Review,close_Review,Mcap_Units_Index_Currency,Weight,Cutoff,close_Cutoff,Free_Float_Cutoff,outNoShares_Cutoff,ADTV_3M_USD_Cutoff,Market_Cap_USD_Cutoff,Rank,Prev_Comp,New_Rank
0,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,AAPL,US0378331005,2046251,AAPL.OQ,Apple Inc.,US,USD,NASDAQ,9572.0,917307099,1.0,322.2,296000000000.0,0.1291594179212906,2010-11-30,311.14,1.0,906794589.0,5565511916.0,282140068421.45996,1,True,
1,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,MSFT,US5949181045,2588173,MSFT.OQ,Microsoft Corp.,US,USD,NASDAQ,9537.0,8555523242,0.9282,27.81,221000000000.0,0.09643321405609873,2010-11-30,25.22,0.9282,8653567331.0,1571220198.0,218242968087.81998,2,True,
3,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,GOOG,US38259P5089,B020QX2,GOOG.OQ,Google Inc. Cl A,US,USD,NASDAQ,9535.0,248407078,1.0,595.06,148000000000.0,0.0645797089606453,2010-11-30,555.69,1.0,244049182.0,1727638232.0,135615689945.58002,3,True,
2,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ORCL,US68389X1054,2661568,ORCL.OQ,Oracle Corp.,US,USD,NASDAQ,9537.0,4983414000,0.7678,31.67,121000000000.0,0.05279827556917623,2010-11-30,27.04,0.7678,4983414000.0,1040458595.0,134751514560.0,4,True,
4,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,INTC,US4581401001,2463247,INTC.OQ,Intel Corp.,US,USD,NASDAQ,9576.0,5562000000,1.0,21.24,118000000000.0,0.05148922741456855,2010-11-30,21.12,1.0,5562000000.0,1224925727.0,117469440000.0,5,True,
5,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CSCO,US17275R1023,2198163,CSCO.OQ,Cisco Systems Inc.,US,USD,NASDAQ,9578.0,5542761641,1.0,19.62,109000000000.0,0.04756208295074553,2010-11-30,19.17,1.0,5767880540.0,1471181587.0,110570269951.8,6,True,
6,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,AMZN,US0231351067,2000019,AMZN.OQ,Amazon.com Inc.,US,USD,NASDAQ,5373.0,444546442,0.8011,183.29,65274362892.0,0.02848242809565477,2010-11-30,175.4,0.8011,444546442.0,1018934800.0,77973445926.8,7,True,
7,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,QCOM,US7475251036,2714923,QCOM.OQ,Qualcomm Inc.,US,USD,NASDAQ,9578.0,1605194616,1.0,49.49,79441081546.0,0.03466406706594304,2010-11-30,46.74,1.0,1605194616.0,764752532.7,75026796351.84,8,True,
8,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,AMGN,US0311621009,2023607,AMGN.OQ,Amgen Inc.,US,USD,NASDAQ,4573.0,944815396,1.0,57.65,54468607579.0,0.02376734341177986,2010-11-30,52.69,1.0,957938383.0,316835560.7,50473773400.27,9,True,
9,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CMCSA,US20030N1019,2044545,CMCSA.OQ,Comcast Corp. Cl A,US,USD,NASDAQ,5553.0,2058872104,1.0,21.91,45109887799.0,0.01968367179261341,2010-11-30,20.0,1.0,2058872104.0,412481854.6,41177442080.0,10,True,
