STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
VN204O;B1LB8G0;VN000000SSI1;20130318;1;0.8998469949595239
VN007P;B1H4JB5;VN000000ITA7;20130318;1;1.0
VN005N;B291F68;VN000000DPM1;20130318;1;0.504480956966956
VN002K;B3KLW63;VN000000HAG6;20130318;1;0.4455856397661631
VN21DY;B61NT57;VN000000BVH3;20130318;1;0.7952306982474354
VN21L6;B58P9L5;VN000000EIB7;20130318;1;0.25848731238947126
VN002K;B3KLW63;VN000000HAG6;20130923;1;0.9999999999999992
VN007P;B1H4JB5;VN000000ITA7;20130923;1;0.9999999999999971
VN005N;B291F68;VN000000DPM1;20130923;1;0.9999999999999977
VN204O;B1LB8G0;VN000000SSI1;20130923;1;0.9999999999999992
VN21DY;B61NT57;VN000000BVH3;20130923;1;0.9999999999999986
VN21L6;B58P9L5;VN000000EIB7;20130923;1;0.49310824159655736
VN103M;B27Y417;VN000000VIC9;20130923;1;0.40002352006973396
VN22SE;B83C9P6;VN000000GAS3;20130923;1;1.0
VN205P;B16GLK5;VN000000VNM8;20130923;1;0.1656429262500766
VN002K;B3KLW63;VN000000HAG6;20140324;1;0.9046580814091304
VN204O;B1LB8G0;VN000000SSI1;20140324;1;0.9999999999999993
VN007P;B1H4JB5;VN000000ITA7;20140324;1;0.9999999999999982
VN22SE;B83C9P6;VN000000GAS3;20140324;1;1.0
VN205P;B16GLK5;VN000000VNM8;20140324;1;0.20110964693820757
VN005N;B291F68;VN000000DPM1;20140324;1;0.9999999999999988
VN21DY;B61NT57;VN000000BVH3;20140324;1;0.9999999999999986
VN103M;B27Y417;VN000000VIC9;20140324;1;0.42138058923742827
VN21L6;B58P9L5;VN000000EIB7;20140324;1;0.4999999999999987
VN204O;B1LB8G0;VN000000SSI1;20140922;1;0.9999999999999993
VN002K;B3KLW63;VN000000HAG6;20140922;1;0.8079314569925111
VN007P;B1H4JB5;VN000000ITA7;20140922;1;0.9999999999999988
VN103M;B27Y417;VN000000VIC9;20140922;1;0.30420204973857506
VN005N;B291F68;VN000000DPM1;20140922;1;1.0
VN22SE;B83C9P6;VN000000GAS3;20140922;1;0.9999999999999992
VN205P;B16GLK5;VN000000VNM8;20140922;1;0.18524340475257772
VN21DY;B61NT57;VN000000BVH3;20140922;1;0.500000000000001
VN21L6;B58P9L5;VN000000EIB7;20140922;1;0.4999999999999995
VN204O;B1LB8G0;VN000000SSI1;20150323;1;0.9999999999999991
