stoxxid;startDate;endDate;max_difference
PH04FP;20120319;20240609;1.000000000
IN01CI;20120319;20210919;1.000000000
ID00NI;20120319;20220320;1.000000000
TH00EO;20120319;20240609;1.000000000
US705Y;20120319;20240918;1.000000000
KR051H;20120319;20240609;1.000000000
VN104N;20120319;20240609;1.000000000
CA1CDC;20120319;20141102;1.000000000
IN10IO;20120319;20210919;1.000000000
VN21AV;20120319;20240609;1.000000000
MX102M;20120319;20200322;1.000000000
CH10WQ;20120601;20140430;1.000000000
TH217K;20130624;20240609;1.000000000
MX108S;20140324;20240609;1.000000000
PH10CJ;20140324;20181210;1.000000000
PK303F;20170320;20240609;1.000000000
IN704G;20170320;20210919;1.000000000
IN60MX;20170320;20210919;1.000000000
IN80DQ;20180319;20220320;1.000000000
MX109T;20190923;20211219;1.000000000
VN10P8;20190923;20200920;1.000000000
MX901T;20200323;20210919;1.000000000
VN107Q;20210322;20240609;1.000000000
CA40TJ;20210920;20210922;1.000000000
VN22I4;20220224;20240609;1.000000000
VN22UG;20220224;20240609;1.000000000
AE234X;20230320;20240609;1.000000000
VN10BU;20210920;20240609;0.999800000
VN00CU;20120319;20240609;0.998700000
CO6017;20160321;20161002;0.996400000
VN10CV;20210920;20240609;0.994300000
ES603F;20170619;20191202;0.991800000
US3H6C;20150921;20171001;0.990900000
IN711E;20150921;20210919;0.989000000
VN806W;20180319;20240609;0.981600000
IN804H;20180319;20210919;0.980000000
US93SQ;20130318;20220918;0.978500000
ID3020;20130318;20161216;0.977200000
TH00NX;20120319;20230319;0.976300000
TH005F;20120319;20240609;0.976000000
IN602D;20160321;20210919;0.968300000
IN70CO;20170918;20210919;0.958000000
NG20RW;20120319;20220918;0.956800000
NL202C;20120924;20131028;0.952700000
IN007C;20120319;20240609;0.947100000
FI1086;20120319;20170831;0.941700000
CN338D;20210920;20240609;0.940000000
CN2K0L;20210920;20240918;0.940000000
CN2KG1;20210920;20240918;0.940000000
CN2PZP;20210920;20240918;0.940000000
CN38S2;20210920;20240918;0.940000000
CN2UJE;20210920;20240918;0.940000000
CN2PUK;20210920;20240918;0.940000000
CN2ZBB;20210920;20240918;0.940000000
CN2RIA;20210920;20240918;0.940000000
CN2FUA;20210920;20240918;0.940000000
CN2MPC;20210920;20240918;0.940000000
CN2XEC;20210920;20240918;0.940000000
CN36CK;20210920;20240918;0.940000000
CN2YNM;20210920;20240918;0.940000000
CN2I4N;20210920;20240918;0.940000000
CN3079;20210920;20240918;0.940000000
CN2I9S;20210920;20240918;0.940000000
CN2YFE;20210920;20240918;0.940000000
CN2N7V;20210920;20240918;0.940000000
CN362A;20210920;20240918;0.940000000
CN2JVF;20210920;20240918;0.940000000
CN2UD8;20210920;20240918;0.940000000
CN2S81;20210920;20240918;0.940000000
CN2RME;20210920;20240918;0.940000000
CN2SIB;20210920;20240918;0.940000000
CN2TPJ;20220817;20240918;0.940000000
CN2FT9;20220817;20240609;0.940000000
CN2TWQ;20220817;20240918;0.940000000
CN2HVD;20220817;20240918;0.940000000
CN2ORG;20220817;20240918;0.940000000
CN37BK;20220817;20240918;0.940000000
CN36AI;20220817;20240918;0.940000000
CN2JO8;20220817;20240918;0.940000000
CN1TZS;20221124;20240918;0.940000000
CN7B0H;20230605;20240918;0.940000000
CN7ERB;20230605;20240918;0.940000000
CN4128;20231130;20240918;0.940000000
CNEY8J;20231130;20240918;0.940000000
CNED3T;20231130;20240918;0.940000000
CNEPVX;20231130;20240918;0.940000000
CNEB6U;20231130;20240918;0.940000000
CNEATG;20231130;20240918;0.940000000
CNEFNF;20231130;20240918;0.940000000
VN212N;20120319;20240609;0.936300000
EG0093;20120924;20190317;0.933600000
VN80C2;20180924;20240609;0.931800000
VN90B2;20200323;20240609;0.930100000
NO90CW;20190923;20200407;0.922600000
VN10J2;20120319;20200920;0.920000000
VN20BV;20120319;20210919;0.918300000
689416;20120319;20240918;0.918100000
TH501G;20120924;20240609;0.917000000
VN230N;20221124;20240609;0.916900000
KR04VA;20120319;20240609;0.915800000
603658;20120319;20240609;0.912100000
VN00K2;20190923;20240609;0.911500000
BR10DG;20120319;20210919;0.910100000
MX403Q;20140324;20240918;0.908800000
IN610C;20170320;20210919;0.906600000
CN8ZHN;20230918;20240609;0.905800000
TH21ZC;20120319;20170317;0.900800000
VN21L6;20120319;20240609;0.900200000
EG20XT;20120319;20120921;0.899900000
VN10RA;20210920;20240609;0.899300000
IN09JX;20120319;20130315;0.898600000
643610;20120319;20210630;0.896100000
IN304C;20120319;20240918;0.891500000
MX00H0;20120319;20140921;0.890000000
CN344A;20220817;20240918;0.890000000
CN7G9V;20230605;20240918;0.889700000
VN409V;20150323;20240609;0.889600000
SG705K;20180319;20180923;0.885800000
CNEBVJ;20231130;20240918;0.884900000
VN10AT;20210920;20240609;0.884600000
CNEYCN;20231130;20240918;0.882100000
US021P;20140922;20160918;0.881600000
CN2QQH;20220817;20240918;0.877800000
CNES49;20231130;20240918;0.877700000
US03AZ;20120319;20240609;0.876600000
US90D8;20120319;20140323;0.876300000
CNEFVN;20231130;20240918;0.876100000
VN109S;20210920;20240609;0.875000000
CN32Y2;20220817;20240918;0.874900000
TH21XA;20120319;20240918;0.874600000
CNEB3R;20231130;20240918;0.874600000
CN76P1;20230605;20240918;0.872800000
CN2ZGG;20220817;20240918;0.872700000
VN003L;20120319;20240609;0.872600000
CN32RV;20220817;20240918;0.872400000
CN30WY;20220817;20240918;0.871400000
CN2GVC;20220817;20240918;0.871300000
