Date,Internal_Number,startDate,endDate,max_difference
2012-12-24 00:00:00.000000,CELG,2012-03-19 00:00:00.000000,2013-03-17 00:00:00.000000,0.063400000
2012-12-24 00:00:00.000000,ISRG,2012-03-19 00:00:00.000000,2016-03-20 00:00:00.000000,0.067900000
2012-12-24 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2012-12-24 00:00:00.000000,MAT,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.136500000
2012-12-24 00:00:00.000000,NTLI,2012-09-24 00:00:00.000000,2013-03-17 00:00:00.000000,0.014300000
2012-12-24 00:00:00.000000,HANS,2012-03-19 00:00:00.000000,2015-09-18 00:00:00.000000,0.038700000
2012-12-24 00:00:00.000000,WDC,2012-03-19 00:00:00.000000,2014-03-23 00:00:00.000000,0.106400000
2012-12-24 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2012-12-24 00:00:00.000000,MU,2012-03-19 00:00:00.000000,2017-09-17 00:00:00.000000,0.119800000
2012-12-24 00:00:00.000000,GMCR,2012-09-24 00:00:00.000000,2013-03-15 00:00:00.000000,0.003600000
2013-12-23 00:00:00.000000,US20PD,2013-03-18 00:00:00.000000,2014-03-23 00:00:00.000000,0.051200000
2013-12-23 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2013-12-23 00:00:00.000000,MU,2012-03-19 00:00:00.000000,2017-09-17 00:00:00.000000,0.119800000
2013-12-23 00:00:00.000000,WFMI,2013-06-24 00:00:00.000000,2015-03-22 00:00:00.000000,0.059800000
2013-12-23 00:00:00.000000,ATVI,2013-09-23 00:00:00.000000,2017-03-19 00:00:00.000000,0.244100000
2013-12-23 00:00:00.000000,WDC,2012-03-19 00:00:00.000000,2014-03-23 00:00:00.000000,0.106400000
2013-12-23 00:00:00.000000,MAT,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.136500000
2013-12-23 00:00:00.000000,ISRG,2012-03-19 00:00:00.000000,2016-03-20 00:00:00.000000,0.067900000
2013-12-23 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2013-12-23 00:00:00.000000,HANS,2012-03-19 00:00:00.000000,2015-09-18 00:00:00.000000,0.038700000
2013-12-23 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2014-12-22 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2014-12-22 00:00:00.000000,MU,2012-03-19 00:00:00.000000,2017-09-17 00:00:00.000000,0.119800000
2014-12-22 00:00:00.000000,US01BY,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.750000000
2014-12-22 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2014-12-22 00:00:00.000000,HANS,2012-03-19 00:00:00.000000,2015-09-18 00:00:00.000000,0.038700000
2014-12-22 00:00:00.000000,ISRG,2012-03-19 00:00:00.000000,2016-03-20 00:00:00.000000,0.067900000
2014-12-22 00:00:00.000000,WFMI,2013-06-24 00:00:00.000000,2015-03-22 00:00:00.000000,0.059800000
2014-12-22 00:00:00.000000,ATVI,2013-09-23 00:00:00.000000,2017-03-19 00:00:00.000000,0.244100000
2014-12-22 00:00:00.000000,CA,2014-09-22 00:00:00.000000,2018-09-23 00:00:00.000000,0.063700000
2014-12-22 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2014-12-22 00:00:00.000000,MAT,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.136500000
2015-12-21 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2015-12-21 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2015-12-21 00:00:00.000000,U0026,2013-09-23 00:00:00.000000,2019-03-17 00:00:00.000000,0.653900000
2015-12-21 00:00:00.000000,US01BY,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.750000000
2015-12-21 00:00:00.000000,ATVI,2013-09-23 00:00:00.000000,2017-03-19 00:00:00.000000,0.244100000
2015-12-21 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2015-12-21 00:00:00.000000,ISRG,2012-03-19 00:00:00.000000,2016-03-20 00:00:00.000000,0.067900000
2015-12-21 00:00:00.000000,DLTR,2015-09-21 00:00:00.000000,2016-09-18 00:00:00.000000,0.069200000
2015-12-21 00:00:00.000000,MU,2012-03-19 00:00:00.000000,2017-09-17 00:00:00.000000,0.119800000
2015-12-21 00:00:00.000000,CHKPF,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.046300000
2015-12-21 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2015-12-21 00:00:00.000000,ENDP,2012-03-19 00:00:00.000000,2016-03-20 00:00:00.000000,0.100100000
2015-12-21 00:00:00.000000,CA,2014-09-22 00:00:00.000000,2018-09-23 00:00:00.000000,0.063700000
2015-12-21 00:00:00.000000,MAT,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.136500000
2016-12-19 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2016-12-19 00:00:00.000000,U0026,2013-09-23 00:00:00.000000,2019-03-17 00:00:00.000000,0.653900000
2016-12-19 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2016-12-19 00:00:00.000000,YHOO,2016-09-19 00:00:00.000000,2018-07-31 00:00:00.000000,0.028400000
2016-12-19 00:00:00.000000,ATVI,2013-09-23 00:00:00.000000,2017-03-19 00:00:00.000000,0.244100000
2016-12-19 00:00:00.000000,US01BY,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.750000000
2016-12-19 00:00:00.000000,MU,2012-03-19 00:00:00.000000,2017-09-17 00:00:00.000000,0.119800000
2016-12-19 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2016-12-19 00:00:00.000000,CHKPF,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.046300000
2016-12-19 00:00:00.000000,CA,2014-09-22 00:00:00.000000,2018-09-23 00:00:00.000000,0.063700000
2016-12-19 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2016-12-19 00:00:00.000000,MAT,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.136500000
2016-12-19 00:00:00.000000,IDXX,2016-09-19 00:00:00.000000,2020-03-22 00:00:00.000000,0.052900000
2017-12-18 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2017-12-18 00:00:00.000000,U0026,2013-09-23 00:00:00.000000,2019-03-17 00:00:00.000000,0.653900000
2017-12-18 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2017-12-18 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2017-12-18 00:00:00.000000,US01BY,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.750000000
2017-12-18 00:00:00.000000,CERN,2017-12-18 00:00:00.000000,2018-03-18 00:00:00.000000,0.051900000
2017-12-18 00:00:00.000000,CHKPF,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.046300000
2017-12-18 00:00:00.000000,CA,2014-09-22 00:00:00.000000,2018-09-23 00:00:00.000000,0.063700000
2017-12-18 00:00:00.000000,IDXX,2016-09-19 00:00:00.000000,2020-03-22 00:00:00.000000,0.052900000
2017-12-18 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2017-12-18 00:00:00.000000,US31D3,2014-09-22 00:00:00.000000,2021-09-19 00:00:00.000000,0.065200000
2017-12-18 00:00:00.000000,US404U,2014-02-14 00:00:00.000000,2022-09-18 00:00:00.000000,0.149700000
2018-12-24 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2018-12-24 00:00:00.000000,U0026,2013-09-23 00:00:00.000000,2019-03-17 00:00:00.000000,0.653900000
2018-12-24 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2018-12-24 00:00:00.000000,REGN,2012-03-19 00:00:00.000000,2019-03-17 00:00:00.000000,0.033300000
2018-12-24 00:00:00.000000,UAUA,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.841300000
2018-12-24 00:00:00.000000,US31D3,2014-09-22 00:00:00.000000,2021-09-19 00:00:00.000000,0.065200000
2018-12-24 00:00:00.000000,AMD,2014-03-24 00:00:00.000000,2019-09-22 00:00:00.000000,0.116300000
2018-12-24 00:00:00.000000,US01BY,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.750000000
2018-12-24 00:00:00.000000,CHKPF,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.046300000
2018-12-24 00:00:00.000000,IDXX,2016-09-19 00:00:00.000000,2020-03-22 00:00:00.000000,0.052900000
2018-12-24 00:00:00.000000,MCHP,2018-03-19 00:00:00.000000,2020-09-20 00:00:00.000000,0.059500000
2018-12-24 00:00:00.000000,HSIC,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.195400000
2019-12-23 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2019-12-23 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2019-12-23 00:00:00.000000,US31D3,2014-09-22 00:00:00.000000,2021-09-19 00:00:00.000000,0.065200000
2019-12-23 00:00:00.000000,US00K6,2016-12-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.102400000
2019-12-23 00:00:00.000000,WSH,2019-09-23 00:00:00.000000,2020-03-22 00:00:00.000000,0.051900000
2019-12-23 00:00:00.000000,UAUA,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.841300000
2019-12-23 00:00:00.000000,MCHP,2018-03-19 00:00:00.000000,2020-09-20 00:00:00.000000,0.059500000
2019-12-23 00:00:00.000000,IDXX,2016-09-19 00:00:00.000000,2020-03-22 00:00:00.000000,0.052900000
2019-12-23 00:00:00.000000,US507Y,2016-09-19 00:00:00.000000,2022-03-20 00:00:00.000000,0.168600000
2019-12-23 00:00:00.000000,CHKPF,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.046300000
2019-12-23 00:00:00.000000,US01BY,2012-03-19 00:00:00.000000,2024-09-18 00:00:00.000000,0.750000000
2019-12-23 00:00:00.000000,NWSA,2019-09-23 00:00:00.000000,2022-09-18 00:00:00.000000,0.074000000
2020-12-21 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2020-12-21 00:00:00.000000,US31D3,2014-09-22 00:00:00.000000,2021-09-19 00:00:00.000000,0.065200000
2020-12-21 00:00:00.000000,US9J6K,2018-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.120000000
2020-12-21 00:00:00.000000,NSP,2020-03-23 00:00:00.000000,2022-03-20 00:00:00.000000,0.066600000
2020-12-21 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2020-12-21 00:00:00.000000,US507Y,2016-09-19 00:00:00.000000,2022-03-20 00:00:00.000000,0.168600000
2020-12-21 00:00:00.000000,CHKPF,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.046300000
2020-12-21 00:00:00.000000,US804Y,2018-02-20 00:00:00.000000,2021-03-21 00:00:00.000000,0.170900000
2021-12-20 00:00:00.000000,US92NK,2021-03-22 00:00:00.000000,2022-09-18 00:00:00.000000,0.114700000
2021-12-20 00:00:00.000000,US00K6,2016-12-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.102400000
2021-12-20 00:00:00.000000,US507Y,2016-09-19 00:00:00.000000,2022-03-20 00:00:00.000000,0.168600000
2021-12-20 00:00:00.000000,ILMN,2012-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.146800000
2021-12-20 00:00:00.000000,US9J6K,2018-03-19 00:00:00.000000,2022-09-18 00:00:00.000000,0.120000000
2021-12-20 00:00:00.000000,US05B2,2020-04-01 00:00:00.000000,2022-03-20 00:00:00.000000,0.098000000
2021-12-20 00:00:00.000000,WAG,2012-09-24 00:00:00.000000,2022-09-18 00:00:00.000000,0.077200000
2021-12-20 00:00:00.000000,NSP,2020-03-23 00:00:00.000000,2022-03-20 00:00:00.000000,0.066600000
