Date,Internal_Number,startDate,endDate,max_difference
2013-03-18 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2013-03-18 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2013-03-18 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2013-03-18 00:00:00.000000,VN21L6,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.900200000
2013-09-23 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2013-09-23 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2013-09-23 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2013-09-23 00:00:00.000000,VN21L6,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.900200000
2013-09-23 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2013-09-23 00:00:00.000000,VN205P,2013-03-18 00:00:00.000000,2016-09-18 00:00:00.000000,0.659000000
2014-03-24 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2014-03-24 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2014-03-24 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2014-03-24 00:00:00.000000,VN205P,2013-03-18 00:00:00.000000,2016-09-18 00:00:00.000000,0.659000000
2014-03-24 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2014-03-24 00:00:00.000000,VN21L6,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.900200000
2014-09-22 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2014-09-22 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2014-09-22 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2014-09-22 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2014-09-22 00:00:00.000000,VN205P,2013-03-18 00:00:00.000000,2016-09-18 00:00:00.000000,0.659000000
2014-09-22 00:00:00.000000,VN21L6,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.900200000
2015-03-23 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2015-03-23 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2015-03-23 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2015-03-23 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2015-03-23 00:00:00.000000,VN205P,2013-03-18 00:00:00.000000,2016-09-18 00:00:00.000000,0.659000000
2015-03-23 00:00:00.000000,VN403P,2014-03-24 00:00:00.000000,2022-09-26 00:00:00.000000,0.579600000
2015-03-23 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2015-09-21 00:00:00.000000,VN403P,2014-03-24 00:00:00.000000,2022-09-26 00:00:00.000000,0.579600000
2015-09-21 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2015-09-21 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2015-09-21 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2015-09-21 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2015-09-21 00:00:00.000000,VN205P,2013-03-18 00:00:00.000000,2016-09-18 00:00:00.000000,0.659000000
2015-09-21 00:00:00.000000,VN005N,2015-09-21 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
