;Date;Instrument_Name;Internal_Number;Close_unadjusted_local;FX_local_to_Index_Currency
0;2024-09-12;Apple Inc.;AAPL;222.77;0.9057972
1;2024-09-12;Microsoft Corp.;MSFT;427.0;0.9057972
2;2024-09-12;NVIDIA Corp.;NVDA;119.14;0.9057972
3;2024-09-12;Amazon.com Inc.;AMZN;187.0;0.9057972
4;2024-09-12;META PLATFORMS CLASS A;US20PD;525.6;0.9057972
5;2024-09-12;ALPHABET INC. CL A;GOOG;154.69;0.9057972
6;2024-09-12;ALPHABET CLASS C;US40C2;155.54;0.9057972
7;2024-09-12;Eli Lilly & Co.;LLY;935.02;0.9057972
8;2024-09-12;BROADCOM;BRCM;164.56;0.9057972
9;2024-09-12;TSMC;TW001Q;940.0;0.0281917
10;2024-09-12;TESLA;US10YL;229.81;0.9057972
11;2024-09-12;JPMorgan Chase & Co.;CHL;206.6;0.9057972
12;2024-09-12;Berkshire Hathaway Inc. Cl B;BRKB;450.87;0.9057972
13;2024-09-12;UnitedHealth Group Inc.;UNH;588.42;0.9057972
14;2024-09-12;Exxon Mobil Corp.;XON;111.23;0.9057972
15;2024-09-12;VISA Inc. Cl A;U0401;285.37;0.9057972
16;2024-09-12;NOVO NORDISK B;465191;914.2;0.1340016
17;2024-09-12;Procter & Gamble Co.;PG;173.47;0.9057972
18;2024-09-12;MasterCard Inc. Cl A;MACA;492.11;0.9057972
19;2024-09-12;Costco Wholesale Corp.;PCCW;915.03;0.9057972
20;2024-09-12;Johnson & Johnson;JNJ;164.64;0.9057972
21;2024-09-12;Home Depot Inc.;HD;374.43;0.9057972
22;2024-09-12;WALMART INC.;WMT;79.66;0.9057972
23;2024-09-12;ABBVIE;US20SG;194.02;0.9057972
24;2024-09-12;ASML HLDG;546078;722.4;1.0
25;2024-09-12;TENCENT HOLDINGS;CN89O4;372.6;0.116082
26;2024-09-12;Netflix Inc.;NFLX;686.8;0.9057972
27;2024-09-12;Merck & Co. Inc.;MRK;115.25;0.9057972
28;2024-09-12;Coca-Cola Co.;KO;71.23;0.9057972
29;2024-09-12;Samsung Electronics Co Ltd;KR002D;66300.0;0.0006766
30;2024-09-12;NESTLE;461669;87.88;1.0607267
31;2024-09-12;Bank of America Corp.;NB;38.78;0.9057972
32;2024-09-12;ADOBE;ADBE;586.55;0.9057972
33;2024-09-12;Oracle Corp.;ORCL;161.38;0.9057972
34;2024-09-12;SALESFORCE INC.;SFC;253.37;0.9057972
35;2024-09-12;ASTRAZENECA;098952;120.5;1.1848342
36;2024-09-12;PepsiCo Inc.;PEP;177.25;0.9057972
37;2024-09-12;ADVANCED MICRO DEVICES;AMD;150.77;0.9057972
38;2024-09-12;Chevron Corp.;CHV;139.21;0.9057972
39;2024-09-12;Accenture PLC Cl A;ACN;349.89;0.9057972
40;2024-09-12;NOVARTIS;477408;98.44;1.0607267
41;2024-09-12;Thermo Fisher Scientific Inc.;TMO;614.16;0.9057972
42;2024-09-12;SAP;476361;199.18;1.0
