RIC;Name;Country;ISO;Weight
AGUASA.SN;AGUAS ANDINAS SA ORD;CHILE;CL;0.000706
DOHOL.IS;DOGAN SIRKETLER GRUBU HOLDING AS ORD;TURKEY;TR;0.000321
053610.KQ;PROTEC CO LTD ORD;KOREA;KR;0.00016
6121.TWO;SIMPLO TECHNOLOGY CO LTD ORD;TAIWAN;TW;0.001982
6146.TWO;SPORTON INTERNATIONAL INC ORD;TAIWAN;TW;0.000553
6188.TWO;QUANTA STORAGE INC ORD;TAIWAN;TW;0.000455
1537.TW;KUNG LONG BATTERIES INDUSTRIAL CO LTD ORD;TAIWAN;TW;0.000218
BLANDf.BK;BANGKOK LAND PCL ORD;THAILAND;TH;0.000154
2328.TW;PAN-INTERNATIONAL INDUSTRIAL CORP ORD;TAIWAN;TW;0.00037
5534.TW;CHONG HONG CONSTRUCTION CO LTD ORD;TAIWAN;TW;0.00033
AFEJ.J;AECI LTD ORD;SOUTH AFRICA;ZA;0.000591
AVIJ.J;AVI LTD ORD;SOUTH AFRICA;ZA;0.001293
2889.TW;IBF FINANCIAL HOLDINGS CO LTD ORD;TAIWAN;TW;0.000812
HEIN.KL;HEINEKEN MALAYSIA BHD ORD;MALAYSIA;MY;0.000605
0535.HK;GEMDALE PROPERTIES AND INVESTMENT CORPORATION LTD ORD;HONG KONG;HK;0.000221
UMWS.SI^K98;UMW HOLDINGS BHD ORD;MALAYSIA;MY;0.000387
1736.TW;JOHNSON HEALTH TECH CO LTD ORD;TAIWAN;TW;0.000178
6223.TWO;MPI CORP ORD;TAIWAN;TW;0.000513
STAf.BK;SRI TRANG AGRO INDUSTRY PCL ORD;THAILAND;TH;0.000305
1477.TW;MAKALOT INDUSTRIAL CO LTD ORD;TAIWAN;TW;0.002164
MILP.WA;BANK MILLENNIUM SA ORD;POLAND;PL;0.001111
6235.TW;WAFFER TECHNOLOGY CORP ORD;TAIWAN;TW;0.000446
6257.TW;SIGURD MICROELECTRONICS CORP ORD;TAIWAN;TW;0.000813
DCCn.BK;DYNASTY CERAMIC NVDR;THAILAND;TH;0.000156
SCCCn.BK;SIAM CITY NVDR;THAILAND;TH;0.00025
TASCOn.BK;TIPCO ASPHALT NVDR;THAILAND;TH;0.000214
TUn.BK;THAI UNION GRO NVDR;THAILAND;TH;0.001032
6282.TW;ACBEL POLYTECH INC ORD;TAIWAN;TW;0.00068
6605.TW;DEPO AUTO PARTS INDUSTRIAL CO LTD ORD;TAIWAN;TW;0.000329
2329.TW;ORIENT SEMICONDUCTOR ELECTRONICS LTD ORD;TAIWAN;TW;0.000591
TKGJ.J;TELKOM SA TELKOM SA TELKOM ORD;SOUTH AFRICA;ZA;0.000385
MEG.PS;MEGAWORLD CORP ORD;PHILIPPINES;PH;0.000294
2314.HK;LEE & MAN PAPER MANUFACTURING LTD ORD;HONG KONG;HK;0.000331
034310.KS;NICE HOLDINGS CO LTD ORD;KOREA;KR;0.000102
MAGM.KL;MAGNUM BHD ORD;MALAYSIA;MY;0.000166
KPJH.KL;KPJ HEALTHCARE BHD ORD;MALAYSIA;MY;0.000395
1208.HK;MMG LTD ORD;AUSTRALIA;AU;0.000771
9921.TW;GIANT MANUFACTURING CO LTD ORD;TAIWAN;TW;0.001584
1710.TW;ORIENTAL UNION CHEMICAL CORP ORD;TAIWAN;TW;0.000254
KONYA.IS;KONYA CIMENTO SANAYII AS ORD;TURKEY;TR;0.000208
2337.TW;MACRONIX INTERNATIONAL CO LTD ORD;TAIWAN;TW;0.00169
CBMS.KL;CARLSBERG BREWERY MALAYSIA BHD ORD;MALAYSIA;MY;0.000527
GRTJ.J;GROWTHPOINT PROPERTIES LTD ORD;SOUTH AFRICA;ZA;0.001832
2338.TW;TAIWAN MASK CORP ORD;TAIWAN;TW;0.000419
HCIJ.J;HOSKEN CONSOLIDATED INVESTMENTS LTD ORD;SOUTH AFRICA;ZA;0.000422
PETKM.IS;PETKIM PETROKIMYA HOLDING AS ORD;TURKEY;TR;0.000609
RLC.PS;ROBINSONS LAND CORP ORD;PHILIPPINES;PH;0.00044
SARKY.IS;SARKUYSAN ELEKTROLITIK BAKIR SANAYI VE TICARET AS ORD;TURKEY;TR;0.000295
TSKB.IS;TURKIYE SINAI KALKINMA BANKASI AS ORD;TURKEY;TR;0.000199
SREK.KW;SALHIA REAL ESTATE CO KSCP ORD;KUWAIT;KW;0.000547
2530.TW;DELPHA CONSTRUCTION CO LTD ORD;TAIWAN;TW;0.000321
AFIN.KL;AFFIN BANK BHD ORD;MALAYSIA;MY;0.000143
1314.TW;CHINA PETROCHEMICAL DEVELOPMENT CORP ORD;TAIWAN;TW;0.000978
SNTJ.J;SANTAM LTD ORD;SOUTH AFRICA;ZA;0.000594
OMNJ.J;OMNIA HOLDINGS LTD ORD;SOUTH AFRICA;ZA;0.000578
KTY.WA;GRUPA KETY SA ORD;POLAND;PL;0.001564
1232.TW;TTET UNION CORP ORD;TAIWAN;TW;0.000067
TAKA.KL;SYARIKAT TAKAFUL MALAYSIA KELUARGA BHD ORD;MALAYSIA;MY;0.00011
900941.SS;EASTERN COMMUNICATIONS CO LTD ORD;CHINA;CN;0.000105
0297.HK;SINOFERT HOLDINGS LTD ORD;HONG KONG;HK;0.000219
2355.TW;CHIN-POON INDUSTRIAL CO LTD ORD;TAIWAN;TW;0.00051
900942.SS;HUANGSHAN TOURISM DEVELOPMENT CO LTD ORD;CHINA;CN;0.000098
0604.HK;SHENZHEN INVESTMENT LTD ORD;HONG KONG;HK;0.000352
1532.TW;CHINA METAL PRODUCTS CO LTD ORD;TAIWAN;TW;0.000272
