Date;internalNumber;country;Final_Weight
2023-12-18;AE23IB;AE;0.001173493
2023-12-18;AE301S;AE;0.001143505
2023-12-18;AE20XN;AE;0.001115847
2023-12-18;BR00FH;BR;0.001418528
2023-12-18;IN10BH;IN;0.001705027
2023-12-18;AE303U;AE;0.000673353
2023-12-18;EG8013;EG;0.000459242
2023-12-18;IN104A;IN;0.000598854
2023-12-18;ZA00MV;ZA;0.001566872
2023-12-18;MX024P;MX;0.001350373
2023-12-18;TW117Y;TW;0.001470754
2023-12-18;MX11M7;MX;0.00141031
2023-12-18;IN11IP;IN;0.000644981
2023-12-18;IN616I;IN;0.000904203
2023-12-18;IN047G;IN;0.001772639
2023-12-18;AE22B3;AE;0.000684273
2023-12-18;SA238F;SA;0.00089982
2023-12-18;IN50Y8;IN;0.001174256
2023-12-18;MX802T;MX;0.001370236
2023-12-18;IN01TZ;IN;0.001251891
2023-12-18;IN0BN3;IN;0.00065257
2023-12-18;EG20EA;EG;0.000509425
2023-12-18;IN06S3;IN;0.001418024
2023-12-18;BR02Y2;BR;0.002445587
2023-12-18;BR02JN;BR;0.001509784
2023-12-18;IN0A1G;IN;0.000594833
2023-12-18;AE2280;AE;0.000426473
2023-12-18;MX406T;MX;0.002400864
2023-12-18;IN50W6;IN;0.001181008
2023-12-18;IN80DQ;IN;0.000498058
2023-12-18;IN811F;IN;0.001784508
2023-12-18;IN30KS;IN;0.000717485
2023-12-18;IN18V9;IN;0.001231973
2023-12-18;MX504S;MX;0.000759552
2023-12-18;SA23GN;SA;0.000948386
2023-12-18;IN60U5;IN;0.000795853
2023-12-18;BR906H;BR;0.001832539
2023-12-18;IN30EM;IN;0.000752973
2023-12-18;QA20MO;QA;0.001929827
2023-12-18;KR22S7;KR;0.000847519
2023-12-18;IN0B9P;IN;0.002202122
2023-12-18;IN041A;IN;0.001181706
2023-12-18;IN025C;IN;0.000678106
2023-12-18;QA20UW;QA;0.001156117
2023-12-18;MX109T;MX;0.001856335
2023-12-18;MX302O;MX;0.001309017
2023-12-18;BR10X0;BR;0.000452358
2023-12-18;MX204P;MX;0.000892836
2023-12-18;IN07NZ;IN;0.000518643
2023-12-18;IN07GS;IN;0.001181188
2023-12-18;IN70O0;IN;0.000533397
2023-12-18;TW02OF;TW;0.00201129
2023-12-18;IN60ZA;IN;0.000883176
2023-12-18;TW11B2;TW;0.001967975
2023-12-18;SA2239;SA;0.000810445
2023-12-18;IN12IQ;IN;0.001022791
2023-12-18;IN05KU;IN;0.001310691
2023-12-18;BR171B;BR;0.000922497
2023-12-18;TW03JB;TW;0.000860665
2023-12-18;IN09N1;IN;0.000944771
2023-12-18;IN10U0;IN;0.001362867
2023-12-18;IN60FQ;IN;0.000904148
2023-12-18;IN05T3;IN;0.000537579
2023-12-18;IN08AN;IN;0.00101604
2023-12-18;KR22L0;KR;0.000833105
2023-12-18;TW04YR;TW;0.00143071
2023-12-18;IN0BJZ;IN;0.000874231
2023-12-18;IN04LU;IN;0.001106476
2023-12-18;IN0BBR;IN;0.00052185
2023-12-18;IN303B;IN;0.000521544
2023-12-18;IN04R0;IN;0.001124129
2023-12-18;SA22DJ;SA;0.000694588
2023-12-18;SA226C;SA;0.000970411
2023-12-18;IN05PZ;IN;0.001715909
2023-12-18;IN315E;IN;0.000505154
2023-12-18;IN3019;IN;0.000556942
2023-12-18;IN403C;IN;0.001129907
2023-12-18;IN157I;IN;0.000726619
2023-12-18;IN20QX;IN;0.000790139
2023-12-18;MY245V;MY;0.000457681
2023-12-18;PL303G;PL;0.001218864
2023-12-18;SA25V4;SA;0.000680215
2023-12-18;IN10SY;IN;0.000796879
2023-12-18;IN04GP;IN;0.000345883
2023-12-18;SA24FN;SA;0.000682131
2023-12-18;SA26MW;SA;0.000612921
2023-12-18;CN2CW9;CN;0.000415692
2023-12-18;IN70CO;IN;0.00138958
2023-12-18;IN0BAQ;IN;0.001411544
2023-12-18;TW30C4;TW;0.000876388
2023-12-18;IN0BDT;IN;0.000440415
2023-12-18;BR16BK;BR;0.001255815
2023-12-18;SA24QY;SA;0.000736045
2023-12-18;BR0406;BR;0.000708164
2023-12-18;TW08ZW;TW;0.001415716
2023-12-18;IN60P0;IN;0.000358891
2023-12-18;IN117E;IN;0.001242834
2023-12-18;IN40CL;IN;0.001012104
2023-12-18;IN709L;IN;0.000353222
2023-12-18;IN0B6M;IN;0.000373054
2023-12-18;BR30BG;BR;0.000685314
2023-12-18;IN20U1;IN;0.000470598
2023-12-18;SA2307;SA;0.000665341
2023-12-18;KR190L;KR;0.00112826
2023-12-18;KR70AC;KR;0.000892521
2023-12-18;TW090Y;TW;0.000537502
2023-12-18;TW15FA;TW;0.001588476
2023-12-18;IN02GN;IN;0.001324642
2023-12-18;SA274F;SA;0.000576943
2023-12-18;SA25R0;SA;0.000636557
2023-12-18;ID2164;ID;0.000468233
2023-12-18;IN18GU;IN;0.000866393
2023-12-18;IN809M;IN;0.001292838
2023-12-18;IN05GQ;IN;0.001479301
2023-12-18;CN17HO;CN;0.000493852
2023-12-18;IN70KW;IN;0.001150117
2023-12-18;TR005P;TR;0.000807766
2023-12-18;SA229F;SA;0.000721172
2023-12-18;515183;TR;0.000474993
2023-12-18;IN086J;IN;0.000604692
2023-12-18;IN0AJY;IN;0.000397963
2023-12-18;IN0218;IN;0.000537802
2023-12-18;IN19BQ;IN;0.00043069
2023-12-18;BR00EG;BR;0.00074302
2023-12-18;PL10CN;PL;0.001540045
2023-12-18;IN806J;IN;0.00104794
2023-12-18;IN60GR;IN;0.001189083
2023-12-18;KR22WB;KR;0.001188665
2023-12-18;TW18VT;TW;0.001669137
2023-12-18;SA20MQ;SA;0.000576609
2023-12-18;TR20TF;TR;0.000250065
2023-12-18;IN501B;IN;0.000542397
2023-12-18;SA216B;SA;0.000657177
2023-12-18;QA2013;QA;0.000562423
2023-12-18;IN077J;IN;0.000549049
2023-12-18;CN4D6M;CN;0.001637073
2023-12-18;MY23AZ;MY;0.000589979
2023-12-18;TH303G;TH;0.000577634
2023-12-18;IN829O;IN;0.000431597
2023-12-18;KR1KMI;KR;0.000359621
2023-12-18;IN12V3;IN;0.001051177
2023-12-18;BR172C;BR;0.000641045
2023-12-18;IN07LX;IN;0.000863231
2023-12-18;B28XVV;GR;0.000654552
2023-12-18;IN10TZ;IN;0.000381492
2023-12-18;IN506G;IN;0.001183258
2023-12-18;IN0BHX;IN;0.000622859
2023-12-18;IN12HP;IN;0.000962479
2023-12-18;CN2D6K;CN;0.000818568
2023-12-18;MY207T;MY;0.000833844
2023-12-18;IN00RW;IN;0.000405822
2023-12-18;IN21BJ;IN;0.000677297
2023-12-18;MY407V;MY;0.000305917
2023-12-18;CZ602J;CZ;0.000699606
2023-12-18;TW1190;TW;0.000668487
2023-12-18;EG0060;EG;0.000292979
2023-12-18;CN8EM7;CN;0.00041408
2023-12-18;TW05NH;TW;0.001049672
2023-12-18;SA24EM;SA;0.000511055
2023-12-18;TW07VR;TW;0.001447895
2023-12-18;BR602A;BR;0.000658577
2023-12-18;IN20CJ;IN;0.000714099
2023-12-18;TW0841;TW;0.001458933
2023-12-18;IN04U3;IN;0.000793107
2023-12-18;TR807Z;TR;0.000275511
2023-12-18;TR211O;TR;0.000235178
2023-12-18;PH405F;PH;0.000507826
2023-12-18;QA21GJ;QA;0.000588144
2023-12-18;TW01I8;TW;0.001208754
2023-12-18;IN10Y4;IN;0.000809451
2023-12-18;BR044A;BR;0.000491293
2023-12-18;KR02JW;KR;0.000838115
2023-12-18;IN30NV;IN;0.000421736
2023-12-18;EG2040;EG;0.000458713
2023-12-18;IN0BFV;IN;0.000772833
2023-12-18;KY10WF;CN;0.000610787
2023-12-18;BR1047;BR;0.000648693
2023-12-18;IN80S5;IN;0.00039
2023-12-18;469876;TR;0.000607297
2023-12-18;PH20HP;PH;0.000596307
2023-12-18;IN19JY;IN;0.000836642
2023-12-18;CN8FPB;CN;0.000672903
2023-12-18;ZA20KV;ZA;0.001132848
2023-12-18;B01GVS;TR;0.000473344
2023-12-18;ID2074;ID;0.000635548
2023-12-18;ID201Y;ID;0.000355641
2023-12-18;KR101D;KR;0.000429488
2023-12-18;TW02I9;TW;0.001084146
2023-12-18;KW20R9;KW;0.00041071
2023-12-18;ID202Z;ID;0.000549542
2023-12-18;ID12FD;ID;0.000610734
2023-12-18;KW26C0;KW;0.00043947
2023-12-18;B03MWQ;TR;0.000401426
2023-12-18;CN89VB;CN;0.000562759
2023-12-18;IN18Q4;IN;0.000388354
2023-12-18;SA305A;SA;0.000643597
2023-12-18;MX103N;MX;0.001032762
2023-12-18;SA265F;SA;0.000266569
2023-12-18;635467;CN;0.000529454
2023-12-18;CN2CV8;CN;0.00037527
2023-12-18;TW505Z;TW;0.000517111
2023-12-18;KR02T6;KR;0.00115518
2023-12-18;PL004E;PL;0.000742936
2023-12-18;KR10BN;KR;0.000942141
2023-12-18;TW02H8;TW;0.000710384
2023-12-18;IN710D;IN;0.000392631
2023-12-18;ID2085;ID;0.000398909
2023-12-18;CL00WT;CL;0.000678338
2023-12-18;IN13CL;IN;0.000563335
2023-12-18;TW08NK;TW;0.000909198
2023-12-18;IN03T1;IN;0.000528233
2023-12-18;TH30ER;TH;0.000267652
2023-12-18;IN60BM;IN;0.000716772
2023-12-18;IN507H;IN;0.000821307
2023-12-18;IN30X5;IN;0.000470822
2023-12-18;BR02OS;BR;0.001028618
2023-12-18;AE231U;AE;0.000476551
2023-12-18;TR10J4;TR;0.00045192
2023-12-18;SA215A;SA;0.000567609
2023-12-18;ID906A;ID;0.000190037
2023-12-18;ZA21AM;ZA;0.000388503
2023-12-18;KR03IW;KR;0.000659559
2023-12-18;IN13FO;IN;0.000784997
2023-12-18;IN30JR;IN;0.000469921
2023-12-18;IN065G;IN;0.000529932
2023-12-18;521638;PL;0.001301494
2023-12-18;KR04U9;KR;0.000962244
2023-12-18;ZA00KT;ZA;0.00119992
2023-12-18;IN19GV;IN;0.000719502
2023-12-18;IN20OV;IN;0.000542231
2023-12-18;BR1148;BR;0.000644894
2023-12-18;TW01F5;TW;0.000747333
2023-12-18;IN12JR;IN;0.000808456
2023-12-18;IN40FO;IN;0.000689307
2023-12-18;SA24JR;SA;0.000516639
2023-12-18;TW022T;TW;0.001137193
2023-12-18;593493;TR;0.000468507
2023-12-18;IN06T4;IN;0.000872757
2023-12-18;SA24AI;SA;0.000390444
2023-12-18;IN706I;IN;0.001135512
2023-12-18;IN035D;IN;0.000592843
2023-12-18;IN80AN;IN;0.000488386
2023-12-18;KR00U5;KR;0.000508332
2023-12-18;KR087Q;KR;0.000676285
2023-12-18;IN12NV;IN;0.000829606
2023-12-18;IN317G;IN;0.000666425
2023-12-18;KR61WE;KR;0.000856258
2023-12-18;IN122A;IN;0.000581041
2023-12-18;ZA00R0;ZA;0.00091825
2023-12-18;IN13AJ;IN;0.000864115
