,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Close_USD_Cutoff
50930,2023-12-18,1148,CN2Y98,CNE100002GK7,G BITS NET.TECH.XIAMEN 'A' (CCS),CN,CNY,40203040.0,35.943448870682005
50892,2023-12-18,1148,CN3035,CNE100002RH0,XINFENGMING GROUP 'A' (CCS),CN,CNY,55201010.0,1.6912254433320002
51043,2023-12-18,1148,CN353A,CNE100003ZJ7,CHINA SUNTIEN GREEN ENERGY 'A' (CCS),CN,CNY,65102020.0,1.099436772448
51492,2023-12-18,1148,CN91LU,HK0000056256,CHINA TRADITIONAL CHI MEDICINE,CN,HKD,20103015.0,0.5121453188
51123,2023-12-18,1148,CN33OT,CNE0000010Y1,Cnhtc Truck 'A' (CCS),CN,CNY,50206015.0,2.193264173608
51094,2023-12-18,1148,CN2XIG,CNE100000SM2,GUANGZHOU ZHUJIANG BREW. 'A' (CCS),CN,CNY,45101010.0,1.161139856616
50878,2023-12-18,1148,CN2QH8,CNE100000M47,TAIJI COMPUTER 'A' (CCS),CN,CNY,10101010.0,4.12288789668
51145,2023-12-18,1148,CN2MK7,CNE100000S58,ZHENGZHOU COAL MNG.MCH. GP.'A' (CCS),CN,CNY,50204020.0,1.66878795818
51170,2023-12-18,1148,CN2GVC,CNE1000008K2,SHANGHAI STONEHILL TECHNOLOGY (CCS),CN,CNY,10101015.0,0.44734736021800003
50864,2023-12-18,1148,CN2GK1,CNE0000014B1,Newland 'A' (CCS),CN,CNY,10101015.0,2.479342109296
51216,2023-12-18,1148,CN2TKE,CNE000000XH3,Shunxin 'A' (CCS),CN,CNY,45101015.0,3.444153970832
51138,2023-12-18,1148,CN2WYV,CNE000000FB3,Wanxiang 'A' (CCS),CN,CNY,40101025.0,0.772690894922
51484,2023-12-18,1148,CN87P3,KYG2110A1114,CHINASOFT INTERNATIONAL,CN,HKD,10101010.0,0.8565630456930001
51118,2023-12-18,1148,CN2TMG,CNE100000CT1,ZHEJIANG CRYSTAL OPTECH 'A' (CCS),CN,CNY,10102015.0,1.8300573827100002
51120,2023-12-18,1148,CN30GI,CNE000001DZ5,SHENGHE RESOURCES HDG. 'A' (CCS),CN,CNY,55102000.0,1.45142482077
51111,2023-12-18,1148,CN32W0,CNE100000643,Beijing BDStar 'A' (CCS),CN,CNY,15101010.0,4.666996911616001
51161,2023-12-18,1148,CN3C9N,CNE100001D21,GUOSHENG FINL.HLDG.'A' (CCS),CN,CNY,30202000.0,1.31119053857
51137,2023-12-18,1148,CN31PS,CNE1000026G2,QIANHE CONDIMENT &.FOOD 'A' (CCS),CN,CNY,45102020.0,2.4569046241440002
51115,2023-12-18,1148,CN2KH2,CNE000000Q29,CHINA MEHECO GROUP 'A' (CCS),CN,CNY,20103015.0,1.685616072044
51470,2023-12-18,1148,CN2CR4,HK0000658531,SIMCERE PHARMACEUTICAL GROUP,CN,HKD,20103015.0,0.944908113186
51116,2023-12-18,1148,CN2V95,CNE1000005X1,CNNC HUA YUAN TITANIUM DIOXIDE (CCS),CN,CNY,55201020.0,0.647882383764
51108,2023-12-18,1148,CN2FK0,CNE1000023Q8,LBX PHMCY.CHAIN 'A' (CCS),CN,CNY,45201015.0,4.28415732121
50911,2023-12-18,1148,CN38T3,CNE1000046G0,QINGDAO SENTURY TIRE 'A' (CCS),CN,CNY,40101015.0,3.855040417678
51495,2023-12-18,1148,HK90U4,KYG711391022,PING AN HEALTHCARE AND TECH CO,CN,HKD,20101025.0,2.2355143165620004
50784,2023-12-18,1148,CN91T2,US88557W1018,QIFU TECHNOLOGY ADR,CN,USD,30201020.0,15.52
51222,2023-12-18,1148,CN75R2,CNE000001642,CHINA PETROLEUM ENGINEERING A (CCS),CN,CNY,60101030.0,0.445945017396
51110,2023-12-18,1148,CN2N9X,CNE000001DG5,Gaochun Ceram 'A' (CCS),CN,CNY,50201020.0,2.002545549816
51460,2023-12-18,1148,HK01IK,HK1208013172,MMG,CN,HKD,55102040.0,0.28680137852800003
51048,2023-12-18,1148,CN2WPM,CNE100005154,QILU BANK 'A' (CCS),CN,CNY,30101010.0,0.538499643648
51472,2023-12-18,1148,CN2CU7,KYG2006G1156,CENTRAL NEW ENERGY HOLDING GROUP,CN,HKD,50101015.0,2.332821927134
51227,2023-12-18,1148,CN95DQ,CNE100004P08,ZHEJIANG PUBLISHIN 'A' (CCS),CN,CNY,40301030.0,1.105046143736
51107,2023-12-18,1148,CN36EM,CNE000001BG9,Pharm Glass 'A' (CCS),CN,CNY,20102015.0,3.696575678792
51117,2023-12-18,1148,CN2QZQ,CNE1000020C4,CHENGDU KANGHONG PHARM. 'A' (CCS),CN,CNY,20103015.0,2.665853704622
51129,2023-12-18,1148,CN2Y21,CNE000000XP6,ANHUI ZHONGDING SEALING PART A (CCS),CN,CNY,40101025.0,1.859506581972
51125,2023-12-18,1148,CN2SJC,CNE100001JZ1,HEFEI MEIYA OT.TECH.'A' (CCS),CN,CNY,50202025.0,2.7738341019160004
51467,2023-12-18,1148,CN2CAN,CNE100004QP1,SHANGHAI MICROPORT MEDBOT 'H',CN,HKD,20102010.0,2.567128410485
51230,2023-12-18,1148,CN4CCR,CNE100005857,SHENZHEN KTC TECHNOLOGY 'A' (CCS),CN,CNY,10102030.0,3.5885952814980002
51454,2023-12-18,1148,BM1075,BMG4404N1149,CHINA RUYI HOLDINGS,CN,HKD,40301010.0,0.226624303569
51150,2023-12-18,1148,CN33RW,CNE0000014Z0,SICHUAN NEW ENERGY POWER 'A' (CCS),CN,CNY,60102020.0,1.635131730452
51113,2023-12-18,1148,CN2URM,CNE0000004H9,Northeast Secs 'A' (CCS),CN,CNY,30202015.0,1.022307917238
51128,2023-12-18,1148,CN35OV,CNE100004355,SHAI.HUAFON ACP.'A' (CCS),CN,CNY,55102035.0,2.379775768934
51134,2023-12-18,1148,CN395G,CNE100004BQ1,CHINA NAT. GOLD GRP JEWEL 'A' (CCS),CN,CNY,40204030.0,1.4107568789320002
51131,2023-12-18,1148,CN2HHZ,CNE000000GH8,Fenghua Adv 'A' (CCS),CN,CNY,50202010.0,2.04742052012
51217,2023-12-18,1148,CN2VHD,CNE100002XN6,CHINA KINGS RESOURCES GP.'A' (CCS),CN,CNY,55102000.0,3.890098988228
51136,2023-12-18,1148,CN2I6P,CNE1000010M4,BBMG 'A' (CCS),CN,CNY,50101030.0,0.283273250044
51132,2023-12-18,1148,CN7D2L,CNE0000017Z3,China Railway 'A' (CCS),CN,CNY,50206025.0,1.0629758590760001
51186,2023-12-18,1148,CN37PY,CNE100002W27,JOINN LABORATORIES CHINA 'A' (CCS),CN,CNY,20103010.0,3.731634249342
51055,2023-12-18,1148,CN33UZ,CNE1000032W7,DOUBLE MEDICAL TECHNOLOGY 'A' (CCS),CN,CNY,20102010.0,5.685097800388
51443,2023-12-18,1148,635425,BMG2442N1048,COSCO SHIPPING PORTS,CN,HKD,50206060.0,0.672190730925
51154,2023-12-18,1148,CN2KCX,CNE000000B83,Sh Tunnel Eng 'A' (CCS),CN,CNY,50101010.0,0.747448724126
51474,2023-12-18,1148,CN887M,BMG653181005,NINE DRAGONS PAPER HDG.,CN,HKD,55101015.0,0.500622049127
51221,2023-12-18,1148,CN2G0H,CNE000001PP0,XINJIANG ZHONGTAI CHEMICAL 'A' (CCS),CN,CNY,55201000.0,0.905913463012
51109,2023-12-18,1148,CN33QV,CNE100002QJ8,CHOW TAI SENG JEWELLERY 'A' (CCS),CN,CNY,40204030.0,2.139975146372
51214,2023-12-18,1148,CN309B,CNE100001X35,NANJING ESTUN ATMTN.'A' (CCS),CN,CNY,50204000.0,2.6882911897740005
51174,2023-12-18,1148,CN96AO,CNE100000B65,HONGBO 'A' (CCS),CN,CNY,50205030.0,4.685227368302
51122,2023-12-18,1148,CN2QI9,CNE000000HN4,XINGRONG ENVIRONMENT 'A' (CCS),CN,CNY,65102030.0,0.779702609032
51173,2023-12-18,1148,CN2QXO,CNE000000FS7,Zhongjin 'A' (CCS),CN,CNY,55102050.0,0.621237870146
51162,2023-12-18,1148,CN33V0,CNE100003670,FORYOU 'A' (CCS),CN,CNY,50202010.0,4.861922563874001
51127,2023-12-18,1148,CN2R0S,CNE100001104,ZHEJIANG SEMIR GRMT.A (CCS),CN,CNY,40204020.0,0.861038492708
51133,2023-12-18,1148,CN3226,CNE000000D24,INNER MONGOLIA XINGYE SILVER TIN MINING.'A' (CCS),CN,CNY,55102000.0,1.2621085398
51187,2023-12-18,1148,CN38BL,CNE100000Z75,ANHUI HONGLU STL.CON. GP 'A' (CCS),CN,CNY,55102010.0,3.315138431208
