,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Close_USD_Cutoff,Weight,Mcap_Units_Index_Currency_Open,SEDOL
32715,2023-12-18,2027,AE23IB,AEE001901017,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1.859892021382,0.001176440272053258,1622864234.0,BDG1977
32716,2023-12-18,2027,AE301S,AEE01110S227,SALIK COMPANY,AE,AED,50206060.0,0.87139889728,0.0011479816834786844,1581391717.0,BJN5952
32717,2023-12-18,2027,AE20XN,AEN000401010,NATMARINE DREDGING CO,AE,AED,50101010.0,7.510369245931999,0.0010999225366386705,1543143672.0,6625838
32718,2023-12-18,2027,BR00FH,BRBRFSACNOR8,BRF SA,BR,BRL,45102020.0,2.972263047892,0.0014579038064091495,1961731023.0,2036995
32719,2023-12-18,2027,IN10BH,INE811K01011,Prestge Ests,IN,INR,35101010.0,12.03446677316,0.0017506669700902183,2357940287.0,B4T3LF9
32720,2023-12-18,2027,AE303U,AEE01134E227,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,0.4493150564099999,0.0006720365876986727,931203400.0,BPYSVC3
32721,2023-12-18,2027,EG8013,EGS39061C014,MISR FRETILIZERS,EG,EGP,55201015.0,17.9288646664,0.00046831846353276166,635102082.0,BWSW8F2
32722,2023-12-18,2027,IN104A,INE002L01015,Satluj Jal Vid,IN,INR,65101010.0,1.017821382728,0.0005810421815792829,828175571.0,B3Y50F6
32723,2023-12-18,2027,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,6.17045526658,0.0015013184034351154,2166881533.0,6410562
32724,2023-12-18,2027,MX024P,MX01PI000005,Promotora y Opr,MX,MXN,50101010.0,9.848335199976,0.001423346868742932,1867477837.0,2393388
32725,2023-12-18,2027,TW117Y,TW0003036000,WT Microelectron,TW,TWD,10102010.0,3.7932152649,0.0014668587198413579,2033955573.0,6290991
32726,2023-12-18,2027,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,9.14718531258,0.0014033620214330448,1950366207.0,BYMXF65
32727,2023-12-18,2027,IN11IP,INE342J01019,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,192.2444911392,0.0006425521621921424,891966952.0,B3DGKJ4
32728,2023-12-18,2027,IN616I,INE930H01031,KPR MILL,IN,INR,55101020.0,10.377868940645,0.000911287226087748,1250453924.0,BMDP7V5
32729,2023-12-18,2027,IN047G,INE061F01013,Fortis Healthcar,IN,INR,20101010.0,4.620846722835,0.001780948920804394,2451443561.0,B1XC098
32730,2023-12-18,2027,AE22B3,AEA003001012,AIR ARABIA,AE,AED,40501010.0,0.7325196980259999,0.0006768494418221112,946303973.0,B23DL40
32731,2023-12-18,2027,SA238F,SA121053DR18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,3.75850810062,0.0008931780716401179,1244392100.0,B2QG180
32732,2023-12-18,2027,IN50Y8,INE823G01014,JK CEMENT,IN,INR,50101030.0,43.70228592545,0.0011817918303434769,1623919499.0,B0CJ800
32733,2023-12-18,2027,MX802T,MX01GC2M0006,GCC,MX,MXN,50101030.0,9.813795796656,0.0013846364354927713,1894946265.0,2946663
