,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
177273,2023-12-18,2034,TH20FR,TH0671010Z08,MAJOR CINEPLEX GROUP,TH,THB,40301010.0,0.302,73751985.0,0.0002225114461744635
176828,2023-12-18,2034,CN2D3H,KYG4987A1094,JACOBIO PHARMACEUTICALS GROUP,CN,HKD,20103010.0,1.0,221241913.0,0.00022227897263646
175687,2023-12-18,2034,KR1BE1,KR7299900001,WYSIWYG STUDIOS,KR,KRW,40301010.0,1.0,356144721.0,0.0002221167302536178
175220,2023-12-18,2034,TW153Y,TW0004746003,FORMOSA LABORATORIES,TW,TWD,20103015.0,1.0,358365825.0,0.00022161355028829687
177216,2023-12-18,2034,TH212F,TH0297010Z02,GFPT,TH,THB,45102010.0,0.49,187836034.0,0.00022161312487219763
176571,2023-12-18,2034,MY21TG,MYL3395OO000,BERJAYA,MY,MYR,40401010.0,1.0,336571500.0,0.00022101058671584117
175288,2023-12-18,2034,TW13TM,TW0009927004,Thye Ming Indu,TW,TWD,55102050.0,1.0,233137876.0,0.00022077340908010975
174995,2023-12-18,2034,CN2DES,US25445D1019,DINGDONG CAYMAN 2 ADR 2:3,CN,USD,45201010.0,1.0,222945501.0,0.00022067856087325892
177227,2023-12-18,2034,TH21CP,TH0380010Y07,THAICOM,TH,THB,15102015.0,0.6795787,155329312.0,0.00022062231985400511
174922,2023-12-18,2034,IN026D,INE032A01023,Bombay Dyeing,IN,INR,55101020.0,1.0,215276830.0,0.0002203581964630447
175209,2023-12-18,2034,TW11OF,TW0008213000,Taiwan PCB Tech,TW,TWD,10102015.0,1.0,381280846.0,0.00022018783582025025
175279,2023-12-18,2034,TW60KF,TW0004438007,QUANG VIET ENTERPRISE,TW,TWD,40204020.0,1.0,249635790.0,0.00022014007758605714
177376,2023-12-18,2034,ID20EB,ID1000106206,MEDIA NUSNT.CITRA,ID,IDR,40301035.0,1.0,196767102.0,0.00022012994068364546
174945,2023-12-18,2034,IN1118,INE683C01011,MAITHAN ALLOYS,IN,INR,55102010.0,1.0,174442957.0,0.0002193290377497349
175771,2023-12-18,2034,KR21U8,KR7079370003,ZEUS,KR,KRW,10102020.0,1.0,268189102.0,0.00021891866433855638
175222,2023-12-18,2034,TW02QH,TW0002323003,CMC Magnetics,TW,TWD,10102030.0,1.0,352423680.0,0.0002188179575019354
174916,2023-12-18,2034,IN611D,INE659A01023,SUDARSHAN CHEMICALS,IN,INR,55201020.0,1.0,229725965.0,0.00021833203377799858
174917,2023-12-18,2034,IN125D,INE933K01021,BAJAJ CONSUMER CARE,IN,INR,45201020.0,1.0,226862215.0,0.0002180917232477362
176534,2023-12-18,2034,CL00TQ,CL0000001934,Sonda SA,CL,CLP,10101010.0,1.0,229928367.0,0.00021719016115183499
177018,2023-12-18,2034,TR603T,TREPOHO00012,POLISAN HOLDING,TR,TRY,55201020.0,1.0,96883753.0,0.00021718628213532554
175389,2023-12-18,2034,PL20FR,CY1000031710,ASBISC ENTERPRISES (DI),PL,PLN,10102030.0,1.0,251529860.0,0.00021716227368595857
175726,2023-12-18,2034,KR516N,KR7068240001,DAWONSYS,KR,KRW,50202010.0,1.0,313792986.0,0.00021711373941685295
174935,2023-12-18,2034,IN50HR,INE790G01031,SHILPA MEDICARE LIMITED,IN,INR,20103015.0,1.0,189793332.0,0.0002171022411151218
176787,2023-12-18,2034,CN635D,CNE100002342,CHINA REINSURANCE (GP.) 'H',CN,HKD,30302020.0,1.0,381268453.0,0.00021663318368136353
175530,2023-12-18,2034,ZA502G,ZAE000248506,Fortress REIT Ltd,ZA,ZAR,35101010.0,1.0,247691616.0,0.00021654302751112196
174915,2023-12-18,2034,IN124C,INE060A01024,NAVNEET EDUCATION,IN,INR,40301030.0,1.0,230701630.0,0.00021582050327751792
174932,2023-12-18,2034,IN825K,INE999B01013,SANGHI INDUSTRIES,IN,INR,50101030.0,1.0,192342786.0,0.00021578449749862954
177251,2023-12-18,2034,TH218L,TH0363010Z02,PRECIOUS SHIPPING,TH,THB,50206030.0,0.5070122,113249437.0,0.0002156340053475284
174582,2023-12-18,2034,BR10GJ,BRMYPKACNOR7,IOCHPE MAXION S.A.,BR,BRL,40101025.0,1.0,357584046.0,0.00021441293281056884
176858,2023-12-18,2034,PH233,KYG720051047,POWERLONG RLST.HOLDINGS,CN,HKD,35101010.0,1.0,101901843.0,0.00021363599232253997
177221,2023-12-18,2034,TH20JV,TH0747A10Z01,SC ASSET,TH,THB,35101010.0,1.0,165964926.0,0.00021336837708443493
175756,2023-12-18,2034,KR911M,KR7179900006,UTI,KR,KRW,10102015.0,1.0,285773289.0,0.0002129481907466164
175405,2023-12-18,2034,PL11S4,PLVRCM000016,VERCOM,PL,PLN,10101015.0,1.0,113027281.0,0.00021290595948983805
174948,2023-12-18,2034,IN50V5,INE807F01027,SEQUENT SCIENTIFIC,IN,INR,20103015.0,1.0,166406252.0,0.0002128507229004717
176833,2023-12-18,2034,HK20VY,KYG2762W1069,DINGDANG HEALTH TECHNOLOGY GRO,CN,HKD,45201015.0,1.0,193672409.0,0.00021259553066881688
176612,2023-12-18,2034,MY203P,MYL5983OO001,MBM RESOURCES,MY,MYR,40101020.0,1.0,164516046.0,0.00021250266527712475
175237,2023-12-18,2034,TW19ON,TW0009942003,NAK Sealing Tech,TW,TWD,40101025.0,1.0,311705178.0,0.00021225637061616931
175239,2023-12-18,2034,TW9064,TW0003563003,MACHVISION,TW,TWD,10102020.0,1.0,310781188.0,0.0002121663342234054
