,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
32839,2023-12-18,2034,AE23IB,AEE001901017,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1.0,1620600843.0,0.001172648240628129,BDG1977
32840,2023-12-18,2034,AE301S,AEE01110S227,SALIK COMPANY,AE,AED,50206060.0,1.0,1581397880.0,0.0011442814248338962,BJN5952
32841,2023-12-18,2034,AE20XN,AEN000401010,NATMARINE DREDGING CO,AE,AED,50101010.0,1.0,1515194093.0,0.0010963771215109653,6625838
32842,2023-12-18,2034,BR00FH,BRBRFSACNOR8,BRF SA,BR,BRL,45102020.0,1.0,2008329894.0,0.001453204548777331,2036995
32843,2023-12-18,2034,IN10BH,INE811K01011,Prestge Ests,IN,INR,35101010.0,1.0,2411615844.0,0.0017450176511709494,B4T3LF9
32844,2023-12-18,2034,AE303U,AEE01134E227,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,1.0,925761400.0,0.0006698703642173989,BPYSVC3
32845,2023-12-18,2034,EG8013,EGS39061C014,MISR FRETILIZERS,EG,EGP,55201015.0,1.0,645131190.0,0.0004668095528862015,BWSW8F2
32846,2023-12-18,2034,IN104A,INE002L01015,Satluj Jal Vid,IN,INR,65101010.0,1.0,800409514.0,0.0005791671727361405,B3Y50F6
32847,2023-12-18,2034,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,0.7448494,2068137539.0,0.0014964806768802469,6410562
32848,2023-12-18,2034,MX024P,MX01PI000005,Promotora y Opr,MX,MXN,50101010.0,0.9881024,1960725757.0,0.0014187587395326972,2393388
32849,2023-12-18,2034,TW117Y,TW0003036000,WT Microelectron,TW,TWD,10102010.0,1.0,2020668029.0,0.0014621322821935367,6290991
32850,2023-12-18,2034,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1.0,1933195724.0,0.0013988383224223845,BYMXF65
32851,2023-12-18,2034,IN11IP,INE342J01019,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,1.0,885142068.0,0.0006404786800090192,B3DGKJ4
32852,2023-12-18,2034,IN616I,INE930H01031,KPR MILL,IN,INR,55101020.0,1.0,1255335685.0,0.0009083465486096612,BMDP7V5
32853,2023-12-18,2034,IN047G,INE061F01013,Fortis Healthcar,IN,INR,20101010.0,1.0,2453330522.0,0.0017752019152211373,B1XC098
