,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
120832,2019-03-18,1330,KR01EQ,KR7001120005,LG INTERNATIONAL,KR,KRW,50205010.0,1.0,456319200.0,0.00046287372879344404
120130,2019-03-18,1330,TH21N0,TH0979A10Z00,SIAMGAS AND PETROCHEM.,TH,THB,60101020.0,1.0,214595467.0,0.0004612069160623899
120055,2019-03-18,1330,BR12HM,BRUNIPACNPB8,UNIPAR PARTICIPACOES B PN,BR,BRL,55201020.0,1.0,471072809.0,0.0004596791507024014
121087,2019-03-18,1330,HK1AIU,KYG216231061,CHINA XINHUA EDUCATION GROUP,CN,HKD,40201010.0,1.0,161801587.0,0.0004592778054722859
120080,2019-03-18,1330,597763,TRAZOREN91L8,ZORLU ENERJI,TR,TRY,65101015.0,1.0,91014869.0,0.0004589225142604512
120195,2019-03-18,1330,TH212F,TH0297010Z02,GFPT,TH,THB,45102010.0,0.5169867,267583090.0,0.00045852512457474315
120135,2019-03-18,1330,TH708P,TH6789010001,ORIGIN PROPERTY,TH,THB,35101010.0,1.0,223389003.0,0.0004583603908314179
120214,2019-03-18,1330,TH229N,TH0616010Z03,EASTERN WATER RESOURCES,TH,THB,65102030.0,0.7302824,173278045.0,0.00045737000049237656
120185,2019-03-18,1330,TH50IX,TH0705A10Z01,RS,TH,THB,40301010.0,0.906568,265514088.0,0.0004559394677116906
121068,2019-03-18,1330,CN89S8,KYG706261099,PHOENIX MEDIA INVESTMENT (HOLDINGS),CN,HKD,40301035.0,1.0,137527738.0,0.00045501700534173107
119536,2019-03-18,1330,TW1AKK,TW0006214000,SYSTEX,TW,TWD,10101010.0,1.0,436770222.0,0.0004549760845590494
119897,2019-03-18,1330,ID6056,ID1000132202,SITARA PROPERTINDO,ID,IDR,35101010.0,1.0,288184979.0,0.00045475414665558246
121864,2019-03-18,1330,CL011Z,CLP1663V1009,BESALCO,CL,CLP,50101010.0,1.0,314270670.0,0.00045454762660700584
119922,2019-03-18,1330,MY23SH,MYL6599OO004,AEON CO.(M),MY,MYR,40401010.0,1.0,169122360.0,0.00045276787035169867
119510,2019-03-18,1330,TW082Z,TW0006271000,THEIL,TW,TWD,10102010.0,1.0,515435220.0,0.00045264094760420065
120329,2019-03-18,1330,IN04PY,INE113A01013,GUJ.NARMADA VLY.FCM.,IN,INR,55201015.0,0.4684755,160838545.0,0.00045196824787391624
119814,2019-03-18,1330,TW04WP,TW0002707007,Formosa Hotel,TW,TWD,40501025.0,1.0,223432577.0,0.0004516859491886195
120666,2019-03-18,1330,KR804N,KR7001820000,SAMWHA CAPACITOR,KR,KRW,50202010.0,1.0,406830183.0,0.0004510087047947955
121038,2019-03-18,1330,HK19FQ,HK0000174232,SPRING REIT.TRUST,CN,HKD,35102030.0,1.0,378629165.0,0.0004508789587922448
121819,2019-03-18,1330,EG0082,EGS3C251C013,Ezz Steel,EG,EGP,55102010.0,1.0,149083524.0,0.00045026049839794104
120675,2019-03-18,1330,KR12U8,KR7078160009,Medipost,KR,KRW,20103010.0,1.0,507582647.0,0.0004497926659683855
120094,2019-03-18,1330,TR304R,TREPEGS00016,PEGASUS HAVA TASIMACILIGI,TR,TRY,40501010.0,1.0,218849232.0,0.000449539038851988
