,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight,SEDOL,Capfactor,Mcap_Units_Index_Currency
1329,2019-03-18,1330,CZ502I,CZ0009093209,O2 CZECH REPUBLIC,CZ,CZK,6535.0,0.0006818369355705195,5272569,1.0,637406586.0
437,2019-03-18,1330,KR14EU,KR7003090008,DAEWOONG,KR,KRW,20103015.0,0.0007379866603876293,6164427,1.0,689897442.0
438,2019-03-18,1330,HK1AMY,KYG341531096,51 CREDIT CARD,CN,HKD,30201030.0,0.0005718840344189067,BG20S16,1.0,534618515.0
439,2019-03-18,1330,KR71DW,KR7003380003,HARIM HOLDINGS,KR,KRW,45102010.0,0.0006258521121788867,BZ404M0,1.0,585069886.0
440,2019-03-18,1330,HK1A7J,KYG550441045,JNBY DESIGN,CN,HKD,40204020.0,0.0004532885831935551,BZBZHK7,1.0,423751066.0
441,2019-03-18,1330,TH401F,TH0122C10Z04,KCE ELECTRONICS,TH,THB,10102015.0,0.0004692005855538883,BDZ7KL7,0.7280832,438626199.0
442,2019-03-18,1330,TW501V,TW0002634003,AEROSPACE INDV.,TW,TWD,50201020.0,0.0006215402494752562,B6TJTG8,1.0,581038996.0
443,2019-03-18,1330,HK1ANZ,KYG4600E1089,HOPE EDUCATION GROUP,CN,HKD,40201010.0,0.0003066047356535073,BF0XL55,1.0,286625537.0
436,2019-03-18,1330,TW02A1,TW0002059003,King Slide,TW,TWD,55102015.0,0.0008194702529441317,B01H720,1.0,766071342.0
444,2019-03-18,1330,MY229X,MYL5139OO000,AEON CREDIT SERVICE,MY,MYR,30201020.0,0.00042025299328616163,B29H4P8,1.0,392868165.0
446,2019-03-18,1330,KR037L,KR7006650006,Korea Pet,KR,KRW,55201000.0,0.0006419682848308406,6166672,1.0,600135885.0
447,2019-03-18,1330,LU104K,LU0011857645,BRAIT,ZA,USD,30202015.0,0.00048428191928672794,6896292,1.0,452724792.0
