,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
177227,2023-12-18,2054,TH21CP,TH0380010Y07,THAICOM,TH,THB,15102015.0,0.6795787,155329312.0,0.00021852006401609073
174922,2023-12-18,2054,IN026D,INE032A01023,Bombay Dyeing,IN,INR,55101020.0,1.0,215276830.0,0.0002182584573919785
175209,2023-12-18,2054,TW11OF,TW0008213000,Taiwan PCB Tech,TW,TWD,10102015.0,1.0,381280846.0,0.00021808972007385992
175279,2023-12-18,2054,TW60KF,TW0004438007,QUANG VIET ENTERPRISE,TW,TWD,40204020.0,1.0,249635790.0,0.00021804241691613735
177376,2023-12-18,2054,ID20EB,ID1000106206,MEDIA NUSNT.CITRA,ID,IDR,40301035.0,1.0,196767102.0,0.00021803237660577622
174945,2023-12-18,2054,IN1118,INE683C01011,MAITHAN ALLOYS,IN,INR,55102010.0,1.0,174442957.0,0.00021723910527899194
175771,2023-12-18,2054,KR21U8,KR7079370003,ZEUS,KR,KRW,10102020.0,1.0,268189102.0,0.0002168326422151434
175222,2023-12-18,2054,TW02QH,TW0002323003,CMC Magnetics,TW,TWD,10102030.0,1.0,352423680.0,0.00021673289498920617
174916,2023-12-18,2054,IN611D,INE659A01023,SUDARSHAN CHEMICALS,IN,INR,55201020.0,1.0,229725965.0,0.00021625160151295282
174917,2023-12-18,2054,IN125D,INE933K01021,BAJAJ CONSUMER CARE,IN,INR,45201020.0,1.0,226862215.0,0.0002160135808426443
176534,2023-12-18,2054,CL00TQ,CL0000001934,Sonda SA,CL,CLP,10101010.0,1.0,229928367.0,0.00021512060951027327
177018,2023-12-18,2054,TR603T,TREPOHO00012,POLISAN HOLDING,TR,TRY,55201020.0,1.0,96883753.0,0.00021511676745595835
175389,2023-12-18,2054,PL20FR,CY1000031710,ASBISC ENTERPRISES (DI),PL,PLN,10102030.0,1.0,251529860.0,0.00021509298777720208
175726,2023-12-18,2054,KR516N,KR7068240001,DAWONSYS,KR,KRW,50202010.0,1.0,313792986.0,0.00021504491597921284
174935,2023-12-18,2054,IN50HR,INE790G01031,SHILPA MEDICARE LIMITED,IN,INR,20103015.0,1.0,189793332.0,0.0002150335272419716
176787,2023-12-18,2054,CN635D,CNE100002342,CHINA REINSURANCE (GP.) 'H',CN,HKD,30302020.0,1.0,381268453.0,0.00021456893934116488
175530,2023-12-18,2054,ZA502G,ZAE000248506,Fortress REIT Ltd,ZA,ZAR,35101010.0,1.0,247691616.0,0.00021447964224690142
174915,2023-12-18,2054,IN124C,INE060A01024,NAVNEET EDUCATION,IN,INR,40301030.0,1.0,230701630.0,0.00021376400276906066
174932,2023-12-18,2054,IN825K,INE999B01013,SANGHI INDUSTRIES,IN,INR,50101030.0,1.0,192342786.0,0.000213728340080386
177251,2023-12-18,2054,TH218L,TH0363010Z02,PRECIOUS SHIPPING,TH,THB,50206030.0,0.5070122,113249437.0,0.00021357928193198878
174582,2023-12-18,2054,BR10GJ,BRMYPKACNOR7,IOCHPE MAXION S.A.,BR,BRL,40101025.0,1.0,357584046.0,0.00021236984469498904
