,Date,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight
177270,2023-12-18,TH10NY,TH9460010001,S HOTELS AND RESORTS,TH,THB,40501025.0,0.7955,0.4,80377266.0,0.00015056038498320219
177103,2023-12-18,TR20VH,TRAAYENW91L0,AYEN ENERJI,TR,TRY,65101010.0,1.0,0.1697,38926088.0,0.00015050029272809082
176594,2023-12-18,MY21E1,MYL8877OO002,EKOVEST,MY,MYR,50101010.0,1.0,0.7199,209204988.0,0.0001498871653347877
176608,2023-12-18,MY00YI,MYQ0151OO009,KELINGTON GROUP,MY,MYR,50101015.0,1.0,0.7294,186361834.0,0.00014977473399882058
175393,2023-12-18,PL10FQ,PLMOBRK00013,MOBRUK,PL,PLN,50101035.0,1.0,0.8,229249562.0,0.00014824891203307942
177252,2023-12-18,TH22Q4,THA504010002,ONE ENTERPRISE,TH,THB,40301010.0,1.0,0.4139,110958383.0,0.0001480896723552702
175285,2023-12-18,TW15LG,TW0001708006,Sesoda Corp,TW,TWD,55201000.0,1.0,0.8846,236089289.0,0.00014798634183434554
177233,2023-12-18,TH804M,TH4625010004,MC GROUP,TH,THB,40204020.0,1.0,0.4897,141043864.0,0.0001479464719537663
177377,2023-12-18,ID12XV,ID1000133408,BANK NEO COMMERCE,ID,IDR,30101010.0,1.0,0.5726,196011000.0,0.00014778077762912987
177066,2023-12-18,TR801T,TRAKERVT91A5,KEREVITAS GIDA SANVETC.,TR,TRY,45102020.0,1.0,0.2949,64562307.0,0.00014741683705582625
174993,2023-12-18,CN93V6,US7477981069,QUDIAN ADR,CN,USD,30201020.0,1.0,0.9215,304911353.0,0.00014681892261779515
176993,2023-12-18,TR20E0,TRESAYR00013,SAY RENEWABLE,TR,TRY,40301020.0,1.0,0.5765,123678514.0,0.0001464357103140593
176683,2023-12-18,MY70C3,MYQ0101OO004,TMC LIFE SCIENCES,MY,MYR,20101025.0,1.0,0.2223,57542369.0,0.00014583492276546635
174989,2023-12-18,US18UP,US1347481020,CANAAN ADR,CN,USD,10102030.0,1.0,1.0,374082749.0,0.00014578407999753517
176617,2023-12-18,MY50I7,MYL7155OO004,SKP RESOURCES BERHAD,MY,MYR,50203015.0,1.0,0.5758,149523353.0,0.00014481266483388382
176980,2023-12-18,B03MT7,TRAGLMDE91R3,GLOBAL YATIRIM HOLDINGS,TR,TRY,30202010.0,1.0,0.6853,150838457.0,0.00014461492904120518
175395,2023-12-18,PL002C,PLAB00000019,AB,PL,PLN,10101010.0,1.0,0.8107,214105788.0,0.0001443357228716667
177274,2023-12-18,TH30KX,TH0581010Z09,MAHACHAI HOSPITAL,TH,THB,20101010.0,0.5017058,0.4983,72576704.0,0.00014401868951251584
176675,2023-12-18,MY107S,MYL5274OO005,HONG LEONG CAPITAL,MY,MYR,30202015.0,1.0,0.296,69749683.0,0.00014398491024801593
176631,2023-12-18,MY50H6,MYL7148OO009,DUOPHARMA BIOTECH,MY,MYR,20103015.0,1.0,0.4761,123910553.0,0.00014381169782611485
175330,2023-12-18,TW061W,TW0003049003,HannsTouch Holdings,TW,TWD,10102030.0,1.0,0.6583,162260774.0,0.0001434622659815861
175794,2023-12-18,KR701J,KR700088K015,HANWHA 3PB,KR,KRW,30301010.0,1.0,1.0,247182177.0,0.000142496383347365
174931,2023-12-18,IN18T7,INE557A01011,HYDERABAD INDUSTRIES,IN,INR,50101020.0,1.0,0.7373,194119225.0,0.0001424725344145565
177088,2023-12-18,TR303Q,TREHLGY00016,HALK GAYRIMENK A,TR,TRY,35102000.0,1.0,0.2067,46102597.0,0.0001424559313247668
175309,2023-12-18,TW03C4,TW0002374006,Ability Enter,TW,TWD,40203060.0,1.0,0.7854,189031676.0,0.0001422793205816926
177452,2023-12-18,EG9036,EGS65541C012,CAIRO FOR INV.& RLST.DEV. CIRA EDUCATION,EG,EGP,40201010.0,1.0,0.4878,128802623.0,0.00014224178867218483
177003,2023-12-18,TR305S,TRETKNO00010,TEKNOSA IC VE DIS TICARET NPV,TR,TRY,40401030.0,1.0,0.5,113024089.0,0.00014221967880566106
176614,2023-12-18,MY609Z,MYL5272OO009,RANHILL UTILITIES,MY,MYR,65102030.0,1.0,0.6089,152236970.0,0.00014221429491832453
175417,2023-12-18,531929,PLMSTSD00019,POLIMEX MOSTOSTAL,PL,PLN,50101010.0,1.0,0.3512,88402548.0,0.0001418818516429626
174933,2023-12-18,IN81LZ,INE338A01024,THIRUMALAI CHEMICALS,IN,INR,55201000.0,1.0,0.7342,192139712.0,0.00014171985418507614
176628,2023-12-18,MY30K7,MYL2429OO008,TANCO HOLDINGS,MY,MYR,35101010.0,1.0,0.5015,125268306.0,0.0001413505317479579
177339,2023-12-18,GR135G,GRS087003000,INTRACOM HOLDINGS,GR,EUR,10101010.0,1.0,0.7117,201320814.0,0.00014073631610010592
177391,2023-12-18,ID012Y,ID1000113301,MATAHARI DEPARTMENT SOE.,ID,IDR,40401010.0,1.0,0.4824,109539950.0,0.00014013083472269464
175296,2023-12-18,TW112T,TW0004960000,CHENG MEI MATERIALS TECHNOLOGY,TW,TWD,50202040.0,1.0,0.9151,218369820.0,0.00013935694981951813
175289,2023-12-18,TW064Z,TW0003062006,CyberTAN,TW,TWD,15101010.0,1.0,1.0,232623564.0,0.00013935498858985725
177245,2023-12-18,TH109K,TH8798010006,NORTH EAST RUBBERS,TH,THB,40101015.0,0.6743738,0.7266,121075981.0,0.00013910622577357508
177281,2023-12-18,TH10R2,THA054010006,SAKSIAM LEASING,TH,THB,30201020.0,1.0,0.2485,62507251.0,0.00013858263861382526
175291,2023-12-18,TW042V,TW0002485000,Zinwell Corp,TW,TWD,15101010.0,1.0,1.0,226837247.0,0.00013816687085220603
176621,2023-12-18,MY222Q,MYL2852OO001,CAHYA MATA SARAWAK,MY,MYR,50101030.0,1.0,0.5897,143070629.0,0.00013805408974994424
175321,2023-12-18,TW0762,TW0005203004,CYBERLINK,TW,TWD,10101015.0,1.0,0.7462,175581402.0,0.00013791295148343654
177263,2023-12-18,TH12S5,TH8127010008,TRIPLE I LOGISTICS,TH,THB,50206040.0,0.4738267,0.7756,83547928.0,0.00013748273593605433
176606,2023-12-18,MY10K5,MYL4758OO008,ANCOM NYLEX,MY,MYR,55201020.0,1.0,0.7868,189734900.0,0.0001369884243056514
177341,2023-12-18,434777,GRS096003009,FOURLIS HLDG,GR,EUR,40401010.0,1.0,0.8263,189012909.0,0.00013589927007267474
175303,2023-12-18,TW12UM,TW0001701001,China Chem Pharm,TW,TWD,20103015.0,1.0,0.8589,203253499.0,0.00013568163999215315
175311,2023-12-18,TW11TK,TW0001447001,Li Peng Ent,TW,TWD,55101020.0,1.0,0.7822,186703350.0,0.00013566356400667066
175300,2023-12-18,TW13SL,TW0002478005,TA-I TECHNOLOGY,TW,TWD,10102015.0,1.0,0.9259,211061095.0,0.00013549272682531903
175292,2023-12-18,TW12C4,TW0002538006,Kee Tai,TW,TWD,35101010.0,1.0,1.0,225516999.0,0.00013533912125089854
175306,2023-12-18,TW19ZY,TW0002420007,ZIPPY TECHNOLOGY,TW,TWD,50202010.0,1.0,0.816,193597929.0,0.0001350280631811057
175294,2023-12-18,TW1AUU,TW0003138004,AUDEN TECHNO,TW,TWD,15101010.0,1.0,0.8763,222492619.0,0.000134287021046147
176656,2023-12-18,MY109U,MYL5293OO005,AME ELITE CONSORTIUM,MY,MYR,50101010.0,1.0,0.413,93573214.0,0.0001321942023964446
176613,2023-12-18,MY308V,MYL7022OO006,GLOBETRONICS TECHNOLOGY,MY,MYR,10102010.0,1.0,0.6657,163806961.0,0.00013217451089741065
175337,2023-12-18,TW503X,TW0002228004,IRON FORCE INDUSTRIAL,TW,TWD,40101025.0,1.0,0.679,149589796.0,0.00013211040944460285
174996,2023-12-18,CN2517,CNE000000941,SHANGHAI JINQIAO EX PR.Z.D.'B',CN,USD,35101010.0,1.0,1.0,214474838.0,0.00013193583605219673
175299,2023-12-18,TW15OJ,TW0002464005,Mirle Auto,TW,TWD,50204000.0,1.0,0.9412,213128071.0,0.00013188241752391523
