,Date,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight
119586,2019-03-18,TW02KB,TW0002208006,CSBC Corp,TW,TWD,50206030.0,1.0,0.5962,205985688.0,0.00024736318582688156
119894,2019-03-18,ID10D9,ID1000110505,DELTA DUNIA MAKMUR,ID,IDR,60101040.0,1.0,0.51,175739890.0,0.00024696837226384944
120222,2019-03-18,IN50PZ,INE101D01020,GRANULES INDIA,IN,INR,20103015.0,0.7838746,0.6251,204682917.0,0.00024688618196536935
120085,2019-03-18,B01GNH,TRETTRK00010,TURK TRAKTOR,TR,TRY,50204010.0,1.0,0.25,82278539.0,0.00024668787851911845
119710,2019-03-18,TW1594,TW0002428000,THINKING ELT.INDUSTRIAL,TW,TWD,10102015.0,1.0,0.6039,221644972.0,0.0002449394748552813
119720,2019-03-18,TW1O2G,KYG675291002,ON-BRIGHT ELECTRONICS,TW,TWD,10102010.0,1.0,0.64,226691748.0,0.0002447373956330993
119773,2019-03-18,TW10ND,TW0002481009,Pan Jit,TW,TWD,10102010.0,1.0,0.854,268959700.0,0.00024460396342260745
119699,2019-03-18,TW15RM,TW0003450003,Elite Advanced,TW,TWD,10102010.0,1.0,0.8056,283293229.0,0.0002443413275851308
120267,2019-03-18,IN602D,INE418H01029,ALLCARGO LOGISTICS,IN,INR,50206060.0,0.513034,0.3441,73002761.0,0.00024399058844123557
120351,2019-03-18,IN04NW,INE131A01031,GUJARAT MINERAL DEVELOPMENT CORPORATION,IN,INR,55102000.0,0.9230769,0.26,91385871.0,0.00024360754819277979
119527,2019-03-18,TW028Z,TW0002034006,Yeun Chyang,TW,TWD,55102010.0,1.0,0.7989,276482322.0,0.00024354128876321427
120494,2019-03-18,IN124C,INE060A01024,NAVNEET EDUCATION,IN,INR,40301030.0,0.3982081,0.6027,86521164.0,0.00024286123857348964
120471,2019-03-18,IN81BP,INE126M01010,INDIABULLS INTEGRATED SERVICES,IN,INR,40401010.0,0.3097712,0.4765,58930057.0,0.00024276912440165073
119572,2019-03-18,TW11SJ,TW0003022000,IEI INTEGRATION CORP,TW,TWD,10102030.0,1.0,0.6162,199964349.0,0.00024201808786993213
119673,2019-03-18,TW05ZT,TW0003042008,TXC Corp,TW,TWD,10102015.0,1.0,0.8503,286698628.0,0.00024195037764697654
