,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,SEDOL7,Instrument_Name,Country,Currency,exchange,ICB,Mcap_Units_Index_Currency,InfoCode,Close_USD_Cutoff,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Weight
43,1997-03-24,817,KR03S6,,645085,6450858,HYUNDAI CORPORATION,KR,KRW,0,0,15817435,25266.0,15.040207,9976000.0,0.11,0.11,1.0,16504521.553520001,150041105.032,0.11,8.75e-05
90,1997-03-24,817,KR02GT,,649643,6496432,LOTTE FINE CHEMICAL,KR,KRW,0,0,19839067,34745.0,53.566275700000006,4500000.0,0.09,0.09,1.0,21694341.6585,241048240.65,0.09,0.000109806
109,1997-03-24,817,KR041G,,640159,6401599,HALLA,KR,KRW,0,0,8061921,2218.0,22.5603105,3432000.0,0.14,0.14,1.0,10839777.98904,77426985.63599999,0.14,4.46e-05
110,1997-03-24,817,KR044J,,627313,6273130,KG DONGBUSTEEL,KR,KRW,0,0,9305730,40850.0,15.965758200000002,8070000.0,0.08,0.08,1.0,10307493.49392,128843668.674,0.08,5.15e-05
119,1997-03-24,817,KR1CSG,,646468,6464688,GREEN NON-LIFE INSURANCE,KR,KRW,0,0,9570150,25271.0,50.7896221,1981000.0,0.11,0.11,1.0,11067566.551811002,100614241.38010003,0.11,5.3e-05
151,1997-03-24,817,KR63BV,,640768,6407683,HAN CHANG,KR,KRW,0,0,4899346,34735.0,27.766536000000002,2060000.0,0.11,0.11,1.0,6291897.057600001,57199064.16000001,0.11,2.71e-05
181,1997-03-24,817,KR03FT,,640573,6405739,HANMI SCIENCE,KR,KRW,0,0,17877112,25229.0,57.84695,2241000.0,0.14,0.14,1.0,18148902.093000002,129635014.95,0.14,9.89e-05
187,1997-03-24,817,KR03M0,,645106,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0,0,648634,41559.0,11.56939,8000000.0,0.01,0.01,1.0,925551.2000000001,92555120.0,0.01,3.59e-06
212,1997-03-24,817,KR1FI9,,658948,6589484,HBE ENERGY,KR,KRW,0,0,11109472,44213.0,32.741373700000004,2790000.0,0.13,0.13,1.0,11875296.240990002,91348432.62300001,0.13,6.15e-05
327,1997-03-24,817,MY13NB,,622816,6228163,COUNTRY HEIGHTS HDG.,MY,MYR,0,0,25784338,31631.0,5.3564238987,150003000.0,0.03,0.03,1.0,24104389.622300886,803479654.0766962,0.03,0.000142712
573,1997-03-24,817,PH04GQ,,645581,6455819,INTL.CTNR.TERM.SVS.,PH,PHP,0,0,52641107,25993.0,0.60763728,866736000.0,0.1,0.1,1.0,52666110.551808,526661105.51808,0.1,0.00029136
847,1997-06-23,817,KR1CSG,,646468,6464688,GREEN NON-LIFE INSURANCE,KR,KRW,0,0,10651692,25271.0,52.159282499999996,2166000.0,0.11,0.11,1.0,12427470.64845,112977005.895,0.11,5.76e-05
997,1997-06-23,817,KR03M0,,645106,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0,0,981959,41559.0,14.4699945,8000000.0,0.01,0.01,1.0,1157599.56,115759956.0,0.01,5.31e-06
998,1997-06-23,817,KR03FT,,640573,6405739,HANMI SCIENCE,KR,KRW,0,0,14238095,25229.0,48.345485499999995,2241000.0,0.14,0.14,1.0,15167912.62077,108342233.00549999,0.14,7.69e-05
1039,1997-06-23,817,KR044J,,627313,6273130,KG DONGBUSTEEL,KR,KRW,0,0,11850266,40850.0,19.8541785,8070000.0,0.08,0.08,1.0,12817857.639600001,160223220.495,0.08,6.4e-05
1040,1997-06-23,817,KR041G,,640159,6401599,HALLA,KR,KRW,0,0,11903508,2218.0,23.443634499999998,3432000.0,0.14,0.14,1.0,11264197.50456,80458553.60399999,0.14,6.43e-05
1250,1997-06-23,817,MY14D2,,685121,6851213,DFZ CAPITAL,MY,MYR,0,0,32764317,25863.0,3.104232331021445,119726000.0,0.09,0.11,1.0,40882305.20702609,371657320.0638735,0.11,0.000177059
1433,1997-06-23,817,PH04GQ,,645581,6455819,INTL.CTNR.TERM.SVS.,PH,PHP,0,0,46008438,25993.0,0.540284361,866765920.0,0.1,0.1,1.0,46830007.122377716,468300071.2237771,0.1,0.000248631
1642,1997-09-22,927,KR1FI9,,658948,6589484,HBE ENERGY,KR,KRW,0,0,4986105,44213.0,28.2548415,2851000.0,0.07,0.07,1.0,5638818.718155001,80554553.1165,0.07,2.37e-05
1647,1997-09-22,927,KR12Q4,KR7001680008,635271,6352716,DAESANG,KR,KRW,0,0,12564936,41515.0,96.398871,2763000.0,0.05,0.05,1.0,13317504.02865,266350080.573,0.05,5.96e-05
1718,1997-09-22,927,KR01P1,,689645,6896452,TONGYANG,KR,KRW,0,0,9186547,24884.0,19.8337907,8572000.0,0.06,0.06,1.0,10200915.232824,170015253.8804,0.06,4.36e-05
1798,1997-09-22,927,KR91M7,,624514,6245140,NEXT SCIENCE,KR,KRW,0,0,9862200,25201.0,63.7118975,2000000.0,0.09,0.09,1.0,11468141.549999999,127423794.99999999,0.09,4.68e-05
1806,1997-09-22,927,KR03M0,,645106,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0,0,1367558,41559.0,18.7257577,8000000.0,0.01,0.01,1.0,1498060.616,149806061.6,0.01,6.49e-06
