,Date,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,Exchange,ICB,Mcap_Units_Index_Currency,InfoCode,Close_USD_Cutoff,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Weight
2,1997-03-24,KR63BV,,6407683,HAN CHANG,KR,KRW,0.0,0.0,4899346.0,34735.0,27.766536000000002,2060000.0,0.11,0.11,1.0,6291897.057600001,57199064.16000001,0.11,2.711706484971185e-05
44,1997-03-24,KR1CSG,,6464688,GREEN NON-LIFE INSURANCE,KR,KRW,0.0,0.0,9570150.0,25271.0,50.7896221,1981000.0,0.11,0.11,1.0,11067566.551811002,100614241.38010003,0.11,5.296918775923764e-05
60,1997-03-24,KR1FI9,,6589484,HBE ENERGY,KR,KRW,0.0,0.0,11109472.0,44213.0,32.741373700000004,2790000.0,0.13,0.13,1.0,11875296.240990002,91348432.62300001,0.13,6.14890788831934e-05
100,1997-03-24,KR03FT,,6405739,HANMI SCIENCE,KR,KRW,0.0,0.0,17877112.0,25229.0,57.84695,2241000.0,0.14,0.14,1.0,18148902.093000002,129635014.95,0.14,9.894684013530826e-05
101,1997-03-24,KR03M0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,0.0,648634.0,41559.0,11.56939,8000000.0,0.01,0.01,1.0,925551.2000000001,92555120.0,0.01,3.5900812560958133e-06
122,1997-03-24,KR03S6,,6450858,HYUNDAI CORPORATION,KR,KRW,0.0,0.0,15817435.0,25266.0,15.040207,9976000.0,0.11,0.11,1.0,16504521.553520001,150041105.032,0.11,8.754687067439245e-05
184,1997-03-24,KR02GT,,6496432,LOTTE FINE CHEMICAL,KR,KRW,0.0,0.0,19839067.0,34745.0,53.566275700000006,4500000.0,0.09,0.09,1.0,21694341.6585,241048240.65,0.09,0.0001098059345873
194,1997-03-24,KR041G,,6401599,HALLA,KR,KRW,0.0,0.0,8061921.0,2218.0,22.5603105,3432000.0,0.14,0.14,1.0,10839777.98904,77426985.63599999,0.14,4.462139121634884e-05
195,1997-03-24,KR044J,,6273130,KG DONGBUSTEEL,KR,KRW,0.0,0.0,9305730.0,40850.0,15.965758200000002,8070000.0,0.08,0.08,1.0,10307493.49392,128843668.674,0.08,5.150566705921751e-05
235,1997-03-24,MY13NB,,6228163,COUNTRY HEIGHTS HDG.,MY,MYR,0.0,0.0,25784338.0,31631.0,5.3564238987,150003000.0,0.03,0.03,1.0,24104389.622300886,803479654.0766962,0.03,0.0001427120202681
423,1997-03-24,PH04GQ,,6455819,INTL.CTNR.TERM.SVS.,PH,PHP,0.0,0.0,52641107.0,25993.0,0.60763728,866736000.0,0.1,0.1,1.0,52666110.551808,526661105.51808,0.1,0.0002913597676668
887,1997-06-23,KR1CSG,,6464688,GREEN NON-LIFE INSURANCE,KR,KRW,0.0,0.0,10651692.0,25271.0,52.159282499999996,2166000.0,0.11,0.11,1.0,12427470.64845,112977005.895,0.11,5.75620473046836e-05
965,1997-06-23,KR041G,,6401599,HALLA,KR,KRW,0.0,0.0,11903508.0,2218.0,23.443634499999998,3432000.0,0.14,0.14,1.0,11264197.50456,80458553.60399999,0.14,6.432689666465005e-05
966,1997-06-23,KR044J,,6273130,KG DONGBUSTEEL,KR,KRW,0.0,0.0,11850266.0,40850.0,19.8541785,8070000.0,0.08,0.08,1.0,12817857.639600001,160223220.495,0.08,6.403917537843599e-05
1003,1997-06-23,KR03FT,,6405739,HANMI SCIENCE,KR,KRW,0.0,0.0,14238095.0,25229.0,48.345485499999995,2241000.0,0.14,0.14,1.0,15167912.62077,108342233.00549999,0.14,7.694307138420628e-05
1004,1997-06-23,KR03M0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,0.0,981959.0,41559.0,14.4699945,8000000.0,0.01,0.01,1.0,1157599.56,115759956.0,0.01,5.30653443690071e-06
1052,1997-06-23,MY14D2,,6851213,DFZ CAPITAL,MY,MYR,0.0,0.0,32764317.0,25863.0,3.104232331021445,119726000.0,0.09,0.11,1.0,40882305.20702609,371657320.0638735,0.11,0.0001770593033538
1221,1997-06-23,PH04GQ,,6455819,INTL.CTNR.TERM.SVS.,PH,PHP,0.0,0.0,46008438.0,25993.0,0.540284361,866765920.0,0.1,0.1,1.0,46830007.122377716,468300071.2237771,0.1,0.0002486309108985
1645,1997-09-22,KR01P1,,6896452,TONGYANG,KR,KRW,0.0,0.0,9186547.0,24884.0,19.8337907,8572000.0,0.06,0.06,1.0,10200915.232824,170015253.8804,0.06,4.358072641090545e-05
1705,1997-09-22,KR12Q4,KR7001680008,6352716,DAESANG,KR,KRW,0.0,0.0,12564936.0,41515.0,96.398871,2763000.0,0.05,0.05,1.0,13317504.02865,266350080.573,0.05,5.960771094803485e-05
1706,1997-09-22,KR1FI9,,6589484,HBE ENERGY,KR,KRW,0.0,0.0,4986105.0,44213.0,28.2548415,2851000.0,0.07,0.07,1.0,5638818.718155001,80554553.1165,0.07,2.365394504170585e-05
1759,1997-09-22,KR91M7,,6245140,NEXT SCIENCE,KR,KRW,0.0,0.0,9862200.0,25201.0,63.7118975,2000000.0,0.09,0.09,1.0,11468141.549999999,127423794.99999999,0.09,4.678600566781314e-05
1769,1997-09-22,KR03M0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,0.0,1367558.0,41559.0,18.7257577,8000000.0,0.01,0.01,1.0,1498060.616,149806061.6,0.01,6.487657555014418e-06
1960,1997-09-22,MY161S,,6378596,GOPENG,MY,MYR,0.0,0.0,15906408.0,48137.0,0.88492549008,179164000.0,0.11,0.11,1.0,17440146.955516245,158546790.50469315,0.11,7.545956225208861e-05
2371,1997-09-22,ID10ZV,,6675651,PIONEERINDO GMT.INTL.,ID,IDR,0.0,0.0,942016.0,31869.0,0.7796609,124000000.0,0.01,0.01,1.0,966779.516,96677951.6,0.01,4.468898006040301e-06
2397,1997-09-22,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,46348128.0,27513.0,0.18788406000000002,2666628000.0,0.09,0.09,1.0,45091520.563471206,501016895.1496801,0.09,0.0002198742450265
2455,1997-09-22,AR4027,,2186771,ENEL GENERACION COSTANERA,AR,ARS,0.0,0.0,9028475.0,620.0,3.400679937939979,134686000.0,1.0,0.02,1.0,9160479.56242768,458023978.12138397,0.02,4.283083718863024e-05
2558,1997-12-22,KR01P1,,6896452,TONGYANG,KR,KRW,0.0,0.0,1970072.0,24884.0,6.69516678,8572000.0,0.06,0.06,1.0,3443458.1782895997,57390969.63816,0.06,1.363826344556442e-05
2636,1997-12-22,KR1FI9,,6589484,HBE ENERGY,KR,KRW,0.0,0.0,665239.0,44213.0,9.9187656,2851000.0,0.07,0.07,1.0,1979488.0507920003,28278400.7256,0.07,4.605265562001708e-06
2702,1997-12-22,KR91M7,,6245140,NEXT SCIENCE,KR,KRW,0.0,0.0,1094746.0,25201.0,17.10132,2000000.0,0.09,0.09,1.0,3078237.6,34202640.0,0.09,7.578623702066658e-06
2713,1997-12-22,KR03M0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,0.0,509946.0,41559.0,10.688325,8000000.0,0.01,0.01,1.0,855066.0,85506600.0,0.01,3.53021508402322e-06
3318,1997-12-22,ID00MH,ID1000096803,6173229,KALBE FARMA,ID,IDR,0.0,0.0,1522476.0,25537.0,0.370116,432000000.0,1.0,0.02,1.0,3197802.24,159890112.0,0.02,1.0539680162729653e-05
3347,1997-12-22,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,31820659.0,27513.0,0.14857141,2666628000.0,0.09,0.09,1.0,35656621.3714932,396184681.90547997,0.09,0.0002202856192329
3382,1997-12-22,AR4027,,2186771,ENEL GENERACION COSTANERA,AR,ARS,0.0,0.0,6734973.0,620.0,2.551019707974888,134686000.0,0.02,0.02,1.0,6871732.807766116,343586640.3883058,0.02,4.662435488284861e-05
3461,1998-03-23,KR01P1,,6896452,TONGYANG,KR,KRW,0.0,0.0,2769017.0,24884.0,4.102879,8572000.0,0.06,0.06,1.0,2110192.7272799998,35169878.787999995,0.06,1.3286885957300756e-05
3538,1998-03-23,KR1FI9,,6589484,HBE ENERGY,KR,KRW,0.0,0.0,2437957.0,44213.0,8.695654,2851000.0,0.07,0.07,1.0,1735391.66878,24791309.553999998,0.07,1.169832349451198e-05
3604,1998-03-23,KR91M7,,6245140,NEXT SCIENCE,KR,KRW,0.0,0.0,2330559.0,25201.0,12.85977,2000000.0,0.09,0.09,1.0,2314758.6,25719540.000000004,0.09,1.1182983582174067e-05
3693,1998-03-23,KR01AM,,6450988,HYUNDAI ENGR.& CON.,KR,KRW,0.0,0.0,53904791.0,40500.0,6.674833,54505000.0,0.32,0.13,1.0,47295530.446449995,363811772.66499996,0.13,0.0002586574262885
3837,1998-03-23,MY21XK,,6870605,YTL LAND & DEVELOPMENT,MY,MYR,0.0,0.0,2255488.0,34423.0,0.2911565151973093,96166000.0,0.1,0.09,1.0,2519942.1696417998,27999357.440464444,0.09,1.0822761952729206e-05
3843,1998-03-23,MY140P,,6512598,LEONG HUP HOLDINGS,MY,MYR,0.0,0.0,5051125.0,35990.0,0.31020395255103095,151568000.0,0.57,0.13,1.0,6112209.048433106,47016992.68025466,0.13,2.423738165243145e-05
3897,1998-03-23,MY11CY,,6502005,KONSORTIUM LOGISTIK,MY,MYR,0.0,0.0,27111861.0,41806.0,1.09932023476,176984000.0,0.13,0.13,1.0,25293072.0157393,194562092.42876384,0.13,0.0001300938944026
4101,1998-03-23,PH04MW,,6744722,ROBINSONS LAND,PH,PHP,0.0,0.0,10943051.0,35099.0,0.062155411574932,1800000000.0,0.09,0.09,1.0,10069176.675138984,111879740.83487761,0.09,5.2509273385438224e-05
4487,1998-03-23,CN8BAS,,6673633,SILK ROAD LOGISTICS HOLDINGS,CN,HKD,0.0,0.0,48367218.0,30058.0,0.054249542759376386,9732500480.0,0.1,0.1,1.0,52798370.094541125,527983700.9454112,0.1,0.000232085866442
4506,1998-03-23,ID00MH,ID1000096803,6173229,KALBE FARMA,ID,IDR,0.0,0.0,906984.0,25537.0,0.11864369999999999,432000000.0,0.02,0.02,1.0,1025081.568,51254078.4,0.02,4.352083419168777e-06
4551,1998-03-23,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,37661262.0,27513.0,0.14013120440024002,2666628000.0,0.09,0.09,1.0,33631001.39946629,373677793.32740325,0.09,0.000180714272683
4602,1998-03-23,AR4027,,2186771,ENEL GENERACION COSTANERA,AR,ARS,0.0,0.0,9052709.0,620.0,3.121560742661973,134686000.0,0.02,0.02,1.0,8408610.603723409,420430530.1861704,0.02,4.343863258608747e-05
4935,1998-06-22,KR135K,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,0.0,732258.0,25452.0,7.175848,12000000.0,0.01,0.01,1.0,861101.76,86110176.0,0.01,4.259979900921752e-06
4958,1998-06-22,KR01P1,,6896452,TONGYANG,KR,KRW,0.0,0.0,1011691.0,24884.0,2.2166976,8572000.0,0.06,0.06,1.0,1140091.909632,19001531.8272,0.06,5.885607703764831e-06
5005,1998-06-22,KR1G91,,6496788,KOREA FIRST BANK,KR,KRW,0.0,0.0,39145651.0,75504.0,2.4476036,320000000.0,0.06,0.06,1.0,46993989.12,783233152.0,0.06,0.0002277335125986
5042,1998-06-22,KR1FI9,,6589484,HBE ENERGY,KR,KRW,0.0,0.0,1202046.0,44213.0,6.714036,2851000.0,0.07,0.07,1.0,1339920.16452,19141716.636,0.07,6.993015849582234e-06
5129,1998-06-22,KR91M7,,6245140,NEXT SCIENCE,KR,KRW,0.0,0.0,1311603.0,25201.0,7.531088,2000000.0,0.09,0.09,1.0,1355595.8399999999,15062175.999999998,0.09,7.63037401843158e-06
5149,1998-06-22,KR1DNC,,6109257,COMTEC SYSTEMS,KR,KRW,0.0,0.0,823790.0,44473.0,1.847248,17000000.0,0.03,0.03,1.0,942096.48,31403216.0,0.03,4.792475934138418e-06
5173,1998-06-22,KR00R2,,6495042,KOREA EXCHANGE BANK,KR,KRW,0.0,0.0,31769229.0,31825.0,2.060392,165000000.0,0.09,0.09,1.0,30596821.19999999,339964679.99999994,0.09,0.000184820482682
5181,1998-06-22,ID10ZV,,6675651,PIONEERINDO GMT.INTL.,ID,IDR,0.0,0.0,16938.0,31869.0,0.0331875,124000000.0,0.01,0.01,1.0,41152.5,4115250.0,0.01,9.853841072656445e-08
5184,1998-06-22,ID00MH,ID1000096803,6173229,KALBE FARMA,ID,IDR,0.0,0.0,250798.0,25537.0,0.048674999999999996,432000000.0,0.02,0.02,1.0,420552.0,21027600.0,0.02,1.4590409926438132e-06
5362,1998-06-22,MY21XK,,6870605,YTL LAND & DEVELOPMENT,MY,MYR,0.0,0.0,546701.0,34423.0,0.1340971234311723,96166000.0,0.05,0.05,1.0,644779.1985941059,12895583.971882118,0.05,3.180484572123244e-06
5372,1998-06-22,MY140P,,6512598,LEONG HUP HOLDINGS,MY,MYR,0.0,0.0,2489241.0,35990.0,0.15102200602,151568000.0,0.13,0.13,1.0,2975713.4430971164,22890103.408439357,0.13,1.4481394028539617e-05
5518,1998-06-22,PH04MW,,6744722,ROBINSONS LAND,PH,PHP,0.0,0.0,8051157.0,35099.0,0.0539152674630285,1800000000.0,0.09,0.09,1.0,8734273.329010617,97047481.43345131,0.09,4.683836434585278e-05
5579,1998-06-22,CN8BAS,,6673633,SILK ROAD LOGISTICS HOLDINGS,CN,HKD,0.0,0.0,18350143.0,30058.0,0.023617470480982897,9732500480.0,0.1,0.1,1.0,22985704.27925519,229857042.79255188,0.1,0.0001067536856668
5611,1998-06-22,TH204G,,6074980,BANGCHAK CORPORATION ORS,TH,THB,0.0,0.0,5563089.0,2206.0,0.1906412483241396,522040000.0,0.2,0.2,0.3676471,7317821.207473372,99522357.27513385,0.07,3.236379435532133e-05
5702,1998-06-22,IN13MV,,6462574,INDIAN PETROCHEM.,IN,INR,0.0,0.0,28834898.0,5164.0,1.566886794457504,248221120.0,0.4,0.4,0.24,37337701.923211336,388934395.03345144,0.1,0.0001677497356466
5819,1998-06-22,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,29019779.0,27513.0,0.13737775000000002,2666628000.0,0.09,0.09,1.0,32970181.925430004,366335354.72700006,0.09,0.0001688252982817
6279,1998-09-21,KR135K,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,0.0,7403898.0,25452.0,5.4646390799999995,12000000.0,0.12,0.12,1.0,7869080.275199999,65575668.95999999,0.12,5.7319612094433113e-05
6293,1998-09-21,KR1G91,,6496788,KOREA FIRST BANK,KR,KRW,0.0,0.0,22749408.0,75504.0,1.10329434,320000000.0,0.06,0.06,1.0,21183251.327999998,353054188.79999995,0.06,0.0001761217188483
6340,1998-09-21,KR03M0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,0.0,4065690.0,41559.0,10.0703376,8611000.0,0.05,0.05,1.0,4335783.853680001,86715677.07360001,0.05,3.147582174905918e-05
6437,1998-09-21,HU105H,,5259238,LINAMAR HUNGARY,HU,HUF,0.0,0.0,7006713.0,45370.0,18.7265904,7926000.0,0.4,0.08,1.0,11874156.440832,148426955.5104,0.08,5.424467911592268e-05
6584,1998-09-21,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,15897561.0,27513.0,0.07986884525,2666628000.0,0.09,0.09,1.0,19168244.916418526,212980499.07131696,0.09,0.0001230759837274
6594,1998-09-21,IL119E,,6381334,GRANITE,IL,ILS,0.0,0.0,28739463.0,23919.0,1.976128575,138943000.0,0.11,0.11,1.0,30202615.585584745,274569232.59622496,0.11,0.0002224956193294
6991,1998-12-21,MY11UG,,6502458,IOI PROPERTIES,MY,MYR,0.0,0.0,10230796.0,35184.0,0.552486351,128834000.0,0.11,0.11,1.0,7829692.91992074,71179026.544734,0.11,7.278937039993923e-05
7088,1998-12-21,KR135K,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,0.0,11469060.0,25452.0,7.31942016,12000000.0,0.12,0.12,1.0,10539965.0304,87833041.92,0.12,8.15992867494501e-05
7103,1998-12-21,KR1G91,,6496788,KOREA FIRST BANK,KR,KRW,0.0,0.0,60139200.0,75504.0,4.55056056,320000000.0,0.06,0.06,1.0,87370762.752,1456179379.2,0.06,0.0004278742831306
7119,1998-12-21,KR1G1T,,6837354,SSANGYONG PAPER,KR,KRW,0.0,0.0,5295044.0,92084.0,10.1926136,10716000.0,0.05,0.05,1.0,5461202.36688,109224047.3376,0.05,3.767281832224744e-05
7157,1998-12-21,KR03M0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,0.0,5949663.0,41559.0,12.7608312,8611000.0,0.05,0.05,1.0,5494175.873160001,109883517.46320002,0.05,4.233025698702366e-05
7217,1998-12-21,TR103O,,5085778,BOYNER BUYUK MAGAZACILIK LTD.,TR,TRY,0.0,0.0,610570.0,42280.0,45.304777595,1650000.0,1.0,0.01,1.0,747528.8303174999,74752883.03175,0.01,4.34404184044828e-06
7233,1998-12-21,TH203F,,6475334,JASMINE INTERNATIONAL,TH,THB,0.0,0.0,5628896.0,2187.0,0.27700838,333600000.0,0.15,0.15,0.49,6792134.674248001,92409995.568,0.07,4.00480857879227e-05
7270,1998-12-21,BR04DJ,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,0.0,48616150.0,42262.0,0.019568669865999998,28050000000.0,1.0,0.11,1.0,60379130.871543,548901189.7413,0.11,0.0003458908720073
7405,1998-12-21,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,19134635.0,27513.0,0.100438107,2666628000.0,0.09,0.09,1.0,24104796.155387636,267831068.39319596,0.09,0.0001361377975362
7415,1998-12-21,IL119E,,6381334,GRANITE,IL,ILS,0.0,0.0,17103218.0,23919.0,1.7320353771393275,138943000.0,0.11,0.11,1.0,26471961.054645654,240654191.40586957,0.11,0.0001216848102564
7841,1999-03-22,MY11UG,,6502458,IOI PROPERTIES,MY,MYR,0.0,0.0,10439590.0,35184.0,0.738827214,128834000.0,0.11,0.11,1.0,10470467.181732358,95186065.28847599,0.11,5.731377661577422e-05
7946,1999-03-22,KR135K,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,0.0,11239516.0,25452.0,6.746519456,12000000.0,0.13,0.13,1.0,10524570.35136,80958233.472,0.13,6.170540311385984e-05
7961,1999-03-22,KR1G91,,6496788,KOREA FIRST BANK,KR,KRW,0.0,0.0,43572384.0,75504.0,1.4960386399999999,320000000.0,0.06,0.06,1.0,28723941.887999997,478732364.79999995,0.06,0.0002392141725099
7965,1999-03-22,KR15K1,,6499334,KWANG DONG PHARM.,KR,KRW,0.0,0.0,9490860.0,25362.0,10.73868832,5526000.0,1.0,0.12,1.0,7121038.9987584,59341991.65632,0.12,5.210521006395719e-05
7977,1999-03-22,KR1G1T,,6837354,SSANGYONG PAPER,KR,KRW,0.0,0.0,3312620.0,92084.0,10.246839999999999,10716000.0,0.03,0.03,1.0,3294154.1231999993,109805137.43999998,0.03,1.818641945641026e-05
8095,1999-03-22,TH117J,,6791795,KGI SECURITIES,TH,THB,0.0,0.0,15844139.0,35054.0,0.188122074,899856960.0,0.03,0.1,1.0,16928295.761853505,169282957.61853504,0.1,8.698497194959536e-05
8133,1999-03-22,BR04DJ,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,0.0,46323867.0,42262.0,0.0116006688384,28050000000.0,0.11,0.11,1.0,35793863.700883195,325398760.91712,0.11,0.0002543199268569
8188,1999-03-22,534025,,5340251,FOLLI-FOLLIE,GR,EUR,0.0,0.0,16934994.0,44979.0,18.409847424,13178000.0,0.06,0.06,1.0,14556298.161208319,242604969.353472,0.06,9.29738105716294e-05
8300,1999-03-22,CL01US,,2456560,EMPRESAS IANSA,CL,CLP,0.0,0.0,18870566.0,27513.0,0.07891820734999999,2666628000.0,0.09,0.09,1.0,18940095.12863842,210445501.42931578,0.09,0.000103600180116
8706,1999-06-21,IN14GQ,,6135962,CAROL INFO SERVICES,IN,INR,0.0,0.0,19328875.0,31699.0,6.38684387005496,35062000.0,0.39,0.39,0.24,20960364.65064675,223935519.77186698,0.09,8.355840952316947e-05
8719,1999-06-21,IN01CI,,6155915,ACC,IN,INR,0.0,0.0,93965629.0,41381.0,4.2205882451,170670400.0,0.42,0.32,0.4067797,93764931.65230739,720329484.0265151,0.13,0.0004062118726042
8839,1999-06-21,BR04DJ,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,0.0,52616638.0,42262.0,0.0185677764768,28050000000.0,0.11,0.11,1.0,57290874.3191664,520826130.17424,0.11,0.0002274608628663
8867,1999-06-21,KR135K,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,0.0,17534088.0,25452.0,10.612155959999999,12000000.0,0.13,0.13,1.0,16554963.2976,127345871.52,0.13,7.57995747667307e-05
