,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51156,2023-12-18,1148,CN2ORG,CNE100002RJ6,BFF1Z18,JIANGSU CHGSH.RUR.CMLBK. 'A' (CCS),CN,CNY,30101010.0
51155,2023-12-18,1148,CN34X3,CNE000000VJ3,BP3RMQ2,STATE GRID INFO & COMM 'A' (CCS),CN,CNY,10101010.0
51121,2023-12-18,1148,CN2SB4,CNE000000GX5,BD5CFH3,TANGSHAN JIDONG CMT.'A' (CCS),CN,CNY,50101030.0
51138,2023-12-18,1148,CN2WYV,CNE000000FB3,BD5CNG8,Wanxiang 'A' (CCS),CN,CNY,40101025.0
50864,2023-12-18,1148,CN2GK1,CNE0000014B1,BD5CJ15,Newland 'A' (CCS),CN,CNY,10101015.0
51118,2023-12-18,1148,CN2TMG,CNE100000CT1,BD5C9N7,ZHEJIANG CRYSTAL OPTECH 'A' (CCS),CN,CNY,10102015.0
51043,2023-12-18,1148,CN353A,CNE100003ZJ7,BMQ63N9,CHINA SUNTIEN GREEN ENERGY 'A' (CCS),CN,CNY,65102020.0
51120,2023-12-18,1148,CN30GI,CNE000001DZ5,BFYQHK7,SHENGHE RESOURCES HDG. 'A' (CCS),CN,CNY,55102000.0
50878,2023-12-18,1148,CN2QH8,CNE100000M47,BD5CJL5,TAIJI COMPUTER 'A' (CCS),CN,CNY,10101010.0
51094,2023-12-18,1148,CN2XIG,CNE100000SM2,BD5LZT2,GUANGZHOU ZHUJIANG BREW. 'A' (CCS),CN,CNY,45101010.0
50911,2023-12-18,1148,CN38T3,CNE1000046G0,BNR4M65,QINGDAO SENTURY TIRE 'A' (CCS),CN,CNY,40101015.0
51116,2023-12-18,1148,CN2V95,CNE1000005X1,BD5LTP6,CNNC HUA YUAN TITANIUM DIOXIDE (CCS),CN,CNY,55201020.0
51111,2023-12-18,1148,CN32W0,CNE100000643,BD5CB86,Beijing BDStar 'A' (CCS),CN,CNY,15101010.0
51495,2023-12-18,1148,HK90U4,KYG711391022,BDRYVB3,PING AN HEALTHCARE AND TECH CO,CN,HKD,20101025.0
51216,2023-12-18,1148,CN2TKE,CNE000000XH3,BD5C9L5,Shunxin 'A' (CCS),CN,CNY,45101015.0
51161,2023-12-18,1148,CN3C9N,CNE100001D21,BD73MH3,GUOSHENG FINL.HLDG.'A' (CCS),CN,CNY,30202000.0
51484,2023-12-18,1148,CN87P3,KYG2110A1114,BC9S4J5,CHINASOFT INTERNATIONAL,CN,HKD,10101010.0
51137,2023-12-18,1148,CN31PS,CNE1000026G2,BK94831,QIANHE CONDIMENT &.FOOD 'A' (CCS),CN,CNY,45102020.0
51460,2023-12-18,1148,HK01IK,HK1208013172,6728793,MMG,CN,HKD,55102040.0
50784,2023-12-18,1148,CN91T2,US88557W1018,BFMV9Y2,QIFU TECHNOLOGY ADR,CN,USD,30201020.0
51110,2023-12-18,1148,CN2N9X,CNE000001DG5,BTFRHD0,Gaochun Ceram 'A' (CCS),CN,CNY,50201020.0
51470,2023-12-18,1148,CN2CR4,HK0000658531,BNHQ5S4,SIMCERE PHARMACEUTICAL GROUP,CN,HKD,20103015.0
51222,2023-12-18,1148,CN75R2,CNE000001642,BDC41N0,CHINA PETROLEUM ENGINEERING A (CCS),CN,CNY,60101030.0
51115,2023-12-18,1148,CN2KH2,CNE000000Q29,BP3R8X1,CHINA MEHECO GROUP 'A' (CCS),CN,CNY,20103015.0
51230,2023-12-18,1148,CN4CCR,CNE100005857,BLC7SD4,SHENZHEN KTC TECHNOLOGY 'A' (CCS),CN,CNY,10102030.0
51492,2023-12-18,1148,CN91LU,HK0000056256,6971779,CHINA TRADITIONAL CHI MEDICINE,CN,HKD,20103015.0
51150,2023-12-18,1148,CN33RW,CNE0000014Z0,BFY8G62,SICHUAN NEW ENERGY POWER 'A' (CCS),CN,CNY,60102020.0
51129,2023-12-18,1148,CN2Y21,CNE000000XP6,BD5CL31,ANHUI ZHONGDING SEALING PART A (CCS),CN,CNY,40101025.0
51107,2023-12-18,1148,CN36EM,CNE000001BG9,BMVB2W1,Pharm Glass 'A' (CCS),CN,CNY,20102015.0
51227,2023-12-18,1148,CN95DQ,CNE100004P08,BQWR9T2,ZHEJIANG PUBLISHIN 'A' (CCS),CN,CNY,40301030.0
51125,2023-12-18,1148,CN2SJC,CNE100001JZ1,BD5CHY4,HEFEI MEIYA OT.TECH.'A' (CCS),CN,CNY,50202025.0
