,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,Mcap_Units_Index_Currency_Open,SEDOL
32839,2023-12-18,2034,AE23IB,AEE001901017,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1.0,1620600843.0,0.0011701675779659238,1622864234.0,BDG1977
32840,2023-12-18,2034,AE301S,AEE01110S227,SALIK COMPANY,AE,AED,50206060.0,1.0,1581397880.0,0.0011402637857981556,1581391717.0,BJN5952
32841,2023-12-18,2034,AE20XN,AEN000401010,NATMARINE DREDGING CO,AE,AED,50101010.0,1.0,1515194093.0,0.0011126850017927513,1543143672.0,6625838
32842,2023-12-18,2034,BR00FH,BRBRFSACNOR8,BRF SA,BR,BRL,45102020.0,1.0,2008329894.0,0.0014145077522267485,1961731023.0,2036995
32843,2023-12-18,2034,IN10BH,INE811K01011,Prestge Ests,IN,INR,35101010.0,1.0,2411615844.0,0.0017001947647994474,2357940287.0,B4T3LF9
32844,2023-12-18,2034,AE303U,AEE01134E227,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,1.0,925761400.0,0.0006714449701598596,931203400.0,BPYSVC3
32845,2023-12-18,2034,EG8013,EGS39061C014,MISR FRETILIZERS,EG,EGP,55201015.0,1.0,645131190.0,0.0004579408736017874,635102082.0,BWSW8F2
32846,2023-12-18,2034,IN104A,INE002L01015,Satluj Jal Vid,IN,INR,65101010.0,1.0,800409514.0,0.0005971566701294472,828175571.0,B3Y50F6
32847,2023-12-18,2034,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,0.7448494,2068137539.0,0.0015624316945848091,2166881533.0,6410562
32848,2023-12-18,2034,MX024P,MX01PI000005,Promotora y Opr,MX,MXN,50101010.0,0.9881024,1960725757.0,0.0013465464156796078,1867477837.0,2393388
32849,2023-12-18,2034,TW117Y,TW0003036000,WT Microelectron,TW,TWD,10102010.0,1.0,2020668029.0,0.0014665853228408156,2033955573.0,6290991
32850,2023-12-18,2034,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1.0,1933195724.0,0.001406313142391784,1950366207.0,BYMXF65
32851,2023-12-18,2034,IN11IP,INE342J01019,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,1.0,885142068.0,0.0006431534973661188,891966952.0,B3DGKJ4
32852,2023-12-18,2034,IN616I,INE930H01031,KPR MILL,IN,INR,55101020.0,1.0,1255335685.0,0.0009016408205623597,1250453924.0,BMDP7V5
32853,2023-12-18,2034,IN047G,INE061F01013,Fortis Healthcar,IN,INR,20101010.0,1.0,2453330522.0,0.0017676153766880843,2451443561.0,B1XC098
32854,2023-12-18,2034,AE22B3,AEA003001012,AIR ARABIA,AE,AED,40501010.0,0.4878831,932391402.0,0.0006823332506229483,946303973.0,B23DL40
32855,2023-12-18,2034,SA238F,SA121053DR18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,0.5803018,1230394095.0,0.0008972699374289924,1244392100.0,B2QG180
32856,2023-12-18,2034,IN50Y8,INE823G01014,JK CEMENT,IN,INR,50101030.0,1.0,1627966911.0,0.0011709284776538285,1623919499.0,B0CJ800
32857,2023-12-18,2034,MX802T,MX01GC2M0006,GCC,MX,MXN,50101030.0,1.0,1907400361.0,0.0013663525480657206,1894946265.0,2946663
32858,2023-12-18,2034,IN01TZ,INE438A01022,Apollo Tyres,IN,INR,40101015.0,1.0,1738217206.0,0.0012483430059750133,1731282984.0,6168902
32859,2023-12-18,2034,IN0BN3,INE741K01010,CREDITACCESS GRAMEEN,IN,INR,30201020.0,1.0,895601013.0,0.0006507209862339701,902462036.0,BYVKG53
32860,2023-12-18,2034,EG20EA,EGS38191C010,ABOU KIR FERTILIZERS,EG,EGP,55201015.0,1.0,715703363.0,0.0005079813401069605,704501444.0,6005474
32861,2023-12-18,2034,IN06S3,INE115A01026,LIC Housing,IN,INR,30201025.0,1.0,1927265186.0,0.0014140049324885193,1961033680.0,6101026
32862,2023-12-18,2034,BR02Y2,BREMBRACNOR4,Embraer,BR,BRL,50201010.0,1.0,3318100383.0,0.002438655745767481,3382085834.0,B16FPG6
32863,2023-12-18,2034,BR02JN,BRCPLEACNPB9,COPEL - CIA PR DE ENERGIA,BR,BRL,65101010.0,1.0,2085043710.0,0.0015055052814891324,2087932294.0,2200154
32864,2023-12-18,2034,IN0A1G,INE424H01027,Sun TV network,IN,INR,40301035.0,1.0,820743398.0,0.0005931473896533139,822615241.0,B128WL3
32865,2023-12-18,2034,AE2280,AED000901010,DUBAI FINANCIAL MARKET,AE,AED,30202015.0,1.0,585573426.0,0.0004252642163528219,589783976.0,B1GPBP7
32866,2023-12-18,2034,MX406T,MX01VE0M0003,VESTA,MX,MXN,35101010.0,1.0,3313467706.0,0.00239405936865977,3320236688.0,B8F6ZF8
32867,2023-12-18,2034,IN50W6,INE387A01021,SUNDRAM FASTENERS,IN,INR,40101025.0,1.0,1646709412.0,0.001177660688279093,1633256165.0,6730895
