,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,InfoCode,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Source
51156,2023-12-18,1148,CN2ORG,CNE100002RJ6,BFF1Z18,JIANGSU CHGSH.RUR.CMLBK. 'A' (CCS),CN,CNY,30101010.0,152185499.0,310412.0,2740881261.0,1.0,1.0,0.06,155898653.38360423,2598310889.726737,0.06,MID Cap Index
51155,2023-12-18,1148,CN34X3,CNE000000VJ3,BP3RMQ2,STATE GRID INFO & COMM 'A' (CCS),CN,CNY,10101010.0,152957808.0,326643.0,1202519044.0,0.4351,0.4825,0.1243523,155818141.34587762,2596969682.494421,0.05999998475,MID Cap Index
51121,2023-12-18,1148,CN2SB4,CNE000000GX5,BD5CFH3,TANGSHAN JIDONG CMT.'A' (CCS),CN,CNY,50101030.0,147371762.0,310182.0,2658214631.0,0.3844,0.3844,0.1560874,155446257.3245775,2590771103.947169,0.05999999656,MID Cap Index
51138,2023-12-18,1148,CN2WYV,CNE000000FB3,BD5CNG8,Wanxiang 'A' (CCS),CN,CNY,40101025.0,147308338.0,310196.0,3303791344.0,0.3603,0.3603,0.1665279,155114455.73306632,2585240826.767426,0.060000002370000007,MID Cap Index
50864,2023-12-18,1148,CN2GK1,CNE0000014B1,BD5CJ15,Newland 'A' (CCS),CN,CNY,10101015.0,166877824.0,310444.0,1032062937.0,0.7007,0.7007,0.0856287,155006555.85720235,2583441302.024226,0.06000003009,MID Cap Index
51118,2023-12-18,1148,CN2TMG,CNE100000CT1,BD5C9N7,ZHEJIANG CRYSTAL OPTECH 'A' (CCS),CN,CNY,10102015.0,145770398.0,310861.0,1390632221.0,0.8582,0.8582,0.0699138,154919428.70840746,2581989481.8255177,0.06000002316,MID Cap Index
51043,2023-12-18,1148,CN353A,CNE100003ZJ7,BMQ63N9,CHINA SUNTIEN GREEN ENERGY 'A' (CCS),CN,CNY,65102020.0,65790574.0,327428.0,2348088677.0,0.1232,0.1232,0.2,63447738.46757448,2574989385.8593535,0.024640000000000002,MID Cap Index
51120,2023-12-18,1148,CN30GI,CNE000001DZ5,BFYQHK7,SHENGHE RESOURCES HDG. 'A' (CCS),CN,CNY,55102000.0,142300062.0,310970.0,1752826570.0,0.7376,0.7376,0.0813449,154120593.14650798,2568676627.7896476,0.05999999824,MID Cap Index
50878,2023-12-18,1148,CN2QH8,CNE100000M47,BD5CJL5,TAIJI COMPUTER 'A' (CCS),CN,CNY,10101010.0,161644779.0,311040.0,623231286.0,0.6415,0.6415,0.0935308,154065906.53812957,2567764758.040976,0.060000008199999996,MID Cap Index
51094,2023-12-18,1148,CN2XIG,CNE100000SM2,BD5LZT2,GUANGZHOU ZHUJIANG BREW. 'A' (CCS),CN,CNY,45101010.0,77077643.0,310902.0,2213328480.0,0.1586,0.1586,0.2,81322981.80301246,2563776223.297997,0.03172,MID Cap Index
50911,2023-12-18,1148,CN38T3,CNE1000046G0,BNR4M65,QINGDAO SENTURY TIRE 'A' (CCS),CN,CNY,40101015.0,172308251.0,340856.0,649671628.0,0.4676,0.5791,0.103609,153769030.4359858,2562818374.1863685,0.0599999719,MID Cap Index
51116,2023-12-18,1148,CN2V95,CNE1000005X1,BD5LTP6,CNNC HUA YUAN TITANIUM DIOXIDE (CCS),CN,CNY,55201020.0,143941945.0,310493.0,3871026315.0,0.6655,0.6655,0.0901578,153735329.71434197,2562254816.2415066,0.060000015899999995,MID Cap Index
51111,2023-12-18,1148,CN32W0,CNE100000643,BD5CB86,Beijing BDStar 'A' (CCS),CN,CNY,15101010.0,141960175.0,311629.0,544159258.0,0.6854,0.6854,0.0875401,153703125.2099103,2561719413.5682073,0.059999984539999995,MID Cap Index
51495,2023-12-18,1148,HK90U4,KYG711391022,BDRYVB3,PING AN HEALTHCARE AND TECH CO,CN,HKD,20101025.0,1297589864.0,306026.0,1118812900.0,0.5149,0.5149,1.0,1318806526.1478457,2561286708.3857946,0.5149,MID Cap Index
51216,2023-12-18,1148,CN2TKE,CNE000000XH3,BD5C9L5,Shunxin 'A' (CCS),CN,CNY,45101015.0,127926461.0,310827.0,741766989.0,0.6249,0.6249,0.0960154,153223230.44928923,2553719508.9838257,0.06000002346,MID Cap Index
51161,2023-12-18,1148,CN3C9N,CNE100001D21,BD73MH3,GUOSHENG FINL.HLDG.'A' (CCS),CN,CNY,30202000.0,150096247.0,311332.0,1935084653.0,0.48,0.3189,0.1881468,153212833.1245483,2553546600.7841935,0.060000014520000006,MID Cap Index
51484,2023-12-18,1148,CN87P3,KYG2110A1114,BC9S4J5,CHINASOFT INTERNATIONAL,CN,HKD,10101010.0,1867868164.0,12066.0,2974609358.0,0.8973,0.8064,1.0,2045445461.741358,2536514709.500692,0.8064,MID Cap Index
51137,2023-12-18,1148,CN31PS,CNE1000026G2,BK94831,QIANHE CONDIMENT &.FOOD 'A' (CCS),CN,CNY,45102020.0,134285047.0,319412.0,1027821086.0,0.5625,0.5018,0.1195695,151169514.1984515,2519492948.8970985,0.0599999751,MID Cap Index
51460,2023-12-18,1148,HK01IK,HK1208013172,6728793,MMG,CN,HKD,55102040.0,756634470.0,2445.0,8656047188.0,0.3245,0.3245,1.0,816381942.017555,2515814921.471664,0.3245,MID Cap Index
