,Date,IN,CN,Total_Components
0,2019-03-18,0.07736345933673576,0.2398070317778761,1520
0,2019-06-24,0.08461457883046866,0.21591070782105967,1514
0,2019-09-23,0.06516471981602681,0.2389910285834741,1405
0,2019-12-23,0.059144777945524654,0.24204882395974775,1398
0,2020-03-23,0.06287103649786359,0.3088491288039886,1472
0,2020-06-22,0.059447016346591774,0.28062035127482854,1482
0,2020-09-21,0.09667575124467281,0.28190880528397255,1398
0,2020-12-21,0.09383650838644197,0.2895596429365164,1375
0,2021-03-22,0.1130479979403019,0.26684390432783633,1505
0,2021-06-21,0.10492750484562323,0.2451167782047693,1483
0,2021-09-20,0.1923420459271601,0.14037009616845736,2050
0,2021-12-20,0.18747954600192995,0.15250760272735853,2018
0,2022-03-21,0.20384292117975011,0.14225250647156193,2058
0,2022-06-20,0.20435531010809427,0.14774302358090435,2023
0,2022-09-19,0.219626410855989,0.1387801118645721,2041
0,2022-12-19,0.21069839514795807,0.1402751623916853,1967
0,2023-03-20,0.19857999029761358,0.1150469474742298,2041
0,2023-06-19,0.20941328930987055,0.10479971492406004,2015
0,2023-09-18,0.23164940566823744,0.10244935351152573,2075
0,2023-12-18,0.24935512911382057,0.08611319184510427,2034
0,2024-03-18,0.24501085044477738,0.08802331406940445,2159
