,Date,Internal_Number,InfoCode,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,Full_Mcap_Units_Index_Currency,Free_Float,Capfactor,FOR_FF,Weight
2,1997-03-24,KR63BV,34735.0,,6407683,HAN CHANG,KR,KRW,0.0,4899346.0,44539507.2,0.11,1.0,0.11,2.711706484971185e-05
44,1997-03-24,KR1CSG,25271.0,,6464688,GREEN NON-LIFE INSURANCE,KR,KRW,0.0,9570150.0,87001359.9,0.11,1.0,0.11,5.296918775923764e-05
60,1997-03-24,KR1FI9,44213.0,,6589484,HBE ENERGY,KR,KRW,0.0,11109472.0,85457476.80000001,0.13,1.0,0.13,6.14890788831934e-05
100,1997-03-24,KR03FT,25229.0,,6405739,HANMI SCIENCE,KR,KRW,0.0,17877112.0,127693659.06000002,0.14,1.0,0.14,9.894684013530826e-05
101,1997-03-24,KR03M0,41559.0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,648634.0,64863360.00000001,0.01,1.0,0.01,3.5900812560958133e-06
122,1997-03-24,KR03S6,25266.0,,6450858,HYUNDAI CORPORATION,KR,KRW,0.0,15817435.0,143794862.08,0.11,1.0,0.11,8.754687067439245e-05
184,1997-03-24,KR02GT,34745.0,,6496432,LOTTE FINE CHEMICAL,KR,KRW,0.0,19839067.0,220434075.00000003,0.09,1.0,0.09,0.0001098059345873
194,1997-03-24,KR041G,2218.0,,6401599,HALLA,KR,KRW,0.0,8061921.0,57585150.480000004,0.14,1.0,0.14,4.462139121634884e-05
195,1997-03-24,KR044J,40850.0,,6273130,KG DONGBUSTEEL,KR,KRW,0.0,9305730.0,116321625.60000001,0.08,1.0,0.08,5.150566705921751e-05
235,1997-03-24,MY13NB,31631.0,,6228163,COUNTRY HEIGHTS HDG.,MY,MYR,0.0,25784338.0,859477940.21502,0.03,1.0,0.03,0.0001427120202681
423,1997-03-24,PH04GQ,25993.0,,6455819,INTL.CTNR.TERM.SVS.,PH,PHP,0.0,52641107.0,526411069.51680005,0.1,1.0,0.1,0.0002913597676668
887,1997-06-23,KR1CSG,25271.0,,6464688,GREEN NON-LIFE INSURANCE,KR,KRW,0.0,10651692.0,96833564.22000001,0.11,1.0,0.11,5.75620473046836e-05
965,1997-06-23,KR041G,2218.0,,6401599,HALLA,KR,KRW,0.0,11903508.0,85025054.4,0.14,1.0,0.14,6.432689666465005e-05
966,1997-06-23,KR044J,40850.0,,6273130,KG DONGBUSTEEL,KR,KRW,0.0,11850266.0,148128320.10000002,0.08,1.0,0.08,6.403917537843599e-05
1003,1997-06-23,KR03FT,25229.0,,6405739,HANMI SCIENCE,KR,KRW,0.0,14238095.0,101700681.03000002,0.14,1.0,0.14,7.694307138420628e-05
1004,1997-06-23,KR03M0,41559.0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,981959.0,98195920.00000001,0.01,1.0,0.01,5.30653443690071e-06
1052,1997-06-23,MY14D2,25863.0,,6851213,DFZ CAPITAL,MY,MYR,0.0,32764317.0,297857427.525,0.11,1.0,0.11,0.0001770593033538
1221,1997-06-23,PH04GQ,25993.0,,6455819,INTL.CTNR.TERM.SVS.,PH,PHP,0.0,46008438.0,460084377.57833606,0.1,1.0,0.1,0.0002486309108985
1645,1997-09-22,KR01P1,24884.0,,6896452,TONGYANG,KR,KRW,0.0,9186547.0,153109120.88000003,0.06,1.0,0.06,4.358072641090545e-05
1705,1997-09-22,KR12Q4,41515.0,KR7001680008,6352716,DAESANG,KR,KRW,0.0,12564936.0,251298718.20000002,0.05,1.0,0.05,5.960771094803485e-05
1706,1997-09-22,KR1FI9,44213.0,,6589484,HBE ENERGY,KR,KRW,0.0,4986105.0,71230068.24000001,0.07,1.0,0.07,2.365394504170585e-05
1759,1997-09-22,KR91M7,25201.0,,6245140,NEXT SCIENCE,KR,KRW,0.0,9862200.0,109580000.0,0.09,1.0,0.09,4.678600566781314e-05
1769,1997-09-22,KR03M0,41559.0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,1367558.0,136755840.0,0.01,1.0,0.01,6.487657555014418e-06
1960,1997-09-22,MY161S,48137.0,,6378596,GOPENG,MY,MYR,0.0,15906408.0,144603712.31,0.11,1.0,0.11,7.545956225208861e-05
2371,1997-09-22,ID10ZV,31869.0,,6675651,PIONEERINDO GMT.INTL.,ID,IDR,0.0,942016.0,94201560.0,0.01,1.0,0.01,4.468898006040301e-06
2397,1997-09-22,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,46348128.0,514979199.35999995,0.09,1.0,0.09,0.0002198742450265
2455,1997-09-22,AR4027,620.0,,2186771,ENEL GENERACION COSTANERA,AR,ARS,0.0,9028475.0,451423767.03273827,0.02,1.0,0.02,4.283083718863024e-05
2558,1997-12-22,KR01P1,24884.0,,6896452,TONGYANG,KR,KRW,0.0,1970072.0,32834531.68,0.06,1.0,0.06,1.363826344556442e-05
2636,1997-12-22,KR1FI9,44213.0,,6589484,HBE ENERGY,KR,KRW,0.0,665239.0,9503409.36,0.07,1.0,0.07,4.605265562001708e-06
2702,1997-12-22,KR91M7,25201.0,,6245140,NEXT SCIENCE,KR,KRW,0.0,1094746.0,12163840.0,0.09,1.0,0.09,7.578623702066658e-06
2713,1997-12-22,KR03M0,41559.0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,509946.0,50994560.0,0.01,1.0,0.01,3.53021508402322e-06
3318,1997-12-22,ID00MH,25537.0,ID1000096803,6173229,KALBE FARMA,ID,IDR,0.0,1522476.0,76123800.0,0.02,1.0,0.02,1.0539680162729653e-05
3347,1997-12-22,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,31820659.0,353562873.264,0.09,1.0,0.09,0.0002202856192329
3382,1997-12-22,AR4027,620.0,,2186771,ENEL GENERACION COSTANERA,AR,ARS,0.0,6734973.0,336748671.5,0.02,1.0,0.02,4.662435488284861e-05
3461,1998-03-23,KR01P1,24884.0,,6896452,TONGYANG,KR,KRW,0.0,2769017.0,46150276.480000004,0.06,1.0,0.06,1.3286885957300756e-05
