closeDay;nextTradingDay;indexSymbol;indexName;indexType;indexCurrency;indexClose;indexComponentCount;indexMcapUnits;indexDivisor;internalNumber;isin;sedol;ric;cusip;name;country;currency;currencyNextDay;exchange;icb5;sharesClose;freeFloatClose;capFactorCf;weightFactorWf;closeUnadjustedLocal;fxLocalToIndexCurrencyClose;mcapUnitsLocal;mcapUnitsIndexCurrency;indexComponentCountNextDay;indexDivisorNextDay;sharesNextDay;freeFloatNextDay;capFactorNextDaycf;weightFactorNextDayWf;adjustedLocal;adjustedMcapUnitsLocal;adjustedMcapUnitsIndexCurrency;weight
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;BR045B;BRMRVEACNOR2;B235JN1;MRVE3.SA;;MRV ENGENHARIA;BR;BRL;BRL;0;40202010;482875033;0.6317;1;305032158;16.77;0.1985996;5115389290;1015914269;1483;943705910;482875033;0.6317;1;305032158;16.77;5115389290;1015914269;0.000660904
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;IN60R2;INE208C01025;BYZ5JH7;AEGS.BO;;AEGIS LOGISTICS;IN;INR;INR;0;50206060;345333334;0;1;0;358;0.0135392;0;0;1483;943705910;351000000;0;1;0;358;0;0;0
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;TW03SK;TW0002441003;6293989;2441.TW;;Greatek Eltrs;TW;TWD;TWD;0;10102010;568845921;0.5709;1;324754136;76.8;0.0359777;24941117645;897324061;1483;943705910;568845921;0.5709;1;324754136;76.8;24941117645;897324061;0.000583755
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;PH703G;PHY9584X1055;BYXYHM7;WLCON.PS;;WILCON DEPOT;PH;PHP;PHP;0;40401025;4099724116;0.3462;1;1419324489;18.3;0.0206441;25973638149;536202341;1483;943705910;4099724116;0.3462;1;1419324489;18.3;25973638149;536202341;0.000348827
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;KR05JZ;KR7042670000;6211679;042670.KS;;Doosan Infracore;KR;KRW;KRW;0;50204020;215912216;0.6515;1;140666809;15450;0.0008832;2.1733E+12;1919460502;1483;943705910;225783271;0.6656;1;150281345;15450;2.32185E+12;2050655076;0.001248707
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;MX00K3;MX01CH170002;B457NQ0;CHDRAUIB.MX;;Grupo Comercial Chedraui SA de;MX;MXN;MXN;0;40401010;963917211;0.4709;1;453908615;31.65;0.0482882;14366207665;693718295;1483;943705910;954826462;0.482;1;460226355;31.65;14566164136;703373833;0.000451299
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;424894;GRS245213004;4248947;LMDr.AT;;LAMDA DEVELOPMENT;GR;EUR;EUR;0;35101010;176736715;0.4773;1;84356434;7.65;1.1856;645326720;765099359;1483;943705910;176736715;0.4773;1;84356434;7.65;645326720;765099359;0.000497736
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;PH04JT;PHY2088F1004;6272483;DMC.PS;;DMCI Holdings Inc;PH;PHP;PHP;0;50203000;13277470000;0.3057;1;4058922579;6.21;0.0206441;25205909216;520353469;1483;943705910;13277470000;0.3057;1;4058922579;6.21;25205909216;520353469;0.000338517
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;CN659J;HK0000255361;BYW7534;2666.HK;;GENERTEC UNIVERSAL MED.GRP.;CN;HKD;HKD;0;20101030;1716304580;0.6035;1;1035789814;6.95;0.128815;7198739207;927305643;1483;943705910;1891539661;0.5468;1;1034293887;6.95;7188342515;925966393;0.00060326
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;KR917S;KR7278280003;BJ9ZMW4;278280.KQ;;CHUNBO;KR;KRW;KRW;0;55201000;10000000;0.4515;1;4515000;185300;0.0008832;8.3663E+11;738911174;1483;943705910;10000000;0.4515;1;4515000;185300;8.3663E+11;738911174;0.000480699
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;TW05F9;TW0002889003;6518392;2889.TW;;IBF Financial Holdings;TW;TWD;TWD;0;30202015;2896481695;0.8608;1;2493291443;16.3;0.0359777;40640650521;1462157107;1483;943705910;2896481695;0.8608;1;2493291443;16.3;40640650521;1462157107;0.000951208
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;MY309W;MYL7293OO003;6986717;YINS.KL;;YINSON HOLDINGS;MY;MYR;MYR;0;50206030;1099167473;0.6624;1;728088534;5;0.2416043;3640442670;879546603;1483;943705910;1099167473;0.6711;1;737651291;5;3688256455;891098619;0.00057219
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;IN0BN3;INE741K01010;BYVKG53;CRDE.BO;;CREDITACCESS GRAMEEN;IN;INR;INR;0;30201020;155496442;0.24;1;37319146;744.9;0.0135392;27799031855;376376653;1483;943705910;155582040;0.24;1;37339690;744.9;27814335081;376583846;0.000244852
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;MY707Y;MYL5279OO004;BYVNW76;SERB.KL;;SERBA DINAMIK HDG;MY;MYR;MYR;0;60101030;3390356878;0.4601;1;1559903200;0.625;0.2416043;974939500;235549595;1483;943705910;3727186878;0.4726;1;1761468519;0.625;1100917824;265986502;0.000153237
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;HK1AT5;VGG0542G1028;BGSZJN4;1675.HK;;ASIAINFO TECHNOLOGIES;CN;HKD;HKD;0;10101015;920601920;0.24;1;220944461;13.04;0.128815;2881115771;371130928;1483;943705910;920601920;0.24;1;220944461;13;2872277993;369992490;0.00024144
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;TH219M;TH0371010Z05;6554697;SPALI.BK;;SUPALAI;TH;THB;THB;0;35101010;2143079330;0.35;0.4974417;750077766;20.9;0.031794;7798207143;247936198;1483;943705910;2143079330;0.35;0.4974417;750077766;20.9;7798207143;247936198;0.000161295
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;KR11Q3;KR7010780005;6273204;010780.KS;;IS Dongseo;KR;KRW;KRW;0;50101035;30823827;0.4519;1;13929287;58100;0.0008832;8.09292E+11;714766319;1483;943705910;30892606;0.4532;1;14000529;58100;8.13431E+11;718422025;0.000464992
6/18/2021;6/21/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1626.168196;1505;1.53716E+12;945264018;ZA00R0;ZAE000028296;6113485;TRUJ.J;;Truworths International Ltd;ZA;ZAR;ZAR;0;40401020;442963993;0.8415;1;372754200;56.59;0.0700525;21094160178;1477698665;1483;943705910;442963993;0.867;1;384049782;56.59;21733377163;1522477413;0.000961318
