closeDay;nextTradingDay;indexSymbol;indexName;indexType;indexCurrency;indexClose;indexComponentCount;indexMcapUnits;indexDivisor;internalNumber;isin;sedol;ric;cusip;name;country;currency;currencyNextDay;exchange;icb5;sharesClose;freeFloatClose;capFactorCf;weightFactorWf;closeUnadjustedLocal;fxLocalToIndexCurrencyClose;mcapUnitsLocal;mcapUnitsIndexCurrency;indexComponentCountNextDay;indexDivisorNextDay;sharesNextDay;freeFloatNextDay;capFactorNextDaycf;weightFactorNextDayWf;adjustedLocal;adjustedMcapUnitsLocal;adjustedMcapUnitsIndexCurrency;weight
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN0AIX;INE092A01019;6101167;TTCH.BO;;Tata Chemicals;IN;INR;INR;0;55201000;254756273;0.22;0.374277;56046380;714.85;0.013787;14995316234;206740426;1375;1018830191;254756273;0.22;0.374277;56046380;714.85;14995316234;206740426;0.000149112
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;635467;HK0639031506;6354671;0639.HK;;SHOUGANG FUSHAN RESOURCES GR;CN;HKD;HKD;0;60101040;5051837842;0.4251;1;2147536267;2.04;0.1287895;4380973985;564223492;1375;1018830191;5051837842;0.4251;1;2147536267;2.04;4380973985;564223492;0.000406947
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW010Q;TW0001210003;6384344;1210.TW;;Great Wall Ent;TW;TWD;TWD;0;45102010;827339086;0.9169;1;758587208;52.5;0.0353345;39825828420;1407225696;1375;1018830191;827339086;0.9169;1;758587208;52.5;39825828420;1407225696;0.001014963
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MX01BV;MX01BM1B0000;B39VVF6;BOLSAA.MX;;BOLSA MEXICANA DE VALORES;MX;MXN;MXN;0;30202015;592940960;1;1;592940960;42.970002;0.0489141;25478674237;1246266434;1375;1018830191;592940960;1;1;592940960;42.289994;25075469641;1226544032;0.000898871
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TH22BP;TH0021010Z06;6806376;SCCC.BK;;SIAM CITY CEMENT;TH;THB;THB;0;50101030;297999998;0.2346;0.8020718;69910800;161.5;0.0324386;9055867182;293759653;1375;1018830191;297999998;0.2346;0.8020718;69910800;161.5;9055867182;293759653;0.000211874
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;BR05QX;BRPRIOACNOR1;BYY0144;PRIO3.SA;;PETRO RIO ON;BR;BRL;BRL;0;60101010;144685660;0.6657;1;96317244;88.2;0.1805356;8495180921;1533682583;1375;1018830191;144685660;0.6657;1;96317244;88.2;8495180921;1533682583;0.00110617
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MX00K3;MX01CH170002;B457NQ0;CHDRAUIB.MX;;Grupo Comercial Chedraui SA de;MX;MXN;MXN;0;40401010;953809716;0.4709;1;449148995;31.5;0.0489141;14148193343;692046166;1375;1018830191;953809716;0.4709;1;449148995;31.5;14148193343;692046166;0.000499139
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN50DN;INE670A01012;6211204;TTEX.BO;;TATA ELXSI;IN;INR;INR;0;10101010;62276440;0.24;1;14946346;2676.45;0.013787;40003147752;551523399;1375;1018830191;62276440;0.24;1;14946346;2676.45;40003147752;551523399;0.000397787
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;PK21GS;PK0071501016;6537557;LUKC.PSX;;LUCKY CEMENT;PK;PKR;PKR;0;50101030;323375000;0.685;1;221511875;839;0.0064246;1.85848E+11;1194002036;1375;1018830191;323375000;0.685;1;221511875;839;1.85848E+11;1194002036;0.000861175
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;HK1AX9;KYG2120H1065;BJQQJ85;1907.HK;;CHINA RISUN GROUP;CN;HKD;HKD;0;55201020;4089999360;0.24;1;981599846;4.4799996;0.1287895;4397566917;566360436;1375;1018830191;4089999360;0.24;1;981599846;4.4200001;4338671417;558775320;0.000408488
