Next_Trading_Day;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;Close_adjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;Cash_Dividend_Amount;Cash_Dividend_Currency;Special_Cash_Dividend_Amount;Special_Cash_Dividend_Currency;Corporate_Action_Description
01.10.2014;TH21DQ;TH0374010Z09;6724241;SAMART.BK;SAMART;TH;THB;TheStockExchangeof;9578;1006329910;0.5891;1;;;31;31;0.0308404;18377697450;566774710;0.22037;;;;;
01.10.2014;ID00TO;ID1000113707;B548673;BBTN.JK;BANK TABUNGAN NEGARA;ID;IDR;IndonesiaStockExcha;8779;10458953500;0.3925;1;;;1170;1170;0.0000821;4.80301E+12;394381549;0.15334;;;;;
01.10.2014;TH00Q0;TH0221A10Z06;B74B7B7;BTS.BK;BTS Group Holdings PCL;TH;THB;TheStockExchangeof;8633;11914230000;0.6673;1;;;10;10;0.0308404;79503656790;2451920602;0.95332;;;;;
01.10.2014;685346;SG1R31002210;6853468;KLAN.SI;Keppel Land Ltd.;SG;SGD;SingaporeExchange;8633;1545913168;0.4535;1;;;3.5;3.5;0.784116;2453750677;1924025376;0.74807;;;;;
01.10.2014;TH213G;TH0303A10Z07;6710154;HEMRAJ.BK;HEMARAJ LAND AND DEV.;TH;THB;TheStockExchangeof;8633;9705185000;0.8899;1;;;4.42;4.42;0.0308404;38173967063;1177298963;0.45774;;;;;
01.10.2014;TH20AM;TH0456010Z04;B00Q6Z4;LPN.BK;LPN DEVELOPMENT;TH;THB;TheStockExchangeof;8633;1475698000;1;1;;;21.7;21.7;0.0308404;32022646600;987589784;0.38398;;;;;
01.10.2014;TH20W8;TH0256A10Z04;B00PN05;QH.BK;QUALITY HOUSES;TH;THB;TheStockExchangeof;8633;9183781750;0.6425;1;;;4.22;4.22;0.0308404;24900446646;767938625;0.29858;;;;;
01.10.2014;626551;SG1L01001701;6175203;DBSM.SI;DBS Group Holdings Ltd.;SG;SGD;SingaporeExchange;8355;2465157015;0.709;1;;;18.42;18.42;0.784116;32194408288;25244153061;9.81509;;;;;
01.10.2014;666369;SG1S04926220;B0F9V20;OCBC.SI;Oversea-Chinese Banking Corp.;SG;SGD;SingaporeExchange;8355;3935018216;0.8085;1;;;9.74;9.74;0.784116;30987442101;24297751250;9.44712;;;;;
01.10.2014;691678;SG1M31001969;6916781;UOBH.SI;United Overseas Bank Ltd.;SG;SGD;SingaporeExchange;8355;1614544013;0.7942;1;;;22.4;22.4;0.784116;28722867152;22522061880;8.75672;;;;;
01.10.2014;MY001L;MYL1155OO000;6556325;MBBM.KL;Malayan Banking Bhd;MY;MYR;BursaMalaysia;8355;9130493294;0.5339;1;;;9.96;9.96;0.304831;48552712885;14800375141;5.75448;;;;;
01.10.2014;MY002M;MYL1023OO000;6075745;CIMB.KL;CIMB Group Holdings Bhd;MY;MYR;BursaMalaysia;8355;8336522033;0.5529;1;;;7.03;7.03;0.304831;32403119115;9877477369;3.84043;;;;;
