Date;sd3e;sd3t;sd3gt
2005-10-31 00:00:00;100.0;100.0;100.0
2005-11-01 00:00:00;100.194450446;100.194785118;100.194405087
2005-11-02 00:00:00;100.032187942;100.032292418;100.032126264
2005-11-03 00:00:00;101.171111983;101.171115463;101.170549277
2005-11-04 00:00:00;100.893325632;100.893194545;100.892945402
2005-11-07 00:00:00;101.447575542;101.447662235;101.447329401
2005-11-08 00:00:00;101.244306482;101.244288708;101.24386306
2005-11-09 00:00:00;101.279140009;101.278985881;101.278460575
2005-11-10 00:00:00;101.416269462;101.41605689;101.416026887
2005-11-11 00:00:00;102.623537764;102.623587207;102.623644931
2005-11-14 00:00:00;102.474503181;102.474492425;102.473722363
2005-11-15 00:00:00;102.518596253;102.51846508;102.518204883
2005-11-16 00:00:00;102.531383244;102.531519461;102.531384889
2005-11-17 00:00:00;102.531383244;102.531175925;102.530561139
2005-11-18 00:00:00;102.934834849;102.934831152;102.935022571
2005-11-21 00:00:00;103.374883705;103.374901233;103.374905269
2005-11-22 00:00:00;103.418094915;103.417843279;103.417740288
2005-11-23 00:00:00;103.915905694;103.915627469;103.915285512
2005-11-24 00:00:00;103.664134255;103.664158851;103.664041649
2005-11-25 00:00:00;104.113442655;104.113504414;104.112985601
2005-11-28 00:00:00;103.733360377;103.733553197;103.73323668
2005-11-29 00:00:00;103.641205857;103.641485451;103.640976638
2005-11-30 00:00:00;103.415890261;103.415782061;103.415269037
2005-12-01 00:00:00;104.542468242;104.542237796;104.542159544
2005-12-02 00:00:00;105.071144171;105.070940259;105.071007282
2005-12-05 00:00:00;105.186668019;105.186712013;105.186332334
2005-12-06 00:00:00;105.620984775;105.62059844;105.620448779
2005-12-07 00:00:00;105.487382768;105.487649868;105.487001219
2005-12-08 00:00:00;105.647440618;105.647394277;105.646808791
2005-12-09 00:00:00;105.474595777;105.47425195;105.473821213
2005-12-12 00:00:00;105.775751456;105.77553334;105.775313849
2005-12-13 00:00:00;105.661550401;105.661135731;105.660812547
2005-12-14 00:00:00;105.529271186;105.562197259;105.570200007
2005-12-15 00:00:00;105.674778322;105.70751314;105.716003822
2005-12-16 00:00:00;107.054009603;107.087155175;107.094961943
2005-12-19 00:00:00;106.164652348;106.197395994;106.205311542
2005-12-20 00:00:00;106.426124263;106.483218249;106.499390425
2005-12-21 00:00:00;107.143518539;107.201552784;107.217700748
2005-12-22 00:00:00;107.28593916;107.343776839;107.360209562
2005-12-23 00:00:00;107.725547085;107.783503384;107.80009226
2005-12-27 00:00:00;108.002451575;108.060393693;108.076872385
2005-12-28 00:00:00;107.933225452;107.991342884;108.007677353
2005-12-29 00:00:00;108.632982499;108.691813528;108.707865169
2005-12-30 00:00:00;108.083141896;108.141468274;108.157599921
2006-01-02 00:00:00;108.589330359;108.699714865;108.725163926
2006-01-03 00:00:00;109.067740186;109.178604555;109.203762892
2006-01-04 00:00:00;110.140524619;110.252499227;110.277933375
2006-01-05 00:00:00;109.526749062;109.637912673;109.663415599
2006-01-06 00:00:00;109.7842526;109.895564946;109.921249465
2006-01-09 00:00:00;109.940342074;110.051873991;110.077762035
2006-01-10 00:00:00;109.564228173;109.675358137;109.700484365
2006-01-11 00:00:00;110.980497634;111.093476244;111.118982504
2006-01-12 00:00:00;111.693923534;111.807344807;111.833174075
2006-01-13 00:00:00;110.765764375;110.878422481;110.903983657
2006-01-16 00:00:00;111.42671952;111.540073517;111.566278955
2006-01-17 00:00:00;110.967710644;111.080421863;111.106626248
2006-01-18 00:00:00;110.147579511;110.259369954;110.285347128
2006-01-19 00:00:00;110.921412918;111.033700917;111.059672477
2006-01-20 00:00:00;110.176680938;110.288570545;110.314178391
2006-01-23 00:00:00;109.77807957;109.889724827;109.915483212
2006-01-24 00:00:00;109.92535043;110.037101927;110.062934528
2006-01-25 00:00:00;110.677578232;110.790133636;110.815842367
2006-01-26 00:00:00;112.666175764;112.780926861;112.806847013
2006-01-27 00:00:00;115.082476091;115.199422859;115.226201852
2006-01-30 00:00:00;114.785729718;114.999484695;115.052390524
2006-01-31 00:00:00;115.195795285;115.410354186;115.463441959
2006-02-01 00:00:00;116.831648243;117.049366175;117.102705196
2006-02-02 00:00:00;116.345742593;116.562575149;116.615868727
2006-02-03 00:00:00;116.409236617;116.626129376;116.679297506
2006-02-06 00:00:00;116.611623816;116.82881583;116.882763847
2006-02-07 00:00:00;116.014162695;116.230375485;116.283897328
2006-02-08 00:00:00;115.433456941;115.648424886;115.701505816
2006-02-09 00:00:00;116.647339204;116.864543612;116.918185113
2006-02-10 00:00:00;116.739934654;116.957641966;117.011268905
2006-02-13 00:00:00;117.839615861;118.059019547;118.113446901
2006-02-14 00:00:00;117.847993545;118.067607956;118.121684405
2006-02-15 00:00:00;118.213084178;118.433474183;118.487429569
2006-02-16 00:00:00;119.601134074;119.824109382;119.878743945
2006-02-17 00:00:00;120.015608947;120.239101309;120.293914132
2006-02-20 00:00:00;120.483436438;120.708028445;120.763451844
2006-02-21 00:00:00;121.700846146;121.927582535;121.983426143
2006-02-22 00:00:00;122.934570291;123.163282833;123.219875449
2006-02-23 00:00:00;122.592848986;122.821120616;122.877195295
2006-02-24 00:00:00;123.257772506;123.487237624;123.543609345
2006-02-27 00:00:00;123.564219354;123.794359133;123.850868233
2006-02-28 00:00:00;122.498489812;122.726304579;122.782464002
2006-03-01 00:00:00;122.87857209;123.173588924;123.247059211
2006-03-02 00:00:00;121.506836631;121.798412862;121.870572342
2006-03-03 00:00:00;121.176579524;121.467587344;121.539424693
2006-03-06 00:00:00;121.7647811;122.057095744;122.129229958
2006-03-07 00:00:00;120.981688147;121.272115153;121.344195855
2006-03-08 00:00:00;120.197272403;120.485760418;120.557514251
2006-03-09 00:00:00;120.522238341;120.811776427;120.883719398
2006-03-10 00:00:00;121.596786497;121.888762926;121.961184883
2006-03-13 00:00:00;122.287283999;122.580645161;122.653958944
2006-03-14 00:00:00;123.139162143;123.434676561;123.508188079
2006-03-15 00:00:00;123.896240184;124.193548387;124.26768592
2006-03-16 00:00:00;123.771897722;124.068844687;124.142475864
2006-03-17 00:00:00;123.67268831;123.969906215;124.04362582
2006-03-20 00:00:00;124.26926757;124.567659487;124.641668589
2006-03-21 00:00:00;124.916112931;125.216256141;125.290783881
2006-03-22 00:00:00;124.838068194;125.13792985;125.212527596
2006-03-23 00:00:00;124.713284802;125.012539077;125.086493789
2006-03-24 00:00:00;124.899357564;125.199422859;125.273485123
2006-03-27 00:00:00;123.831864299;124.129307087;124.202609641
2006-03-28 00:00:00;122.871517199;123.29210897;123.414280536
2006-03-29 00:00:00;123.13695749;123.558349651;123.681175657
2006-03-30 00:00:00;124.165648852;124.590676423;124.714158621
2006-03-31 00:00:00;123.997213318;124.422000069;124.545289795
2006-04-03 00:00:00;124.699175019;125.126249614;125.250420113
2006-04-04 00:00:00;124.290873175;124.716410732;124.840192428
2006-04-05 00:00:00;124.524125524;124.950702532;125.074137533
