Date;sxw1;sxw1v;sxw1gv
2012-03-19 00:00:00;100.0;100.0;104.27
2012-03-20 00:00:00;99.3154896094;99.3137849308;103.55
2012-03-21 00:00:00;98.9916793048;98.9996141763;103.23
2012-03-22 00:00:00;98.4178382588;98.4291462272;102.63
2012-03-23 00:00:00;98.6965610526;98.7130022598;102.93
2012-03-26 00:00:00;99.8032544985;99.8208675522;104.09
2012-03-27 00:00:00;99.766364717;99.7877969465;104.05
2012-03-28 00:00:00;99.0203713571;99.1456760183;103.4
2012-03-29 00:00:00;98.479321228;98.608278675;102.84
2012-03-30 00:00:00;98.9834815756;99.120873064;103.38
2012-04-02 00:00:00;99.8770340616;100.030314722;104.33
2012-04-03 00:00:00;99.3482805263;99.5094526815;103.79
2012-04-04 00:00:00;97.4423084806;97.6078928512;101.81
2012-04-05 00:00:00;97.3070459483;97.4976574988;101.7
2012-04-10 00:00:00;95.0485715457;95.2350768892;99.34
2012-04-11 00:00:00;95.5568307579;95.7531830458;99.89
2012-04-12 00:00:00;96.8889617576;97.0925425784;101.28
2012-04-13 00:00:00;95.7330819363;95.9488507965;100.1
2012-04-16 00:00:00;95.6347091856;95.8579066307;100.0
2012-04-17 00:00:00;97.1103004468;97.3405721215;101.55
2012-04-18 00:00:00;96.9094560807;97.1476602546;101.35
2012-04-19 00:00:00;96.4667787023;96.7094747285;100.89
2012-04-20 00:00:00;96.7536992253;97.009866064;101.21
2012-04-23 00:00:00;95.4256670902;95.7035771372;99.86
2012-04-24 00:00:00;95.991310407;96.2712892024;100.45
2012-04-25 00:00:00;96.9996311022;97.3130132834;101.54
2012-04-26 00:00:00;97.5939664713;97.919307722;102.18
2012-04-27 00:00:00;97.9956552035;98.3382020614;102.62
2012-04-30 00:00:00;97.6677460343;98.0350548421;102.31
2012-05-01 00:00:00;97.8603926712;98.2279667089;102.51
2012-05-02 00:00:00;97.458703939;97.8421429753;102.12
2012-05-03 00:00:00;96.9463458622;97.3378162377;101.6
2012-05-04 00:00:00;95.4994466533;95.9130243069;100.12
2012-05-07 00:00:00;95.1551420257;95.5795623657;99.77
2012-05-08 00:00:00;94.3804566135;94.8161825497;98.98
2012-05-09 00:00:00;93.6467598475;94.1161880615;98.26
2012-05-10 00:00:00;93.9705701521;94.4854764923;98.66
2012-05-11 00:00:00;93.7574291921;94.284296974;98.45
2012-05-14 00:00:00;92.4089027339;92.9421815576;97.05
2012-05-15 00:00:00;91.6301184572;92.1677782065;96.25
2012-05-16 00:00:00;90.9005205558;91.4595160668;95.52
2012-05-17 00:00:00;89.9700782883;90.533539106;94.55
2012-05-18 00:00:00;88.9412632701;89.5193738632;93.5
2012-05-21 00:00:00;89.9126941837;90.5197596869;94.55
2012-05-22 00:00:00;90.5767102513;91.1894394532;95.25
2012-05-23 00:00:00;89.5888838792;90.2028330486;94.22
2012-05-24 00:00:00;89.8840021314;90.5059802679;94.54
2012-05-25 00:00:00;89.6421691192;90.2744860277;94.3
2012-05-28 00:00:00;89.7733327868;90.4095243345;94.44
2012-05-29 00:00:00;90.6627864082;91.3134542248;95.39
2012-05-30 00:00:00;89.15440423;89.8252769663;93.84
2012-05-31 00:00:00;88.8633848424;89.5441768175;93.55
2012-06-01 00:00:00;87.0434889536;87.7142699664;91.64
2012-06-04 00:00:00;86.8713366398;87.5461610538;91.47
2012-06-05 00:00:00;87.400090175;88.0808025134;92.03
2012-06-06 00:00:00;89.2978644915;90.0292123684;94.07
2012-06-07 00:00:00;89.8594089437;90.5996803175;94.66
2012-06-08 00:00:00;89.6790589007;90.4205478697;94.48
2012-06-11 00:00:00;89.3839406484;90.1311800694;94.18
2012-06-12 00:00:00;89.9208919129;90.6713332966;94.75
2012-06-13 00:00:00;89.8102225683;90.5748773632;94.65
2012-06-14 00:00:00;90.228306759;90.9965275864;95.09
2012-06-15 00:00:00;91.1915399434;91.969354572;96.11
2012-06-18 00:00:00;91.4497684141;92.2421870694;96.4
2012-06-19 00:00:00;92.5646595893;93.3720994323;97.58
2012-06-20 00:00:00;92.7900971431;93.6008377887;97.82
2012-06-21 00:00:00;91.1136615158;91.9197486634;96.07
2012-06-22 00:00:00;90.9906955773;91.7984897757;95.94
2012-06-25 00:00:00;89.6790589007;90.4811773136;94.56
2012-06-26 00:00:00;89.8266180268;90.6327509232;94.72
2012-06-27 00:00:00;90.6668852728;91.500854324;95.64
2012-06-28 00:00:00;90.5316227405;91.368571901;95.5
2012-06-29 00:00:00;93.2368733861;94.1024086425;98.37
2012-07-02 00:00:00;93.5893757429;94.4634294218;98.74
2012-07-03 00:00:00;94.4132475304;95.3039739845;99.63
2012-07-04 00:00:00;94.3107759151;95.207518051;99.53
2012-07-05 00:00:00;93.7287371398;94.6177589153;98.91
2012-07-06 00:00:00;92.7573062262;93.6531995811;97.91
2012-07-09 00:00:00;92.3474197647;93.2370611255;97.48
2012-07-10 00:00:00;91.9703242202;92.8595050433;97.08
2012-07-11 00:00:00;91.9539287617;92.848481508;97.07
2012-07-12 00:00:00;91.0931671927;91.9776222234;96.16
2012-07-13 00:00:00;92.4375947862;93.3417847104;97.59
2012-07-16 00:00:00;92.4416936509;93.347296478;97.6
2012-07-17 00:00:00;92.7081198508;93.6173730916;97.88
2012-07-18 00:00:00;93.4254211583;94.3476823017;98.64
2012-07-19 00:00:00;94.1140304136;95.0504326738;99.38
2012-07-20 00:00:00;92.8884698938;93.8102849584;98.08
2012-07-23 00:00:00;91.3718899865;92.2807694428;96.49
2012-07-24 00:00:00;90.7037750543;91.6110896765;95.78
2012-07-25 00:00:00;90.6013034389;91.5091219754;95.68
2012-07-26 00:00:00;92.5687584539;93.4988700876;97.76
2012-07-27 00:00:00;94.2328974874;95.1854709805;99.52
2012-07-30 00:00:00;94.5444111981;95.5023976189;99.86
2012-07-31 00:00:00;94.3230725089;95.2764151463;99.62
2012-08-01 00:00:00;94.1345247366;95.0917709309;99.43
2012-08-02 00:00:00;93.1425994999;94.094140991;98.39
2012-08-03 00:00:00;94.9542976595;95.9295596098;100.31
2012-08-06 00:00:00;95.6347091856;96.6185305628;101.03
2012-08-07 00:00:00;96.2659343362;97.2578956071;101.7
2012-08-08 00:00:00;96.2413411485;97.2826985614;101.73
2012-08-09 00:00:00;96.3725048162;97.4287604035;101.89
2012-08-10 00:00:00;96.3929991392;97.450807474;101.92
2012-08-13 00:00:00;96.2331434193;97.3019897481;101.76
2012-08-14 00:00:00;96.3438127639;97.420492752;101.89
