Date;sxxe;sxxt;sxxgt
2005-10-31 00:00:00;100.0;100.0;100.0
2005-11-01 00:00:00;99.9901487538;100.009476876;100.011248594
2005-11-02 00:00:00;100.265983647;100.286675512;100.292463442
2005-11-03 00:00:00;101.431714445;101.452331312;101.46231721
2005-11-04 00:00:00;101.244540768;101.277009098;101.282339708
2005-11-07 00:00:00;101.533510656;101.56368461;101.57480315
2005-11-08 00:00:00;101.503956917;101.53525398;101.541057368
2005-11-09 00:00:00;101.441565691;101.473654284;101.484814398
2005-11-10 00:00:00;101.503956917;101.53525398;101.541057368
2005-11-11 00:00:00;102.715660198;102.748294162;102.755905512
2005-11-14 00:00:00;102.866712639;102.897554966;102.902137233
2005-11-15 00:00:00;102.81417266;102.845432146;102.857142857
2005-11-16 00:00:00;102.305191607;102.336050038;102.339707537
2005-11-17 00:00:00;102.755065182;102.788570887;102.800899888
2005-11-18 00:00:00;103.362558697;103.397460197;103.40832396
2005-11-21 00:00:00;103.825567268;103.86656558;103.880764904
2005-11-22 00:00:00;103.881390996;103.925796058;103.937007874
2005-11-23 00:00:00;104.475749516;104.520470053;104.533183352
2005-11-24 00:00:00;104.20648212;104.300132676;104.330708661
2005-11-25 00:00:00;104.456047023;104.548900682;104.578177728
2005-11-28 00:00:00;104.061997176;104.155610311;104.18447694
2005-11-29 00:00:00;104.311562079;104.404378317;104.431946007
2005-11-30 00:00:00;103.904377237;103.996872631;104.026996625
2005-12-01 00:00:00;105.352510426;105.449203942;105.478065242
2005-12-02 00:00:00;105.91074771;106.008339651;106.040494938
2005-12-05 00:00:00;105.510130365;105.610310842;105.635545557
2005-12-06 00:00:00;106.03881391;106.141015921;106.175478065
2005-12-07 00:00:00;105.835221489;105.939632297;105.973003375
2005-12-08 00:00:00;105.992841428;106.096000758;106.13048369
2005-12-09 00:00:00;105.835221489;105.939632297;105.973003375
2005-12-12 00:00:00;106.137326372;106.242892343;106.276715411
2005-12-13 00:00:00;106.337635044;106.441906748;106.467941507
2005-12-14 00:00:00;106.137326372;106.25;106.287964004
2005-12-15 00:00:00;106.206285095;106.316338135;106.344206974
2005-12-16 00:00:00;107.112599744;107.226118271;107.255343082
2005-12-19 00:00:00;107.007519785;107.121872631;107.154105737
2005-12-20 00:00:00;107.14872098;107.266394996;107.300337458
2005-12-21 00:00:00;108.009063146;108.126421531;108.16647919
2005-12-22 00:00:00;108.02548189;108.145375284;108.177727784
2005-12-23 00:00:00;108.275046793;108.39414329;108.42519685
2005-12-27 00:00:00;108.678947887;108.796910538;108.830146232
2005-12-28 00:00:00;108.550881687;108.668972707;108.706411699
2005-12-29 00:00:00;108.869405313;108.988817286;109.021372328
2005-12-30 00:00:00;108.009063146;108.126421531;108.155230596
2006-01-02 00:00:00;108.757757856;108.896417741;108.931383577
2006-01-03 00:00:00;109.207631432;109.34893859;109.392575928
2006-01-04 00:00:00;110.304403507;110.445887036;110.483689539
2006-01-05 00:00:00;110.153351066;110.296626232;110.337457818
2006-01-06 00:00:00;110.63277838;110.775208491;110.809898763
2006-01-09 00:00:00;110.869208288;111.014499621;111.057367829
2006-01-10 00:00:00;110.232161035;110.391394996;110.438695163
