Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;B00D9P;BE0003810273;B00D9P6;BCOM.BR;;BELGACOM;BE;EUR;EURONEXT(BE);6535;;;1.0;3154857;;31.7450000;1.0000000;100150935;100150935;9.14000;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;407228;ES0113900J37;5705946;SAN.MC;;BCO SANTANDER;ES;EUR;SIBE;8355;;;1.0;10390337;;7.2490000;1.0000000;75319553;75319553;6.87383;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;517617;FR0000133308;5176177;ORAN.PA;;ORANGE;FR;EUR;EURONEXT(FR);6535;;;1.0;4823566;;14.1650000;1.0000000;68325812;68325812;6.23557;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;492752;DE000ENAG999;4942904;EONGn.DE;;E.ON;DE;EUR;XETRA(DE);7575;;;1.0;3996021;;14.2550000;1.0000000;56963279;56963279;5.19860;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;557955;FI0009007132;5579550;FUM1V.HE;;FORTUM;FI;EUR;OMX(FI);7535;;;1.0;2496777;;20.1800000;1.0000000;50384960;50384960;4.59824;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;725147;IT0003153415;7251470;SRG.MI;;SNAM RETE GAS;IT;EUR;Milan;7573;;;1.0;10919289;;4.2640000;1.0000000;46559848;46559848;4.24916;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;443639;IT0003132476;7145056;ENI.MI;;ENI;IT;EUR;Milan;0537;;;1.0;2691420;;16.0700000;1.0000000;43251119;43251119;3.94719;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;524918;PTEDP0AM0009;4103596;EDP.LS;;EDP ENERGIAS DE PORTUGAL;PT;EUR;EURONEXT(PT);7537;;;1.0;12603091;;3.2990000;1.0000000;41577597;41577597;3.79446;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;491134;FR0000124711;B1YY4B3;UNBP.AS;;UNIBAIL-RODAMCO;FR;EUR;EURONEXT(NL);8672;;;1.0;189751;;212.5000000;1.0000000;40322088;40322088;3.67988;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;461785;DE0005552004;4617859;DPWGn.DE;;DEUTSCHE POST;DE;EUR;XETRA(DE);2771;;;1.0;1348635;;26.7150000;1.0000000;36028784;36028784;3.28807;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;491207;NL0000009355;B12T3J1;UNc.AS;;UNILEVER NV;NL;EUR;EURONEXT(NL);3577;;;1.0;1060417;;32.7550000;1.0000000;34733959;34733959;3.16990;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;461075;DE0008430026;5294121;MUVGn.DE;;MUENCHENER RUECK;DE;EUR;XETRA(DE);8538;;;1.0;207082;;165.6500000;1.0000000;34303133;34303133;3.13058;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;451180;DE0008402215;4511809;HNRGn.DE;;HANNOVER RUECK;DE;EUR;XETRA(DE);8538;;;1.0;476193;;71.7600000;1.0000000;34171610;34171610;3.11858;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;555465;IT0003506190;7667163;ATL.MI;;ATLANTIA;IT;EUR;Milan;2777;;;1.0;1666105;;20.2800000;1.0000000;33788609;33788609;3.08362;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;490541;FR0000120271;B15C557;TOTF.PA;;TOTAL;FR;EUR;EURONEXT(FR);0537;;;1.0;712541;;44.9900000;1.0000000;32057220;32057220;2.92561;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;430230;FR0000127771;4834777;VIV.PA;;VIVENDI;FR;EUR;EURONEXT(FR);5553;;;1.0;1563810;;20.4800000;1.0000000;32026829;32026829;2.92284;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;401632;DE0008404005;5231485;ALVG.DE;;ALLIANZ;DE;EUR;XETRA(DE);8532;;;1.0;229299;;138.4500000;1.0000000;31746447;31746447;2.89725;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;479736;FR0010411983;B1LB9P6;SCOR.PA;;SCOR;FR;EUR;EURONEXT(FR);8538;;;1.0;1254744;;25.0900000;1.0000000;31481527;31481527;2.87307;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;497711;NL0000395903;5671519;WLSNc.AS;;WOLTERS KLUWER;NL;EUR;EURONEXT(NL);5557;;;1.0;1307033;;23.5650000;1.0000000;30800233;30800233;2.81090;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;571342;FI0009007835;5713422;MEO1V.HE;;METSO;FI;EUR;OMX(FI);2757;;;1.0;1203911;;24.9300000;1.0000000;30013501;30013501;2.73910;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;458887;FR0000120628;7088429;AXAF.PA;;AXA;FR;EUR;EURONEXT(FR);8532;;;1.0;1525510;;19.4150000;1.0000000;29617777;29617777;2.70298;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;401093;NL0010672325;BKWP5S5;AHLN.AS;;AHOLD;NL;EUR;EURONEXT(NL);5337;;;1.0;2080526;;14.2050000;1.0000000;29553872;29553872;2.69715;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;449000;FI0009000202;4490005;KESBV.HE;;KESKO;FI;EUR;OMX(FI);5337;;;1.0;843069;;31.3100000;1.0000000;26396490;26396490;2.40900;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;425240;DE0007100000;5529027;DAIGn.DE;;DAIMLER;DE;EUR;XETRA(DE);3353;;;1.0;348583;;67.8000000;1.0000000;23633927;23633927;2.15689;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;408348;DE000BASF111;5086577;BASFn.DE;;BASF;DE;EUR;XETRA(DE);1353;;;1.0;288852;;73.0100000;1.0000000;21089085;21089085;1.92464;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;470384;FR0000121485;5505072;PRTP.PA;;Kering;FR;EUR;EURONEXT(FR);5373;;;1.0;116734;;166.1000000;1.0000000;19389517;19389517;1.76953;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;578446;DE0007297004;5784462;SZUG.DE;;SUEDZUCKER;DE;EUR;XETRA(DE);3577;;;1.0;1414009;;12.5200000;1.0000000;17703393;17703393;1.61565;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;481808;FR0000125486;B1XH026;SGEF.PA;;VINCI;FR;EUR;EURONEXT(FR);2357;;;1.0;396750;;43.4750000;1.0000000;17248706;17248706;1.57416;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;452518;FI0009003727;4525189;WRT1V.HE;;WARTSILA;FI;EUR;OMX(FI);2757;;;1.0;414501;;36.0200000;1.0000000;14930326;14930326;1.36257;
2014-11-28;SD3GT;ESTXSD30 EUR GR;CH0102792253;Gross Return;EUR;;;;;1579.65;30;;1095743460;693662;409830;DE0005909006;5117381;GBFG.DE;;BILFINGER;DE;EUR;XETRA(DE);2791;;;1.0;255581;;47.6300000;1.0000000;12173323;12173323;1.11096;
