Next_Trading_Day;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;Close_adjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;Cash_Dividend_Amount;Cash_Dividend_Currency;Special_Cash_Dividend_Amount;Special_Cash_Dividend_Currency;Corporate_Action_Description;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;B00D9P;BE0003810273;B00D9P6;BCOM.BR;;BELGACOM;BE;EUR;EURONEXT(BE);6535;;;1.0;2355758;;31.0700000;31.0700000;1.0000000;73193401;73193401;6.86426;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;407228;ES0113900J37;5705946;SAN.MC;;BCO SANTANDER;ES;EUR;SIBE;8355;;;1.0;7758553;;6.8100000;6.8100000;1.0000000;52835746;52835746;4.95506;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;499187;CH0011075394;5983816;ZURN.VX;;ZURICH INSURANCE GROUP;CH;CHF;SIXSwissExchange;8532;;;1.0;198797;;295.5000000;295.5000000;0.8317738;58744514;48862147;4.58241;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;079087;GB0007908733;0790873;SSE.L;;SCOTTISH & SOUTHERN ENERGY;GB;GBP;LSE;7535;;;1.0;2451829;;15.9200000;15.9200000;1.2492193;39033118;48760924;4.57292;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;517617;FR0000133308;5176177;ORAN.PA;;ORANGE;FR;EUR;EURONEXT(FR);6535;;;1.0;3601798;;13.0300000;13.0300000;1.0000000;46931428;46931428;4.40134;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;B09RMQ;BMG7945E1057;B09RMQ1;SDRL.OL;;SEADRILL;NO;NOK;Oslo;0573;;;1.0;2841365;;140.3000000;140.3000000;0.1174791;398643510;46832281;4.39205;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;B00LBS;BMG196F11004;B00LBS7;CGL.L;;CATLIN GRP;GB;GBP;LSE;8536;;;1.0;6375878;;5.4850000;5.4850000;1.2492193;34971691;43687311;4.09710;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;012715;GB0002634946;0263494;BAES.L;;BAE SYSTEMS;GB;GBP;LSE;2717;;;1.0;7155799;;4.6300000;4.6300000;1.2492193;33131349;41388321;3.88150;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;492752;DE000ENAG999;4942904;EONGn.DE;;E.ON;DE;EUR;XETRA(DE);7575;;;1.0;2983863;;13.1400000;13.1400000;1.0000000;39207960;39207960;3.67702;;;;;;
2014-11-20;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1066297787;301201;478165;CH0126881561;B545MG5;SRENH.VX;;SWISS REINSURANCE COMPANY;CH;CHF;SIXSwissExchange;8538;;;1.0;581167;;81.1000000;81.1000000;0.8317738;47132644;39203698;3.67662;;;;;;
