Next_Trading_Day;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;Close_adjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;Cash_Dividend_Amount;Cash_Dividend_Currency;Special_Cash_Dividend_Amount;Special_Cash_Dividend_Currency;Corporate_Action_Description
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;B00D9P;BE0003810273;B00D9P6;BCOM.BR;;BELGACOM;BE;EUR;EURONEXT(BE);6535;;;1;2355758;;29.895;29.895;1;70425385;70425385;6.69884;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;407228;ES0113900J37;5705946;SAN.MC;;BCO SANTANDER;ES;EUR;SIBE;8355;;;1;7758553;;6.99;6.99;1;54232285;54232285;5.15856;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;B09RMQ;BMG7945E1057;B09RMQ1;SDRL.OL;;SEADRILL;NO;NOK;Oslo;573;;;1;2841365;;154.3;154.3;0.1180422;438422620;51752371;4.92267;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;79087;GB0007908733;790873;SSE.L;;SCOTTISH & SOUTHERN ENERGY;GB;GBP;LSE;7535;;;1;2451829;;15.67;15.67;1.2798362;38420160;49171512;4.67718;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;499187;CH0011075394;5983816;ZURN.VX;;ZURICH INSURANCE GROUP;CH;CHF;SIXSwissExchange;8532;;;1;198797;;290.1;290.1;0.8292906;57671010;47826026;4.5492;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;517617;FR0000133308;5176177;ORAN.PA;;ORANGE;FR;EUR;EURONEXT(FR);6535;;;1;3601798;;12.46;12.46;1;44878403;44878403;4.26882;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;B00LBS;BMG196F11004;B00LBS7;CGL.L;;CATLIN GRP;GB;GBP;LSE;8536;;;1;6375878;;5.27;5.27;1.2798362;33600877;43003619;4.09049;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;12715;GB0002634946;263494;BAES.L;;BAE SYSTEMS;GB;GBP;LSE;2717;;;1;7155799;;4.577;4.577;1.2798362;32752092;41917313;3.98716;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;492752;DE000ENAG999;4942904;EONGn.DE;;E.ON;DE;EUR;XETRA(DE);7575;;;1;2983863;;13.515;13.515;1;40326908;40326908;3.83588;;;;;
04.11.2014;SD3R;STXESD30 EUR NR;CH0020751373;Net. Return;EUR;30;;1051307173;301601;3195;GB00B2988H17;B2988H1;AML.L;;AMLIN;GB;GBP;LSE;8536;;;1;6967640;;4.515;4.515;1.2798362;31458895;40262232;3.82973;;;;;
