Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;B00D9P;BE0003810273;B00D9P6;BCOM.BR;;BELGACOM;BE;EUR;EURONEXT(BE);6535;;;1.0;848431;;30.1000000;1.0000000;25537773;25537773;2.17964;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;616400;HK0008011667;6574071;0008.HK;;PCCW;HK;HKD;HongKongStockExcha;6535;;;1.0;38233702;;5.3000000;0.1065672;202638621;21594632;1.84310;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;627102;AU000000IAG3;6271026;IAG.AX;;Insurance Australia Group Ltd.;AU;AUD;ASX;8536;;;1.0;4891055;;6.2500000;0.6762926;30569094;20673652;1.76449;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;NLY;US0357104092;2113456;NLY.N;;Annaly Capital Management Inc.;US;USD;NewYorkStockExchan;8676;;;1.0;2281826;;10.8100000;0.8264122;24666539;20384729;1.73983;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;B00LBS;BMG196F11004;B00LBS7;CGL.L;;CATLIN GRP;GB;GBP;LSE;8536;;;1.0;2296285;;6.7100000;1.2885769;15408072;19854486;1.69458;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;407228;ES0113900J37;5705946;SAN.MC;;BCO SANTANDER;ES;EUR;SIBE;8355;;;1.0;2794258;;6.9960000;1.0000000;19548629;19548629;1.66847;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;499187;CH0011075394;5983816;ZURN.VX;;ZURICH INSURANCE GROUP;CH;CHF;SIXSwissExchange;8532;;;1.0;71597;;311.7000000;0.8317046;22316785;18560973;1.58417;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;079087;GB0007908733;0790873;SSE.L;;SCOTTISH & SOUTHERN ENERGY;GB;GBP;LSE;7535;;;1.0;883031;;16.2200000;1.2885769;14322763;18455981;1.57521;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;517617;FR0000133308;5176177;ORAN.PA;;ORANGE;FR;EUR;EURONEXT(FR);6535;;;1.0;1297195;;14.1500000;1.0000000;18355309;18355309;1.56662;
2014-12-31;SDGR;STXG18SD100  NR;US26063Y1120;Net. Return;EUR;;;5169.90;5142.33;5148.64;100;;1171649568;227565;B04PZ7;SG1Q52922370;B04PZ72;SUNT.SI;;Suntec Real Estate Investment;SG;SGD;SingaporeExchange;8671;;;1.0;13390710;;1.9600000;0.6236553;26245792;16368327;1.39703;
