Date;STXGBIL;STXGBIV;STXGBIGV
2010-03-31 00:00:00;84.26;91.99;93.13
2010-04-01 00:00:00;84.97;92.77;93.92
2010-04-06 00:00:00;84.91;92.7;93.85
2010-04-07 00:00:00;84.57;92.44;93.65
2010-04-08 00:00:00;84.7;92.59;93.79
2010-04-09 00:00:00;85.66;93.64;94.86
2010-04-12 00:00:00;85.96;93.98;95.21
2010-04-13 00:00:00;85.75;93.75;94.97
2010-04-14 00:00:00;86.33;94.38;95.62
2010-04-15 00:00:00;86.5;94.61;95.85
2010-04-16 00:00:00;85.49;93.5;94.72
2010-04-19 00:00:00;85.11;93.08;94.3
2010-04-20 00:00:00;85.95;94.01;95.24
2010-04-21 00:00:00;85.64;93.68;94.91
2010-04-22 00:00:00;85.08;93.07;94.29
2010-04-23 00:00:00;85.28;93.36;94.61
2010-04-26 00:00:00;85.54;93.63;94.89
2010-04-27 00:00:00;84.02;91.97;93.21
2010-04-28 00:00:00;83.0;90.89;92.11
2010-04-29 00:00:00;83.78;91.85;93.1
2010-04-30 00:00:00;83.9;91.97;93.22
2010-05-03 00:00:00;84.29;92.41;93.66
2010-05-04 00:00:00;82.43;90.46;91.69
2010-05-05 00:00:00;81.25;89.24;90.47
2010-05-06 00:00:00;79.29;87.13;88.34
2010-05-07 00:00:00;77.63;85.43;86.66
2010-05-10 00:00:00;80.72;88.84;90.12
2010-05-11 00:00:00;80.23;88.38;89.68
2010-05-12 00:00:00;81.22;89.51;90.83
2010-05-13 00:00:00;80.82;89.07;90.39
2010-05-14 00:00:00;79.05;87.17;88.48
2010-05-17 00:00:00;78.68;86.78;88.08
2010-05-18 00:00:00;78.82;86.92;88.23
2010-05-19 00:00:00;77.61;85.59;86.88
2010-05-20 00:00:00;75.96;83.78;85.04
2010-05-21 00:00:00;76.48;84.35;85.62
2010-05-24 00:00:00;75.7;83.51;84.78
2010-05-25 00:00:00;74.79;82.5;83.76
2010-05-26 00:00:00;75.13;82.92;84.2
2010-05-27 00:00:00;76.75;84.73;86.04
2010-05-28 00:00:00;76.93;84.93;86.24
2010-05-31 00:00:00;76.86;84.86;86.17
2010-06-01 00:00:00;76.62;84.6;85.91
2010-06-02 00:00:00;77.0;85.23;86.56
2010-06-03 00:00:00;77.8;86.12;87.46
2010-06-04 00:00:00;75.81;83.92;85.23
2010-06-07 00:00:00;74.8;82.82;84.12
2010-06-08 00:00:00;75.02;83.06;84.36
2010-06-09 00:00:00;75.64;83.75;85.06
2010-06-10 00:00:00;77.36;85.65;87.0
2010-06-11 00:00:00;77.55;85.87;87.22
2010-06-14 00:00:00;78.38;86.82;88.2
2010-06-15 00:00:00;79.52;88.09;89.48
2010-06-16 00:00:00;79.62;88.24;89.63
2010-06-17 00:00:00;79.89;88.55;89.95
2010-06-18 00:00:00;80.13;88.81;90.21
2010-06-21 00:00:00;80.54;89.26;90.68
2010-06-22 00:00:00;79.42;88.02;89.41
2010-06-23 00:00:00;78.99;87.54;88.93
2010-06-24 00:00:00;78.49;87.01;88.39
2010-06-25 00:00:00;78.4;86.91;88.29
2010-06-28 00:00:00;78.91;87.48;88.88
2010-06-29 00:00:00;76.87;85.23;86.59
2010-06-30 00:00:00;76.44;84.75;86.1
2010-07-01 00:00:00;76.54;84.87;86.23
2010-07-02 00:00:00;77.15;85.55;86.92
2010-07-05 00:00:00;76.52;84.85;86.21
2010-07-06 00:00:00;77.75;86.21;87.59
2010-07-07 00:00:00;78.86;87.56;89.01
2010-07-08 00:00:00;79.76;88.56;90.03
2010-07-09 00:00:00;79.81;88.62;90.09
2010-07-12 00:00:00;79.69;88.49;89.95
2010-07-13 00:00:00;80.52;89.41;90.89
2010-07-14 00:00:00;80.92;89.85;91.34
2010-07-15 00:00:00;81.1;90.06;91.55
2010-07-16 00:00:00;79.81;88.62;90.09
2010-07-19 00:00:00;79.62;88.41;89.88
2010-07-20 00:00:00;79.69;88.49;89.97
2010-07-21 00:00:00;79.56;88.35;89.82
2010-07-22 00:00:00;81.16;90.13;91.63
2010-07-23 00:00:00;81.63;90.65;92.16
2010-07-26 00:00:00;82.51;91.63;93.15
