Date;SXAE5DUP;SXAE5DUN;SXAE5DUG;SXP1MDL;SXP1MDV;SXEMD4L;SXEMD4V;SXEMD4GU;SXGEW1L;SXGEW1V;SXGEW1GV;SXW1MDL;SXW1MDV;SXJPMDL;SXJPMDV;SXA1MDL;SXA1MDV;TA1K;TA1U;TA1GU;SXP1;SXP1V;SXP1GV;SXXL;SXXV;SXXGV;SXW1;SXW1V;SXW1GV;SX60JGV;SX60JV;SX60JL;SXA1;SXA1V;SXA1GV
2010-04-30 00:00:00;2246.2;2774.94;2850.45;91.35;86.31;135.14;405.38;427.76;87.46;93.56;94.49;92.36;85.3;90.18;88.98;89.11;85.41;91.3;90.56;90.44;120.34;159.3;91.8;258.11;422.18;136.71;220.98;316.15;89.84;94.41;94.42;94.5;289.04;405.42;90.21
2010-05-03 00:00:00;2230.31;2755.72;2830.71;90.67;85.71;134.49;403.44;425.71;87.32;93.5;94.46;91.91;85.08;89.7;88.51;89.85;86.15;90.51;89.77;89.65;119.46;158.14;91.13;256.35;419.59;135.9;221.57;317.06;90.1;93.91;93.92;94.0;292.36;410.08;91.24
2010-05-04 00:00:00;2222.63;2748.36;2823.21;89.99;85.08;129.36;390.22;411.96;84.05;90.0;90.92;89.15;82.75;89.7;88.5;88.06;84.44;90.01;89.28;89.16;118.69;157.13;90.57;246.23;403.41;130.69;215.96;309.12;87.85;93.9;93.91;93.99;285.4;400.31;89.07
2010-05-05 00:00:00;2176.93;2691.84;2765.15;88.47;83.75;126.54;381.72;402.99;82.52;88.42;89.34;87.02;80.87;89.83;88.64;87.4;83.83;89.96;89.24;89.12;117.94;156.15;90.0;240.74;394.89;127.94;213.42;305.63;86.88;94.04;94.05;94.13;283.17;397.27;88.41
2010-05-06 00:00:00;2146.49;2654.44;2726.73;86.37;82.11;122.76;371.36;392.43;80.4;86.16;87.06;84.51;78.89;88.89;87.71;85.11;81.65;88.6;87.93;87.81;115.25;152.68;88.01;234.36;384.66;124.66;207.48;297.22;84.5;92.22;92.23;92.31;274.59;385.27;85.75
2010-05-07 00:00:00;2111.15;2615.18;2686.41;85.29;81.08;117.11;354.68;374.96;78.36;83.97;84.85;81.14;75.82;89.61;88.42;84.39;80.97;86.46;85.81;85.69;114.17;151.27;87.2;224.08;368.09;119.32;202.72;290.48;82.59;92.23;92.24;92.32;270.11;379.0;84.36
2010-05-10 00:00:00;2185.8;2707.65;2781.4;86.62;82.35;126.32;383.08;405.11;83.84;89.86;90.81;86.86;81.16;88.38;87.21;87.64;84.16;87.33;86.67;86.56;114.88;152.22;87.75;243.69;400.36;129.79;212.64;304.72;86.64;91.14;91.15;91.23;281.86;395.48;88.03
2010-05-11 00:00:00;2162.11;2678.3;2751.25;86.12;81.87;124.66;378.87;400.89;82.61;88.66;89.62;85.84;80.21;88.43;87.26;87.71;84.22;86.3;85.66;85.55;113.75;150.75;86.91;239.73;394.04;127.76;211.01;302.46;86.0;90.49;90.5;90.58;281.23;394.66;87.86
2010-05-12 00:00:00;2180.42;2702.71;2776.32;86.22;82.02;127.7;388.13;410.68;83.97;90.14;91.12;87.27;81.83;87.97;86.81;88.71;85.26;86.08;85.45;85.34;113.66;150.63;86.84;243.01;399.6;129.57;213.51;306.11;87.06;90.2;90.21;90.29;285.46;400.69;89.22
2010-05-13 00:00:00;2173.36;2694.58;2768.18;87.28;83.05;126.95;385.84;408.26;83.23;89.34;90.32;86.47;81.09;89.71;88.52;87.91;84.49;87.67;87.03;86.91;115.94;153.66;88.59;241.42;397.0;128.73;212.51;304.69;86.65;92.11;92.12;92.2;282.1;395.98;88.17
