,validDate,stoxxId,currency,closePrice,freeFloat,shares,Capfactor
0,20240531,CHD,USD,107.01,1.0,243776939.0,1.0
1,20240531,FBAN,USD,13.77,1.0,358828542.0,1.0
2,20240531,DH,USD,156.16,1.0,461605464.0,1.0
3,20240531,SG102B,SGD,2.2,0.7301,2834670324.0,1.0
4,20240531,CN13BE,CNY,10.18,0.5988,1114146844.0,
5,20240531,IN2018,INR,153.5,0.3414,2488940310.0,1.0
6,20240531,TH22FT,THB,42.25,0.3919,360000000.0,
7,20240531,TW0885,TWD,195.5,0.3303,646165500.0,1.0
8,20240531,KR118L,KRW,13040.0,0.5779,24000000.0,1.0
9,20240531,US30UJ,USD,27.88,0.6057,191095220.0,1.0
10,20240531,612528,JPY,7078.0,0.7383,140879104.0,1.0
11,20240531,636961,HKD,1.95,0.7615,1613408518.0,1.0
12,20240531,TW1998,TWD,107.0,0.4656,451025900.0,1.0
13,20240531,CN148C,CNY,3.32,0.8041,956665066.0,
14,20240531,598411,EUR,1.605,0.1185,582613138.0,
15,20240531,KR150H,KRW,6520.0,0.5708,20394221.0,1.0
16,20240531,MY50NC,MYR,3.25,0.6652,3732807299.0,1.0
17,20240531,866457,EUR,52.6,0.889,79221906.0,1.0
18,20240531,CN0YA7,CNY,15.54,0.4424,1355063719.0,
19,20240531,PCCW,USD,809.89,1.0,443830261.0,1.0
20,20240531,TW00AZ,TWD,73.4,0.7097,13014973243.0,1.0
21,20240531,CN05FJ,CNY,2.54,0.3612,6857782927.0,
22,20240531,CO0077,COP,16420.0,0.4631,654884280.0,
23,20240531,664253,JPY,1393.0,0.9384,60907599.0,1.0
24,20240531,CN2607,USD,1.015,1.0,66000000.0,1.0
25,20240531,IN0319,INR,912.5,0.3271,148911400.0,1.0
26,20240531,KR02ER,KRW,8080.0,0.8906,165367526.0,1.0
27,20240531,CN0XFB,CNY,6.96,0.6498,2032000000.0,
28,20240531,MY50B0,MYR,1.98,0.5396,1171716000.0,
29,20240531,CN12MO,CNY,12.16,0.7845,989204866.0,
30,20240531,AU01JO,AUD,3.92,1.0,1958877758.0,1.0
31,20240531,477472,SEK,230.5,0.8578,1254385923.0,1.0
32,20240531,PK503H,PKR,16.05,0.5801,371028814.0,
33,20240531,PK506K,PKR,57.5,0.4496,511494426.0,
34,20240531,ZA007G,ZAR,447.4,0.843,419685792.0,0.7574471
35,20240531,689489,JPY,4100.0,0.9473,127800000.0,1.0
36,20240531,KR192N,KRW,1452.0,0.7821,52607656.0,1.0
37,20240531,451944,CZK,778.0,0.3965,190049260.0,1.0
38,20240531,MY21OB,MYR,17.02,0.2269,1147516890.0,1.0
39,20240531,B0C5Q5,JPY,151500.0,1.0,4142897.0,1.0
40,20240531,317731,GBP,5.185,0.793,696082618.0,1.0
41,20240531,OMC,USD,92.96,1.0,197934170.0,1.0
42,20240531,CN0SVM,CNY,9.91,0.5489,1485120000.0,
43,20240531,B28638,GBP,11.579998,0.8,71721313.58606571,
44,20240531,LRCX,USD,932.44,1.0,131278000.0,1.0
45,20240531,VN004M,VND,6500.0,0.7374,299999999.0,
