,validDate,stoxxId,currency,adjustedOpenPrice,adjustedOpenNet,adjustedOpenGross,adjustmentFactor,closePrice,freeFloat,shares,Capfactor
0,20240229,409830,EUR,42.44,42.44,42.44,,42.54,0.603,37606372.0,1.0
1,20240229,MY24B1,MYR,7.51,7.51,7.51,,7.5,0.6333,91363250.0,
2,20240229,CN079F,CNY,9.15,9.15,9.15,,9.3,0.4879,457093849.0,
3,20240229,VN21UF,VND,26650.0,26650.0,26650.0,,26550.0,0.5423,305756841.0,
4,20240229,CN1GK0,CNY,9.64,9.64,9.64,,10.09,0.5197,1623324614.0,
5,20240229,CN00CB,HKD,15.04,15.04,15.04,,14.94,0.9285,2775300000.0,1.0
6,20240229,SE10CJ,SEK,230.0,230.0,230.0,,229.0,1.0,259908240.0,1.0
7,20240229,B0PB4M,HKD,39.0,39.0,39.0,,38.95,1.0,2561930575.0,1.0
8,20240229,TW04WP,TWD,205.0,205.0,205.0,,208.5,0.4884,127403238.0,1.0
9,20240229,422060,EUR,74.72,74.72,74.72,,74.08,0.54,200005983.0,1.0
10,20240229,IN09ES,INR,227.9,227.9,227.9,,237.05,0.3625,465799010.0,1.0
11,20240229,KR514L,KRW,129900.0,129900.0,129900.0,,128400.0,0.7471,11494767.0,1.0
12,20240229,BR1025,BRL,18.85,18.85,18.85,,18.17,0.334,2420804398.0,1.0
13,20240229,CN17AH,CNY,4.3,4.3,4.3,,4.44,0.7869,1195290018.0,
14,20240229,478396,SEK,111.2,111.2,111.2,,111.35,0.922,545979181.0,1.0
15,20240229,698899,HKD,8.32,8.32,8.32,,8.21,0.4888,1612183986.0,1.0
16,20240229,CN06W1,CNY,6.47,6.47,6.47,,6.59,0.3107,4757389916.0,
17,20240229,KR18K4,KRW,304500.0,304500.0,304500.0,,300000.0,0.9138,7688800.0,1.0
18,20240229,CN26AH,HKD,3.57,3.57,3.57,,3.55,0.3967,2486160000.0,1.0
19,20240229,AU108D,AUD,0.415,0.415,0.415,,0.43,0.5207,1157338698.0,1.0
20,20240229,MY20H3,MYR,0.45,0.45,0.45,,0.45,0.431,1109199286.0,
