Date;CN_Weight_Step1;CN_Weight;Rateo STEP1/STEP2;Equally_Weighted_Average_TOR;Weighted_Average_ToR;;;;;;;;;;;;;;;;;;;;Date;Weight;CN
3/18/2019; 0.2368 ; 0.2322 ; 1.0195 ; 3.0592 ; 0.0005 ;;;;;;;;;;;;;;;;;;;;3/24/1997;4.09%;51
6/24/2019; 0.2192 ; 0.2151 ; 1.0189 ; 5.2857 ; 0.0007 ;;;;;;;;;;;;;;;;;;;;6/23/1997;4.07%;51
9/23/2019; 0.2177 ; 0.2264 ; 0.9617 ; 2.9921 ; 0.0006 ;;;;;;;;;;;;;;;;;;;;9/22/1997;6.22%;70
12/23/2019; 0.2241 ; 0.2324 ; 0.9643 ; 2.8892 ; 0.0006 ;;;;;;;;;;;;;;;;;;;;12/22/1997;4.91%;70
3/23/2020; 0.2802 ; 0.2957 ; 0.9474 ; 4.4625 ; 0.0011 ;;;;;;;;;;;;;;;;;;;;3/23/1998;4.80%;101
6/22/2020; 0.2597 ; 0.2704 ; 0.9606 ; 4.5835 ; 0.0012 ;;;;;;;;;;;;;;;;;;;;6/22/1998;4.19%;101
9/21/2020; 0.2314 ; 0.2515 ; 0.9202 ; 6.1601 ; 0.0017 ;;;;;;;;;;;;;;;;;;;;9/21/1998;4.18%;66
12/21/2020; 0.2477 ; 0.2613 ; 0.9478 ; 3.8916 ; 0.0024 ;;;;;;;;;;;;;;;;;;;;12/21/1998;4.41%;66
3/22/2021; 0.2375 ; 0.2516 ; 0.9438 ; 4.2947 ; 0.0010 ;;;;;;;;;;;;;;;;;;;;3/22/1999;3.43%;70
6/21/2021; 0.2085 ; 0.2274 ; 0.9171 ; 3.7040 ; 0.0007 ;;;;;;;;;;;;;;;;;;;;6/21/1999;3.93%;70
9/20/2021; 0.0925 ; 0.1153 ; 0.8023 ; 4.5776 ; 0.0007 ;;;;;;;;;;;;;;;;;;;;9/20/1999;2.83%;33
12/20/2021; 0.0973 ; 0.1229 ; 0.7918 ; 4.6666 ; 0.0006 ;;;;;;;;;;;;;;;;;;;;12/20/1999;3.56%;33
3/21/2022; 0.0784 ; 0.1018 ; 0.7709 ; 4.9422 ; 0.0006 ;;;;;;;;;;;;;;;;;;;;3/20/2000;2.06%;35
6/20/2022; 0.0913 ; 0.1171 ; 0.7798 ; 5.2998 ; 0.0007 ;;;;;;;;;;;;;;;;;;;;6/19/2000;2.31%;35
9/19/2022; 0.0917 ; 0.1113 ; 0.8240 ; 2.9262 ; 0.0004 ;;;;;;;;;;;;;;;;;;;;9/18/2000;2.92%;41
12/19/2022; 0.0954 ; 0.1132 ; 0.8432 ; 2.4197 ; 0.0004 ;;;;;;;;;;;;;;;;;;;;12/18/2000;3.47%;41
3/20/2023; 0.0975 ; 0.1175 ; 0.8292 ; 2.4486 ; 0.0004 ;;;;;;;;;;;;;;;;;;;;3/19/2001;4.20%;44
6/19/2023; 0.0813 ; 0.0994 ; 0.8176 ; 2.6019 ; 0.0004 ;;;;;;;;;;;;;;;;;;;;6/18/2001;5.16%;44
9/18/2023; 0.0817 ; 0.1328 ; 0.6152 ; 2.7298 ; 0.0002 ;;;;;;;;;;;;;;;;;;;;9/24/2001;6.31%;49
12/18/2023; 0.0688 ; 0.1201 ; 0.5723 ; 2.7914 ; 0.0002 ;;;;;;;;;;;;;;;;;;;;12/24/2001;5.98%;49
3/18/2024; 0.0603 ; 0.1471 ; 0.4097 ; 3.4043 ; 0.0002 ;;;;;;;;;;;;;;;;;;;;3/18/2002;5.76%;51
6/24/2024; 0.0528 ; 0.1205 ; 0.4378 ; 3.9188 ; 0.0002 ;;;;;;;;;;;;;;;;;;;;6/24/2002;6.41%;51
;;;;;;;;;;;;;;;;;;;;;;;;;9/23/2002;8.25%;99
;;;;;;;;;;;;;;;;;;;;;;;;;12/23/2002;7.58%;99
;;;;;;;;;;;;;;;;;;;;;;;;;3/24/2003;7.81%;97
