,Date,Index_Symbol,Internal_Number,ISIN,SEDOL,RIC,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Unnamed: 0,Cutoff,Internal_Number_Cutoff,Shares_Cutoff,Close_unadjusted_local_Cutoff,FX_local_to_Index_Currency_Cutoff,Capfactor_Cutoff,Mcap_Units_Index_Currency_Cutoff,InfoCode
0,2023-09-18,SWESCGV,MX406T,MX01VE0M0003,B8F6ZF8,VESTA.MX,VESTA,MX,MXN,Mexican Stock Exchange,35101010,841986436.0,1.0,1.0,,61.45,0.0582844,51740066492,3015638075.0,0.28111,53,2023-08-31,MX406T,698236437.0,63.04,0.0594115,1.0,2615106324.0,262359.0
1,2023-09-18,SWESCGV,IN0B9P,INE256A01028,6188535,ZEE.BO,Zee Entrtainment,IN,INR,Bombay Stock Exchange,40301035,960519420.0,0.9488,1.0,,269.45,0.0120097,245560785566,2949117230.0,0.27491,53,2023-08-31,IN0B9P,960519420.0,262.25,0.0120793,1.0,2731457392.0,5401.0
2,2023-09-18,SWESCGV,BR02Y2,BREMBRACNOR4,B16FPG6,EMBR3.SA,Embraer,BR,BRL,B3 S.A. - Brasil Bolsa Balcao,50201010,740465044.0,0.9463,1.0,,17.95,0.2061784,12577602174,2593229696.0,0.24173,53,2023-08-31,BR02Y2,740465044.0,19.49,0.201982,1.0,2758404304.0,30.0
3,2023-09-18,SWESCGV,TW11B2,TW0001477008,6580432,1477.TW,Makalot,TW,TWD,Taiwan Stock Exchange,40204020,241856581.0,1.0,1.0,,326.0,0.0312774,78845245406,2466074303.0,0.22988,53,2023-08-31,TW11B2,241856581.0,334.5,0.0314007,1.0,2540348459.0,11057.0
4,2023-09-18,SWESCGV,MX109T,US92837L1098,BJ84772,VIST.N,VISTA ENERGY ADR,MX,USD,NYSE,60101010,92858055.0,0.9429,1.0,,27.93,1.0,2445435170,2445435171.0,0.22795,53,2023-08-31,MX109T,92858055.0,26.8,1.0,1.0,2488595874.0,318525.0
5,2023-09-18,SWESCGV,TW18VT,TW0003023008,6349354,3023.TW,SINBON Elec,TW,TWD,Taiwan Stock Exchange,50202010,239056037.0,1.0,1.0,,308.0,0.0312774,73629259396,2302931822.0,0.21467,53,2023-08-31,TW18VT,239056037.0,310.0,0.0314007,1.0,2327022981.0,9946.0
6,2023-09-18,SWESCGV,BR906H,BRALSOACNOR5,BJVHGR1,ALSO3.SA,ALIANSCE SONAE SHOPPING CENTER,BR,BRL,B3 S.A. - Brasil Bolsa Balcao,35101010,573936909.0,0.8139,1.0,,23.47,0.2061784,10963476558,2260431894.0,0.21071,53,2023-08-31,BR906H,592473674.0,22.77,0.201982,1.0,2217766505.0,248825.0
7,2023-09-18,SWESCGV,TW02OF,TW0002313004,6215273,2313.TW,Compeq Mftg,TW,TWD,Taiwan Stock Exchange,10102015,1191820589.0,1.0,1.0,,57.6,0.0312774,68648865926,2147158111.0,0.20015,53,2023-08-31,TW02OF,1191820589.0,45.3,0.0314007,1.0,1695306985.0,35658.0
8,2023-09-18,SWESCGV,IN811F,INE878B01027,B1L9PJ6,KEIN.BO,KEI INDUSTRIES,IN,INR,Bombay Stock Exchange,50202010,90192438.0,0.74,1.0,,2629.8,0.0120097,175519174039,2107936842.0,0.19649,53,2023-08-31,IN811F,90192438.0,2698.6,0.0120793,1.0,2175614401.0,30358.0
9,2023-09-18,SWESCGV,IN047G,INE061F01013,B1XC098,FOHE.BO,Fortis Healthcar,IN,INR,Bombay Stock Exchange,20101010,754958148.0,0.6883,1.0,,327.0,0.0120097,169921525611,2040710652.0,0.19023,53,2023-08-31,IN047G,754958148.0,331.9,0.0120793,1.0,2083288726.0,74883.0
10,2023-09-18,SWESCGV,IN05GQ,INE043D01016,B0C5QR1,IDFC.BO,IDFC,IN,INR,Bombay Stock Exchange,30202010,1599984436.0,0.8366,1.0,,125.8,0.0120097,168389209958,2022307964.0,0.18851,53,2023-08-31,IN05GQ,1599984436.0,121.9,0.0120793,1.0,1970964916.0,24844.0
11,2023-09-18,SWESCGV,IN70CO,INE947Q01028,BMZ1CH2,LAUL.BO,LAURUS LABS,IN,INR,Bombay Stock Exchange,20103015,538650925.0,0.7696,1.0,,394.85,0.0120097,163683390177,1965792330.0,0.18324,53,2023-08-31,IN70CO,538650925.0,399.7,0.0120793,1.0,2001465816.0,294681.0
12,2023-09-18,SWESCGV,IN60GR,INE048G01026,BF1BKG2,NAFL.BO,NAVIN FLUORINE INTL.,IN,INR,Bombay Stock Exchange,55201020,49562720.0,0.7119,1.0,,4498.6,0.0120097,158727252820,1906270518.0,0.1777,53,2023-08-31,IN60GR,49562250.0,4603.3,0.0120793,1.0,2121484010.0,13489.0
13,2023-09-18,SWESCGV,BR02JN,BRCPLEACNPB9,2200154,CPLE6.SA,COPEL - CIA PR DE ENERGIA,BR,BRL,B3 S.A. - Brasil Bolsa Balcao,65101010,1679335290.0,0.6192,1.0,,8.88,0.2061784,9233818379,1903813803.0,0.17747,53,2023-08-31,BR02JN,1679335290.0,8.66,0.201982,1.0,1819152362.0,44790.0
14,2023-09-18,SWESCGV,TW07VR,TW0006176001,6520278,6176.TW,Radiant,TW,TWD,Taiwan Stock Exchange,10102015,465027263.0,1.0,1.0,,129.0,0.0312774,59988516927,1876284839.0,0.1749,53,2023-08-31,TW07VR,465027263.0,119.5,0.0314007,1.0,1744960443.0,7164.0
15,2023-09-18,SWESCGV,IN10U0,INE120A01034,B6X5768,CRBR.BO,Carborundum Univ,IN,INR,Bombay Stock Exchange,55101000,189957262.0,0.69,1.0,,1185.9,0.0120097,155436518995,1866749691.0,0.17401,53,2023-08-31,IN10U0,189943974.0,1138.15,0.0120793,1.0,1801576591.0,31746.0
16,2023-09-18,SWESCGV,MX302O,MXP001391012,2563017,ALSEA.MX,ALSEA,MX,MXN,Mexican Stock Exchange,40501040,815072646.0,0.6301,1.0,,60.52,0.0582844,31081696622,1811577635.0,0.16887,53,2023-08-31,MX302O,815072646.0,60.22,0.0594115,1.0,1837165386.0,39876.0
17,2023-09-18,SWESCGV,IN05PZ,INE136B01020,B19HGC2,CYIE.BO,Cyient Ltd,IN,INR,Bombay Stock Exchange,10101010,110607559.0,0.8083,1.0,,1674.3,0.0120097,149689267887,1797726792.0,0.16758,53,2023-08-31,IN05PZ,110575006.0,1636.6,0.0120793,1.0,1770841594.0,38856.0
18,2023-09-18,SWESCGV,BR00FH,BRBRFSACNOR8,2036995,BRFS3.SA,BRF SA,BR,BRL,B3 S.A. - Brasil Bolsa Balcao,45102020,1682473246.0,0.5413,1.0,,9.35,0.2061784,8515257881,1755662118.0,0.16366,53,2023-08-31,BR00FH,1082473246.0,9.04,0.201982,1.0,1094984671.0,55.0
19,2023-09-18,SWESCGV,MX024P,MX01PI000005,2393388,PINFRA.MX,Promotora y Opr,MX,MXN,Mexican Stock Exchange,50101010,380123523.0,0.4959,0.9881024,,161.72,0.0582844,30122051080,1755645271.0,0.16365,53,2023-08-31,MX024P,380123523.0,162.83,0.0594115,0.9879032,1801880037.0,28336.0
20,2023-09-18,SWESCGV,TW04YR,TW0002812005,6869971,2812.TW,Taichung Comm Bk,TW,TWD,Taiwan Stock Exchange,30101010,5226095343.0,0.7187,1.0,,14.9,0.0312774,55964321373,1750418616.0,0.16317,53,2023-08-31,TW04YR,5226095342.0,14.75,0.0314007,1.0,1766979517.0,41432.0
21,2023-09-18,SWESCGV,IN08AN,INE140A01024,B058J56,PIRA.BO,PIRAMAL ENTERPRISES,IN,INR,Bombay Stock Exchange,30201020,238663700.0,0.563,1.0,,1082.6,0.0120097,145466431964,1747011700.0,0.16285,53,2023-08-31,IN08AN,238663700.0,1054.3,0.0120793,1.0,1711199063.0,2406.0
22,2023-09-18,SWESCGV,KR22WB,KR7328130000,BNRKTL7,328130.KQ,LUNIT,KR,KRW,Korea Exchange,20101025,12340654.0,0.8024,1.0,,228000.0,0.0007551,2257688148000,1704730838.0,0.15891,53,2023-08-31,KR22WB,12340654.0,172500.0,0.0007566,1.0,1292358780.0,356413.0
23,2023-09-18,SWESCGV,AE301S,AEE01110S227,BJN5952,SALIK.DU,SALIK COMPANY,AE,AED,Dubai Financial Market,50206060,7500000000.0,0.25,1.0,,3.3,0.2722613,6187500000,1684617000.0,0.15703,53,2023-08-31,AE301S,7500000000.0,3.35,0.272253,1.0,1703248706.0,358090.0
24,2023-09-18,SWESCGV,IN06S3,INE115A01026,6101026,LICH.BO,LIC Housing,IN,INR,Bombay Stock Exchange,30201025,550063000.0,0.5476,1.0,,455.6,0.0120097,137233325744,1648134378.0,0.15363,53,2023-08-31,IN06S3,550063000.0,423.65,0.0120793,1.0,1541432968.0,43221.0
25,2023-09-18,SWESCGV,ZA00MV,ZAE000015228,6410562,HARJ.J,HARMONY GOLD MNG.,ZA,ZAR,Johannesburg Stock Exchange,55103025,618071972.0,0.776,0.7863402,,82.96,0.0526074,31288157773,1645987688.0,0.15343,53,2023-08-31,ZA00MV,616525702.0,78.81,0.0528123,0.7866297,1566387999.0,47478.0
26,2023-09-18,SWESCGV,PL10CN,PLKRK0000010,B4PTLY0,KRU.WA,KRUK,PL,PLN,Warsaw Stock Exchange,30201020,19318790.0,0.9092,1.0,,400.8,0.229865,7039909315,1618228551.0,0.15085,53,2023-08-31,PL10CN,19318790.0,400.0,0.2426448,1.0,1703474942.0,251123.0
27,2023-09-18,SWESCGV,IN50W6,INE387A01021,6730895,SNFS.BO,SUNDRAM FASTENERS,IN,INR,Bombay Stock Exchange,40101025,210128370.0,0.5164,1.0,,1237.45,0.0120097,134276058361,1612618409.0,0.15032,53,2023-08-31,IN50W6,210128370.0,1275.9,0.0120793,1.0,1672357512.0,26500.0
28,2023-09-18,SWESCGV,IN806J,INE149A01033,BF93XC7,CHOL.BO,CHOLAMANDALAM FIN HOLDINGS,IN,INR,Bombay Stock Exchange,30201020,187777462.0,0.61,1.0,,1171.95,0.0120097,134240136131,1612186977.0,0.15028,53,2023-08-31,IN806J,187777462.0,984.4,0.0120793,1.0,1362029353.0,5356.0
