,Date,Index_Symbol,Internal_Number,ISIN,SEDOL,RIC,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,Shares_Cutoff,Close_unadjusted_local_Cutoff,FX_local_to_Index_Currency_Cutoff,Capfactor_Cutoff,Mcap_Units_Index_Currency_Cutoff,InfoCode
0,6/19/2023,SWESCGV,KR808R,KR7005070008,6766715,005070.KS,COSMO ADVANCED MATERIALS & TEC,KR,KRW,Korea Exchange,40203010,30650756,0.7288,1,,212500,0.00078,4.74688E+12,3702612561,0.35643,4/28/2023,30650756,174500,0.0007471,1,2912126497,41561
1,6/19/2023,SWESCGV,BR02Y2,BREMBRACNOR4,B16FPG6,EMBR3.SA,Embraer,BR,BRL,B3 S.A. - Brasil Bolsa Balcao,50201010,740465044,0.9463,1,,20.2,0.2096491,14154181834,2967411890,0.28566,4/28/2023,740465044,19.42,0.1998859,1,2719974719,30
2,6/19/2023,SWESCGV,KR19SD,KR7035900000,B16TC34,035900.KQ,JYP ENTERTAINMENT,KR,KRW,Korea Exchange,40301010,35497492,0.7804,1,,136100,0.00078,3.77028E+12,2940849749,0.2831,4/28/2023,35497492,90200,0.0007471,1,1866752400,4161
3,6/19/2023,SWESCGV,TW18VT,TW0003023008,6349354,3023.TW,SINBON Elec,TW,TWD,Taiwan Stock Exchange,50202010,239056037,1,1,,374,0.0324686,89406957838,2902918512,0.27945,4/28/2023,236584070,340,0.0325283,1,2616526837,9946
4,6/19/2023,SWESCGV,TW05SM,TW0003017000,6544892,3017.TW,AVC,TW,TWD,Taiwan Stock Exchange,10102030,383310157,0.8619,1,,254.5,0.0324686,84080443608,2729974063,0.2628,4/28/2023,375810156,157.5,0.0325283,1,1636740633,9906
5,6/19/2023,SWESCGV,TW032U,TW0002352002,6054465,2352.TW,Qisda,TW,TWD,Taiwan Stock Exchange,10102030,1966782000,0.8296,1,,47.05,0.0324686,76768772426,2492574353,0.23995,4/28/2023,1966782000,34.6,0.0325283,1,1836377076,43219
6,6/19/2023,SWESCGV,IN20GN,INE04I401011,BFMX0X4,KPIE.BO,KPIT TECHNOLOGIES,IN,INR,Bombay Stock Exchange,10101010,274143808,0.6713,1,,1072,0.0122035,1.97283E+11,2407552243,0.23176,4/28/2023,274143808,916.6,0.0122195,1,2060627319,316293
7,6/19/2023,SWESCGV,BR906H,BRALSOACNOR5,BJVHGR1,ALSO3.SA,ALIANSCE SONAE SHOPPING CENTER,BR,BRL,B3 S.A. - Brasil Bolsa Balcao,35101010,592473674,0.8139,1,,23.52,0.2096491,11341680877,2377773512,0.2289,4/28/2023,592473674,18.64,0.1998859,1,1809473109,248825
8,6/19/2023,SWESCGV,MX406T,MX01VE0M0003,B8F6ZF8,VESTA.MX,VESTA,MX,MXN,Mexican Stock Exchange,35101010,698236437,1,1,,57.89,0.058423,40420907338,2361511668,0.22733,4/28/2023,698236437,56.8,0.0554355,1,2077640954,262359
9,6/19/2023,SWESCGV,MX109T,US92837L1098,BJ84772,VIST.N,VISTA ENERGY ADR,MX,USD,NYSE,60101010,92858055,1,1,,23.96,1,2224878998,2224878998,0.21418,4/28/2023,88406478,20.92,1,1,1669880612,318525
