Date;Index_Symbol;Index_Type;Index_Currency;Internal_Number;Currency;Mcap_Units_Index_Currency
12/29/2023;STXWAGV;Gross Return;USD;AAPL;USD;2.81752E+12
12/29/2023;STXWAGV;Gross Return;USD;MSFT;USD;2.79483E+12
12/29/2023;STXWAGV;Gross Return;USD;AMZN;USD;1.41926E+12
12/29/2023;STXWAGV;Gross Return;USD;NVDA;USD;1.22319E+12
12/29/2023;STXWAGV;Gross Return;USD;GOOG;USD;8.26686E+11
12/29/2023;STXWAGV;Gross Return;USD;US40C2;USD;8.06824E+11
12/29/2023;STXWAGV;Gross Return;USD;US20PD;USD;7.85652E+11
12/29/2023;STXWAGV;Gross Return;USD;US10YL;USD;6.87765E+11
12/29/2023;STXWAGV;Gross Return;USD;BRCM;USD;5.19782E+11
12/29/2023;STXWAGV;Gross Return;USD;LLY;USD;4.951E+11
12/29/2023;STXWAGV;Gross Return;USD;CHL;USD;4.94325E+11
12/29/2023;STXWAGV;Gross Return;USD;UNH;USD;4.87672E+11
12/29/2023;STXWAGV;Gross Return;USD;TW001Q;TWD;4.69091E+11
12/29/2023;STXWAGV;Gross Return;USD;BRKB;USD;4.66536E+11
12/29/2023;STXWAGV;Gross Return;USD;U0401;USD;4.14998E+11
12/29/2023;STXWAGV;Gross Return;USD;XON;USD;3.96213E+11
12/29/2023;STXWAGV;Gross Return;USD;MACA;USD;3.55252E+11
12/29/2023;STXWAGV;Gross Return;USD;JNJ;USD;3.47396E+11
12/29/2023;STXWAGV;Gross Return;USD;HD;USD;3.46573E+11
12/29/2023;STXWAGV;Gross Return;USD;PG;USD;3.45378E+11
12/29/2023;STXWAGV;Gross Return;USD;465191;DKK;3.3567E+11
12/29/2023;STXWAGV;Gross Return;USD;KR002D;KRW;3.13911E+11
12/29/2023;STXWAGV;Gross Return;USD;461669;CHF;3.09344E+11
12/29/2023;STXWAGV;Gross Return;USD;546078;EUR;3.03579E+11
12/29/2023;STXWAGV;Gross Return;USD;PCCW;USD;2.92244E+11
12/29/2023;STXWAGV;Gross Return;USD;MRK;USD;2.76641E+11
12/29/2023;STXWAGV;Gross Return;USD;US20SG;USD;2.73529E+11
12/29/2023;STXWAGV;Gross Return;USD;ADBE;USD;2.71632E+11
12/29/2023;STXWAGV;Gross Return;USD;CHV;USD;2.64276E+11
12/29/2023;STXWAGV;Gross Return;USD;SFC;USD;2.56035E+11
12/29/2023;STXWAGV;Gross Return;USD;AMD;USD;2.38141E+11
12/29/2023;STXWAGV;Gross Return;USD;CN89O4;HKD;2.33658E+11
