,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff
0,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,KR40ET,KR7123420002,B5WDTK4,123420.KQ,,Wemade Play,KR,KRW,0,40203040,11469842,0.5668,1,6501106,13310,0.0007498,86529720860,64879985,5.85E-05,2/29/2024
6,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,KR11FS,KR7065680001,6718073,065680.KQ,,UJU ELECTRONICS,KR,KRW,0,10102015,9530000,0.7879,1,7508687,16040,0.0007498,1.20439E+11,90305417,8.14E-05,2/29/2024
12,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,TH20MY,TH0800010Z03,B8H70Q5,SNC.BK,,SNC FORMER,TH,THB,0,50202010,362220339,0.7488,0.6543803,271230590,7.3,0.0277933,1295662072,36010726,3.25E-05,2/29/2024
18,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,TW14TN,TW0001709004,6348607,1709.TW,,Formosan Union,TW,TWD,0,55201000,477016272,0.8258,1,393920037,19.95,0.0315767,7858704738,248151976,0.000223778,2/29/2024
24,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,KR325L,KR7041020009,B0LMJS5,041020.KQ,,POLARIS OFFICE,KR,KRW,0,10101015,49725498,0.7741,1,38492508,7390,0.0007498,2.8446E+11,213287834,0.000192338,2/29/2024
30,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,CN2PTJ,CNE0000006L6,BD5C8F2,000572.ZK,,HAIMA AUTOMOBILE 'A' (CCS),CN,CNY,0,40101020,1644636426,0.6554,0.0915471,1077894714,4.29,0.1389254,423329199,58811182,5.30E-05,2/29/2024
36,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,IN13AJ,INE596I01012,BLF7FN0,COMU.BO,,COMPUTER AGE MANAGEMENT SVCS,IN,INR,0,40201070,49143119,1,1,49143119,2929.95,0.0120607,1.43987E+11,1736582584,0.001566011,2/29/2024
42,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,IN0BM2,INE686Y01026,BG5KMJ9,FINO.BO,,FINE ORGANIC INDUSTRIES,IN,INR,0,55201020,30659976,0.3648,1,11184759,4100.95,0.0120607,45868137421,553201845,0.000498865,2/29/2024
48,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,ET008,TRATEKTU91K2,B03MXZ8,TEKTU.IS,,TEK-ART INSAAT TIC. TURISM,TR,TRY,0,40501025,300000000,0.6818,1,204540000,3.58,0.0309643,732253200,22673709,2.04E-05,2/29/2024
54,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,410827,GRS395363005,4108278,EXCr.AT,,HELLENIC EXCHANGES HLDG,GR,EUR,0,30202015,60348000,1,1,60348000,5.29,1.08855,319240920,347509703,0.000313376,2/29/2024
60,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,KR087Q,KR7357780006,BKPN4N4,357780.KQ,,Soulbrain,KR,KRW,0,55201020,7778566,0.5357,1,4166978,295000,0.0007498,1.22926E+12,921698031,0.000831167,2/29/2024
66,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,EG00C6,EGS30901C010,B4RJHG2,JUFO.CA,,JUHAYNA FOOD INDS.,EG,EGP,0,45102020,941405082,0.3904,1,367524544,20.99,0.0212269,7714340179,163751516,0.000147667,2/29/2024
72,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,TH12S5,TH8127010008,BF0DX82,III.BK,,TRIPLE I LOGISTICS,TH,THB,0,50206040,807753120,0.7756,0.494327,626493320,9.1,0.0277933,2818202323,78327133,7.06E-05,2/29/2024
78,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,IN062D,INE351F01018,B0703M5,JAPR.BO,,JAIPRAKASH PWR.VENTURES,IN,INR,0,65101010,6853458827,0.6101,1,4181295230,15.75,0.0120607,65855399873,794262117,0.000716248,2/29/2024
84,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,TR20F1,TRETEZL00021,BMDHT60,TEZOL.IS,,EUROPAP TEZOL KAGI,TR,TRY,0,55101015,440000000,0.2873,1,126412000,22.78,0.0309643,2879665360,89166828,8.04E-05,2/29/2024
90,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,CN797M,CNE000001HQ5,BP3RL54,600491.SH,,Long Yuan 'A' (CCS),CN,CNY,0,50101010,1529757955,0.6789,0.0883783,1038552676,2.99,0.1389254,274438705,38126503,3.44E-05,2/29/2024
96,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,CN2TQK,CNE0000000B0,BD5CBS6,000801.ZK,,SICHUAN JIUZHOU ELEC.'A' (CCS),CN,CNY,0,50202040,1022806646,0.5239,0.1145257,535848402,12.35,0.1389254,757899901,105291547,9.49E-05,2/29/2024
102,3/18/2024,SWESCGV,STOXX Emerging Markets Small Cap,Gross Return,USD,1894.251946,3956,1.10892E+12,585413580,TW4092,KYG451001070,B4PJRX1,1338.TW,,HIROCA HOLDINGS,TW,TWD,0,40101025,83840000,0.7776,1,65193984,35.05,0.0315767,2285049139,72154309,6.51E-05,2/29/2024
