STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CZ502I;5272569;CZ0009093209;20190318;1;1.0
IN03NV;B1RMW32;INE836F01026;20190318;1;0.5905512
HK00LM;6579010;CNE1000004F1;20190318;1;1.0
KR623M;BZ8TP86;KR7240810002;20190318;1;1.0
TW07HD;6203687;TW0005522007;20190318;1;1.0
TW03UM;6352493;TW0002449006;20190318;1;1.0
TW1C9B;6541826;TW0005904007;20190318;1;1.0
KR637R;6510279;KR7000250001;20190318;1;1.0
ZA20NY;B12W5L6;ZAE000079711;20190318;1;1.0
RU704W;BTSTNQ8;RU000A0JSQ90;20190318;1;1.0
TW307Z;B6RN4B2;TW0003682001;20190318;1;0.8441193
TW402V;6246251;TW0001536001;20190318;1;1.0
PH406G;BKX3XF1;PHY2105Y1083;20190318;1;1.0
KR81M6;BF062T5;KR7042000000;20190318;1;1.0
KR61XF;BYQ1MZ3;KR7192080000;20190318;1;1.0
TW03D5;6129181;TW0002376001;20190318;1;1.0
TW12G8;6316121;TW0002383007;20190318;1;1.0
PH30BK;B2NRDY6;PHY1234G1032;20190318;1;1.0
PK217J;6332741;PK0053401011;20190318;1;1.0
IN047G;B1XC098;INE061F01013;20190318;1;0.5252012
LU104K;6896292;LU0011857645;20190318;1;1.0
KR037L;6166672;KR7006650006;20190318;1;1.0
ID30EC;6671422;ID1000095607;20190318;1;1.0
MY229X;B29H4P8;MYL5139OO000;20190318;1;1.0
IN829O;B03F993;INE410B01029;20190318;1;0.8513657
KR18I2;B3LF565;KR7011210002;20190318;1;1.0
PH405F;BLRL853;PHY1249R1024;20190318;1;1.0
CN2506;6802686;CNE000000HL8;20190318;1;1.0
CN0SRI;BFZCJC0;CNE100001QN2;20190318;1;1.0
BR1148;B1Y4WK8;BRSLCEACNOR2;20190318;1;1.0
LU10M2;B96TSD2;VGG5884M1041;20190318;1;1.0
TH20W8;B00PN05;TH0256A10Z04;20190318;1;0.5331911
KR034I;BB96Z33;KR7175330000;20190318;1;1.0
IN506G;B0LX4M7;INE191H01014;20190318;1;0.7903877
TW01VL;6136318;TW0001723005;20190318;1;1.0
TW02A1;B01H720;TW0002059003;20190318;1;1.0
KR14EU;6164427;KR7003090008;20190318;1;1.0
HK1AMY;BG20S16;KYG341531096;20190318;1;1.0
KR71DW;BZ404M0;KR7003380003;20190318;1;1.0
HK1A7J;BZBZHK7;KYG550441045;20190318;1;1.0
TH401F;BDZ7KL7;TH0122C10Z04;20190318;1;0.7280832
TW501V;B6TJTG8;TW0002634003;20190318;1;1.0
HK1ANZ;BF0XL55;KYG4600E1089;20190318;1;1.0
TW1OHV;B8N9QP6;TW0004174008;20190318;1;1.0
TW106W;B059SR4;TW0003406005;20190318;1;1.0
KR16EW;B39Q399;KR7098460009;20190318;1;1.0
B03MXD;B03MXD6;TRASASAW91E4;20190318;1;1.0
TH20X9;BYVRFG8;TH0285A10Z09;20190318;1;0.7113821
CN8FBX;BYNKP98;KYG2133W1087;20190318;1;1.0
HK1A5H;BD9GZS2;KYG212081064;20190318;1;1.0
TW12SK;6683416;TW0006269004;20190318;1;1.0
IN0308;6099938;INE085A01013;20190318;1;0.4020101
CN88U9;BP1QK56;KYG2161T1004;20190318;1;1.0
TW05F9;6518392;TW0002889003;20190318;1;1.0
US1QHU;BZ8VL95;KYG393421030;20190318;1;1.0
TW10SI;6201465;TW0009941005;20190318;1;1.0
TW06JE;B056381;TW0003443008;20190318;1;1.0
HK90PZ;BYVYK42;KYG476341030;20190318;1;1.0
ZA20MX;6728726;ZAE000057428;20190318;1;1.0
IN10Y4;B297KD8;INE668F01031;20190318;1;0.4553216
CN872G;BYVTYT0;US40522L1089;20190318;1;1.0
TH216J;B42GPD1;TH0324B10Z01;20190318;1;1.0
BR044A;B1YWHR4;BRMRFGACNOR0;20190318;1;1.0
IN0BBR;BF2LT08;INE763G01038;20190318;1;1.0
TW02PG;BDRZRW9;TW0003706008;20190318;1;1.0
TW1OQ4;BL951P4;TW0003081006;20190318;1;1.0
TH00LV;6888857;TH0245010002;20190318;1;0.61262
KR11Q3;6273204;KR7010780005;20190318;1;1.0
MX406T;B8F6ZF8;MX01VE0M0003;20190318;1;1.0
KR03YC;6402428;KR7012630000;20190318;1;1.0
CN1RYP;BFNLRQ9;US68276W1036;20190318;1;1.0
KR70AB;BD4HFS0;KR7267270007;20190318;1;1.0
