STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
TW03A2;6875677;TW0002371002;20190318;1;1.0
TW01LB;6936574;TW0001605004;20190318;1;1.0
TW11C3;6005214;TW0002345006;20190318;1;1.0
TW1AYY;B0CL646;US82706C1080;20190318;1;1.0
TW060V;6305721;TW0003044004;20190318;1;1.0
TW4070;BH4DMW9;KYG8190F1028;20190318;1;1.0
TW027Y;6873109;TW0002027000;20190318;1;1.0
TW1O8M;B6X51B1;TW0008436007;20190318;1;1.0
TW07VR;6520278;TW0006176001;20190318;1;1.0
TW1EVZ;6432801;TW0006147002;20190318;1;1.0
TW1O1F;B6RV676;KYG6892A1085;20190318;1;1.0
TW11B2;6580432;TW0001477008;20190318;1;1.0
TW1IAI;6421928;TW0006121007;20190318;1;1.0
TW055Z;6328450;TW0002845005;20190318;1;1.0
TW1NP2;B3PSSB6;TW0004147004;20190318;1;1.0
TW4081;B96HCH8;TW0006409006;20190318;1;1.0
TW1ON1;BJTCKZ4;TW0006446008;20190318;1;1.0
TW12NF;6129749;TW0002439007;20190318;1;1.0
TW05XR;6137720;TW0003037008;20190318;1;1.0
TW10D3;6575159;TW0002809001;20190318;1;1.0
TW02D4;6191265;TW0002104007;20190318;1;1.0
TW018Y;6206084;TW0001314003;20190318;1;1.0
TW032U;6054465;TW0002352002;20190318;1;1.0
TW03UM;6352493;TW0002449006;20190318;1;1.0
TW08QN;6239187;TW0009933002;20190318;1;1.0
TW402V;6246251;TW0001536001;20190318;1;1.0
TW03D5;6129181;TW0002376001;20190318;1;1.0
TW03TL;6354154;TW0002448008;20190318;1;1.0
TW12G8;6316121;TW0002383007;20190318;1;1.0
TW1EFJ;6744283;TW0008069006;20190318;1;1.0
TW03ZR;6241513;TW0002458007;20190318;1;1.0
TW1HW3;6673172;TW0001565000;20190318;1;1.0
TW02OF;6215273;TW0002313004;20190318;1;1.0
TW012S;6515144;TW0001229003;20190318;1;1.0
TW04YR;6869971;TW0002812005;20190318;1;1.0
TW12SK;6683416;TW0006269004;20190318;1;1.0
TW15A5;6381691;TW0001707008;20190318;1;1.0
TW010Q;6384344;TW0001210003;20190318;1;1.0
TW08NK;6877811;TW0009917005;20190318;1;1.0
TW05F9;6518392;TW0002889003;20190318;1;1.0
TW20D4;B5M70F8;TW0004915004;20190318;1;1.0
TW106W;B059SR4;TW0003406005;20190318;1;1.0
TW1OHV;B8N9QP6;TW0004174008;20190318;1;1.0
TW1NN0;B3Y7B93;TW0008415001;20190318;1;1.0
TW02A1;B01H720;TW0002059003;20190318;1;1.0
TW01VL;6136318;TW0001723005;20190318;1;1.0
TW1CSU;6716538;TW0006274004;20190318;1;1.0
TW1OQ4;BL951P4;TW0003081006;20190318;1;1.0
TW306Y;B5SG8Y4;KYG114741062;20190318;1;1.0
TW07OK;6156673;TW0006005002;20190318;1;1.0
TW02PG;BDRZRW9;TW0003706008;20190318;1;1.0
TW117Y;6290991;TW0003036000;20190318;1;1.0
TW021S;6190239;TW0001904001;20190318;1;1.0
TW9064;B1YZ0G3;TW0003563003;20190318;1;1.0
TW016W;6381237;TW0001312007;20190318;1;1.0
TW0841;6682598;TW0006285000;20190318;1;1.0
TW18VT;6349354;TW0003023008;20190318;1;1.0
TW1CCE;6522939;TW0006182009;20190318;1;1.0
TW1EY2;6141806;TW0005371009;20190318;1;1.0
TW18PN;B297JM0;TW0002231008;20190318;1;1.0
TW1NDQ;B2PXYH2;TW0003529004;20190318;1;1.0
TW1C9B;6541826;TW0005904007;20190318;1;1.0
TW07SO;6381828;TW0006116007;20190318;1;1.0
TW05TN;6295866;TW0003019006;20190318;1;1.0
TW05UO;6206835;TW0003026001;20190318;1;1.0
TW1GRX;6690836;TW0004123005;20190318;1;1.0
TW037Z;6203740;TW0002362001;20190318;1;1.0
TW01A0;6804886;TW0001409001;20190318;1;1.0
