STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CZ502I;5272569;CZ0009093209;20190318;1;1.0
BR1148;B1Y4WK8;BRSLCEACNOR2;20190318;1;1.0
LU10M2;B96TSD2;VGG5884M1041;20190318;1;1.0
TH20W8;B00PN05;TH0256A10Z04;20190318;1;0.5331911
KR034I;BB96Z33;KR7175330000;20190318;1;1.0
TW01VL;6136318;TW0001723005;20190318;1;1.0
TW106W;B059SR4;TW0003406005;20190318;1;1.0
TW02A1;B01H720;TW0002059003;20190318;1;1.0
PH405F;BLRL853;PHY1249R1024;20190318;1;1.0
KR14EU;6164427;KR7003090008;20190318;1;1.0
TH401F;BDZ7KL7;TH0122C10Z04;20190318;1;0.7280832
TW501V;B6TJTG8;TW0002634003;20190318;1;1.0
TW1OHV;B8N9QP6;TW0004174008;20190318;1;1.0
MY229X;B29H4P8;MYL5139OO000;20190318;1;1.0
ID30EC;6671422;ID1000095607;20190318;1;1.0
KR037L;6166672;KR7006650006;20190318;1;1.0
LU104K;6896292;LU0011857645;20190318;1;1.0
KR71DW;BZ404M0;KR7003380003;20190318;1;1.0
KR18I2;B3LF565;KR7011210002;20190318;1;1.0
IN829O;B03F993;INE410B01029;20190318;1;0.8513657
KR03YC;6402428;KR7012630000;20190318;1;1.0
TW12NF;6129749;TW0002439007;20190318;1;1.0
BR3016;B23FNB7;BRALSCACNOR0;20190318;1;1.0
TW012S;6515144;TW0001229003;20190318;1;1.0
PL004E;B5P7L41;PLTAURN00011;20190318;1;1.0
BR03TY;B0W1X34;BRLIGTACNOR2;20190318;1;1.0
TH214H;6541406;TH0307010Z09;20190318;1;0.5788541
KR16SA;6698476;KR7003520004;20190318;1;1.0
ZA00MV;6410562;ZAE000015228;20190318;1;1.0
PL402G;BGQYBX7;PLENERG00022;20190318;1;1.0
IN10BH;B4T3LF9;INE811K01011;20190318;1;1.0
KR04Q5;6204828;KR7028150001;20190318;1;0.7668232
MY201N;6493585;MYL5878OO003;20190318;1;1.0
EW031;B28ZQ24;LU0327357389;20190318;1;1.0
MY225T;B1VZ5G1;MYL4731OO005;20190318;1;1.0
KR01R3;6896849;KR7001800002;20190318;1;1.0
TH703K;BD3RR41;TH7411010005;20190318;1;1.0
ZA20AL;6622710;ZAE000047353;20190318;1;1.0
IN03NV;B1RMW32;INE836F01026;20190318;1;0.5905512
KR02R4;6497134;KR7005250006;20190318;1;1.0
HK00LM;6579010;CNE1000004F1;20190318;1;1.0
TW07HD;6203687;TW0005522007;20190318;1;1.0
TW03TL;6354154;TW0002448008;20190318;1;1.0
TW02G7;6988597;TW0002201001;20190318;1;1.0
ID20DA;6538527;ID1000092406;20190318;1;1.0
TW018Y;6206084;TW0001314003;20190318;1;1.0
PK208J;6677141;PK0023901017;20190318;1;1.0
MX10XH;2962959;MX01HE010008;20190318;1;1.0
TW0841;6682598;TW0006285000;20190318;1;1.0
KR30GU;BFZD2P7;KR7185750007;20190318;1;1.0
IN60BM;B0YJJ27;INE389H01022;20190318;1;0.3259098
BR107A;B1FLW42;BRBRPRACNOR9;20190318;1;1.0
ID20EB;B1Z5HY9;ID1000106206;20190318;1;0.4652245
TW1HW3;6673172;TW0001565000;20190318;1;1.0
HK14GM;6699015;BMG2113J1018;20190318;1;1.0
CN8GZM;BMSKVX5;KYG4404P1019;20190318;1;1.0
KR11JW;6243081;KR7041510009;20190318;1;1.0
KR70AB;BD4HFS0;KR7267270007;20190318;1;1.0
IN03X5;6374798;INE510A01028;20190318;1;0.5002084
KR02ER;B01T146;KR7003690005;20190318;1;1.0
TH20X9;BYVRFG8;TH0285A10Z09;20190318;1;0.7113821
B03MXD;B03MXD6;TRASASAW91E4;20190318;1;1.0
TW03UM;6352493;TW0002449006;20190318;1;1.0
TW1C9B;6541826;TW0005904007;20190318;1;1.0
KR637R;6510279;KR7000250001;20190318;1;1.0
ZA20NY;B12W5L6;ZAE000079711;20190318;1;1.0
RU704W;BTSTNQ8;RU000A0JSQ90;20190318;1;1.0
TW307Z;B6RN4B2;TW0003682001;20190318;1;0.8441193
TW402V;6246251;TW0001536001;20190318;1;1.0
PH406G;BKX3XF1;PHY2105Y1083;20190318;1;1.0
KR81M6;BF062T5;KR7042000000;20190318;1;1.0
KR61XF;BYQ1MZ3;KR7192080000;20190318;1;1.0
TW03D5;6129181;TW0002376001;20190318;1;1.0
TW12G8;6316121;TW0002383007;20190318;1;1.0
PH30BK;B2NRDY6;PHY1234G1032;20190318;1;1.0
PK217J;6332741;PK0053401011;20190318;1;1.0
IN047G;B1XC098;INE061F01013;20190318;1;0.5252012
IN506G;B0LX4M7;INE191H01014;20190318;1;0.7903877
KR16EW;B39Q399;KR7098460009;20190318;1;1.0
KR623M;BZ8TP86;KR7240810002;20190318;1;1.0
BR10VY;B3M5360;BRQGEPACNOR8;20190318;1;1.0
MY50E3;BWXN162;MYL5264OO006;20190318;1;1.0
MY207T;6336538;MYL5031OO009;20190318;1;1.0
MY21AX;B7GJ601;MYL5218OO002;20190318;1;1.0
MY50NC;B54JP79;MYQ0166OO007;20190318;1;1.0
TW1ON1;BJTCKZ4;TW0006446008;20190318;1;1.0
PH309I;6684130;PHY6885F1067;20190318;1;1.0
KR02V8;6489302;KR7005440003;20190318;1;1.0
TW1NN0;B3Y7B93;TW0008415001;20190318;1;1.0
IN30EM;BWFGD74;INE031B01049;20190318;1;0.7384615
EG0060;B0S6009;EGS48031C016;20190318;1;1.0
CL00OL;2196338;CLP3064M1019;20190318;1;1.0
TH21LY;B2R3SR8;TH0975010008;20190318;1;1.0
TW08QN;6239187;TW0009933002;20190318;1;1.0
TW1EFJ;6744283;TW0008069006;20190318;1;1.0
ID012Y;6665878;ID1000113301;20190318;1;1.0
TW05XR;6137720;TW0003037008;20190318;1;1.0
MX502Q;BN56JP1;MXCFFI170008;20190318;1;1.0
MX408V;B87Y2V5;MXCFTE0B0005;20190318;1;1.0
EG005Z;B2989Q7;EGS691S1C011;20190318;1;1.0
TW04YR;6869971;TW0002812005;20190318;1;1.0
MY23J8;B0DD1H9;MYL7153OO009;20190318;1;1.0
BR10AD;BZ8W2L7;BRTIETCDAM15;20190318;1;1.0
ID2074;B03VZ37;ID1000099807;20190318;1;1.0
ID8069;BF0TC49;ID1000138803;20190318;1;1.0
KR51UB;BYX20P5;KR7214320004;20190318;1;1.0
778920;B03MYX3;TREULKR00015;20190318;1;1.0
MX01BV;B39VVF6;MX01BM1B0000;20190318;1;1.0
487454;4874546;CS0008418869;20190318;1;1.0
TW10D3;6575159;TW0002809001;20190318;1;1.0
PK211D;6317867;PK0012101017;20190318;1;1.0
IN035D;6099905;INE055A01016;20190318;1;0.4786598
KR05M2;6439493;KR7046890000;20190318;1;1.0
IN11KR;6907484;INE690A01010;20190318;1;0.605449
KR05HX;6419008;KR7041960006;20190318;1;1.0
IN617J;BD0F6Q3;INE951I01027;20190318;1;0.462431
IN403C;BDB5J63;INE217B01036;20190318;1;0.6743088
BR703C;2762085;BRSAPRACNPR6;20190318;1;1.0
TR80A2;BFZCT20;TRESOKM00022;20190318;1;1.0
BR02JN;2200154;BRCPLEACNPB9;20190318;1;1.0
IN70IU;BYVC6Y8;INE405E01023;20190318;1;0.4978673
TW1HY5;6439608;TW0005820005;20190318;1;1.0
EW052;B3F97B2;PLENEA000013;20190318;1;1.0
TH21O1;BFWRH46;TH0480B10Z01;20190318;1;0.6449532
ID3031;B28V4M8;ID1000107600;20190318;1;1.0
TW5060;BJYP111;TW0008454000;20190318;1;1.0
IN11U1;6099875;INE042A01014;20190318;1;0.8787661
IN11BI;B1KMXR0;INE371A01025;20190318;1;0.6185567
KR02U7;6535443;KR7005300009;20190318;1;1.0
